Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84836597	+109153	1028497	+257	81493442	+44865	2314658	2269	253509	3073	1020873035	3050575	334649383	North America
India	43131822	+2259	524323	+20	42592455	+2614	15044	698	30688	373	845404172	601499	1405495275	Asia
Brazil	30752226	+10415	665491	+115	29746640	N/A	340095	8318	142769	3090	63776166	296085	215398235	South America
France	29291146	+27842	147715	+67	28448155	+52839	695276	1173	446887	2254	271490188	4142051	65544863	Europe
Germany	26013283	+56446	138488	+139	24425500	+126500	1449295	944	308627	1643	122332384	1451375	84287260	Europe
UK	22232377	+4882	177890	+169	21774064	+39871	280423	188	324295	2595	522526476	7621893	68556000	Europe
Russia	18278617	+4927	378072	+97	17670628	+5952	229917	2300	125151	2589	273400000	1871936	146052019	Europe
S. Korea	17889849	+28105	23842	+40	17251847	+37740	614160	274	348376	464	15804065	307759	51352076	Asia
Italy	17178456	+30567	165738	+108	16119286	+90017	893432	308	284908	2749	218805421	3628926	60294814	Europe
Turkey	15060112	+1485	98918	+4	14957668	+1389	3526	975	175028	1150	161284037	1874434	86044120	Asia
Spain	12218460	+19613	105846	+102	11609708	+10566	502906	339	261141	2262	471036328	10067288	46788799	Europe
Vietnam	10704524	+1716	43073	+1	9382881	+9587	1278570	333	108144	435	85813173	866939	98984064	Asia
Argentina	9135308	N/A	128776	N/A	8895999	N/A	110533	300	198702	2801	35716069	776859	45974966	South America
Japan	8474651	+41527	30175	+53	8096825	+45571	347651	110	67393	240	50996891	405545	125749168	Asia
Netherlands	8074146	+1442	22301	+4	8004183	+2496	47662	42	469261	1296	21107399	1226739	17206100	Europe
Iran	7229354	+280	141253	+9	7028491	+1758	59610	731	84050	1642	51877878	603142	86012718	Asia
