Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	83953371	+87487	1025764	+226	81107296	+46529	1820311	1794	250905	3066	1014741268	3032684	334601743	North America
India	43113413	+2827	524181	+24	42570165	+3230	19067	698	30682	373	841986891	599210	1405161912	Asia
Brazil	30617786	+23398	664564	+121	29697931	+16811	255291	8318	142170	3086	63776166	296136	215361137	South America
France	29061523	+40299	147075	+96	27929038	+103884	985410	1364	443408	2244	269816888	4116745	65541322	Europe
Germany	25583258	+93102	137449	+227	23676700	+139800	1769109	1279	303548	1631	122332384	1451488	84280690	Europe
UK	22145157	+529	176424	N/A	21616575	+26588	352158	253	323064	2574	519264096	7575273	68547249	Europe
Russia	18241329	+4102	377248	+98	17619414	+5043	244667	2300	124897	2583	273400000	1871955	146050485	Europe
S. Korea	17658794	+43899	23491	+29	N/A	N/A	N/A	383	343884	457	15804065	307766	51350995	Asia
Italy	16915301	+42249	164846	+115	15709259	+84344	1041196	338	280533	2734	216861042	3596548	60296991	Europe
Turkey	15048449	+1670	98870	+9	14946104	+1711	3475	975	174938	1149	160225407	1862614	86021816	Asia
Spain	12058888	N/A	105123	N/A	11522364	N/A	431401	339	257733	2247	471036328	10067384	46788355	Europe
Vietnam	10683972	+2758	43060	+2	9327523	+2589	1313389	365	107960	435	85806532	867061	98962550	Asia
Argentina	9101319	N/A	128729	N/A	8895999	N/A	76591	372	198006	2801	35716069	777031	45964778	South America
Japan	8172238	+39041	29894	+51	7814056	+29901	328288	163	64984	238	49847482	396374	125758647	Asia
Netherlands	8064424	+1401	22287	+6	7973258	+6623	68879	57	468721	1295	21107399	1226806	17205170	Europe
Iran	7226672	+453	141198	+6	7012770	+2072	72704	818	84044	1642	51622353	600356	85986283	Asia
Australia	6391910	+57088	7613	+48	6033554	+50256	350743	114	245385	292	70221824	2695813	26048475	Australia/Oceania
Colombia	6093645	N/A	139809	N/A	5927076	N/A	26760	342	117437	2694	34560302	666049	51888507	South America
Indonesia	6049541	+400	156424	+8	5887786	+916	5331	2771	21692	561	96868506	347340	278886623	Asia
Poland	6001894	+567	116164	+15	5335001	+29	550729	981	158907	3076	36188226	958127	37769758	Europe
Mexico	5745652	N/A	324465	N/A	5044893	N/A	376294	4798	43712	2468	15855490	120625	131444511	North America
Ukraine	5006460	N/A	108449	N/A	N/A	N/A	N/A	177	115765	2508	19521252	451393	43246695	Europe
Malaysia	4467061	+3321	35598	+8	4406613	+1416	24850	59	134814	1074	59086179	1783202	33134885	Asia
Thailand	4345218	+7650	29255	+56	4237692	+9322	78271	1496	61964	417	17270775	246286	70124735	Asia
Austria	4195691	+5991	18279	+8	4112993	+6342	64419	78	460980	2008	184617102	20283838	9101685	Europe
Belgium	4102082	N/A	31580	N/A	3903711	N/A	166791	122	351111	2703	33779532	2891304	11683149	Europe
Israel	4099293	+1448	10749	N/A	4052605	N/A	35939	150	439555	1153	41373364	4436346	9326000	Asia
Portugal	3935932	N/A	22420	N/A	N/A	N/A	N/A	61	388098	2211	41697794	4111564	10141589	Europe
Czechia	3914115	+751	40235	+2	3866735	+583	7145	14	364245	3744	55288462	5145114	10745818	Europe
South Africa	3862165	+10017	100609	+50	3691684	+6488	69872	192	63632	1658	24765642	408033	60695163	Africa
Canada	3802456	+3096	39906	+52	3492607	+3040	269943	423	99137	1040	61306765	1598372	38355755	North America
Philippines	3687428	+109	60439	N/A	3623661	+418	3328	289	32840	538	29763475	265070	112285313	Asia
Switzerland	3631881	N/A	13882	N/A	3530433	N/A	87566	78	414032	1583	20927607	2385733	8771982	Europe
Chile	3586522	+3295	57667	+25	3456649	+2268	72206	173	184677	2969	37466692	1929237	19420468	South America
Peru	3570801	+462	212979	+11	N/A	N/A	N/A	254	105572	6297	30134364	890931	33823445	South America
Greece	3375812	+4761	29471	+27	3287981	+7436	58360	185	326839	2853	80897630	7832338	10328670	Europe
Denmark	2974417	+766	6260	+8	2957085	+1091	11072	6	510190	1074	127315788	21837956	5830023	Europe
