Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84588748	+97438	1027741	+373	81382379	+51750	2178628	2098	252776	3071	1019232166	3045768	334638797	North America
India	43127199	+1829	524293	+33	42587259	+2549	15647	698	30686	373	844491640	600882	1405421194	Asia
Brazil	30728286	+26386	665277	+221	29746640	N/A	316369	8318	142663	3089	63776166	296096	215389991	South America
France	29233309	+43727	147568	+90	28335646	+67585	750095	1329	446010	2251	271490188	4142101	65544076	Europe
Germany	25892255	+82591	138183	+176	24155900	+141900	1598172	1279	307196	1639	122332384	1451400	84285800	Europe
UK	22207102	+7099	177410	N/A	21755615	+21253	274077	189	323936	2588	519264096	7574521	68554055	Europe
Russia	18268958	+4122	377869	+110	17658542	+5984	232547	2300	125086	2587	273400000	1871940	146051678	Europe
S. Korea	17830429	+35072	23771	+27	17170872	+50516	635786	333	347221	463	15804065	307760	51351836	Asia
Italy	17117069	+45008	165494	+148	15983655	+59720	967920	337	283887	2745	218293677	3620410	60295297	Europe
Turkey	15057184	+1608	98911	+7	14955005	+1219	3268	975	175004	1150	161010744	1871366	86039163	Asia
Spain	12179234	+13028	105642	+48	11588576	+10620	485016	339	260303	2258	471036328	10067309	46788701	Europe
Vietnam	10699965	+1785	43071	+4	9364857	+5094	1292037	206	108103	435	85812322	866973	98979283	Asia
Argentina	9135308	N/A	128776	N/A	8895999	N/A	110533	300	198712	2801	35716069	776897	45972702	South America
Japan	8399390	+26334	30089	+28	8015458	+35829	353843	127	66794	239	50658025	402843	125751275	Asia
Netherlands	8071521	+1252	22297	+3	7999615	+2838	49609	43	469114	1296	21107399	1226754	17205893	Europe
Iran	7228786	+352	141236	+4	7024787	+1876	62763	768	84049	1642	51771715	601949	86006844	Asia
Australia	6703295	+67650	7873	+66	6313350	+73403	382072	130	257283	302	70751949	2715575	26054132	Australia/Oceania
Colombia	6095316	N/A	139821	N/A	5928829	N/A	26666	342	117446	2694	34675581	668137	51898874	South America
Indonesia	6051205	+247	156481	+17	5890826	+1029	3898	2771	21693	561	97570814	349789	278941908	Asia
Poland	6004039	+510	116217	+10	5335143	+18	552679	981	158968	3077	36239466	959504	37768969	Europe
