Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	85004438	N/A	1028924	N/A	81632147	N/A	2343367	2289	254002	3075	1021971326	3053760	334659970	North America
India	43138393	N/A	524459	N/A	42599102	N/A	14832	698	30691	373	847092226	602668	1405569356	Asia
Brazil	30791220	N/A	665680	N/A	29832019	N/A	293521	8318	142945	3090	63776166	296074	215406479	South America
France	29354950	N/A	147780	N/A	28542968	N/A	664202	1173	447855	2255	271490188	4142002	65545650	Europe
Germany	26085617	N/A	138712	N/A	24708600	+106100	1238305	944	309479	1646	122332384	1451349	84288720	Europe
UK	22238715	N/A	177977	N/A	21836316	+17105	224422	188	324378	2596	522526476	7621676	68557945	Europe
Russia	18293450	N/A	378350	N/A	17688903	N/A	226197	2300	125253	2591	273400000	1871931	146052359	Europe
S. Korea	17967672	+9975	23987	+22	17414103	+42223	529582	229	349890	467	15804065	307758	51352317	Asia
Italy	17247552	N/A	165952	N/A	16231004	N/A	850596	292	286056	2752	219432092	3639349	60294330	Europe
Turkey	15062281	N/A	98926	N/A	14959906	N/A	3449	975	175043	1150	161541275	1877316	86049076	Asia
Spain	12238073	N/A	105947	N/A	11620275	N/A	511851	339	261559	2264	471036328	10067267	46788898	Europe
Vietnam	10708887	N/A	43075	N/A	9402046	N/A	1263766	211	108183	435	85814176	866908	98988845	Asia
Argentina	9135308	N/A	128776	N/A	8895999	N/A	110533	300	198692	2801	35716069	776821	45977230	South America
Japan	8618683	+31262	30307	+15	8243263	+32927	345113	96	68540	241	51460902	409241	125747062	Asia
Netherlands	8075194	N/A	22306	N/A	8013297	+2628	39591	36	469316	1296	21107399	1226725	17206307	Europe
Iran	7230053	N/A	141274	N/A	7033986	N/A	54793	670	84052	1642	51877878	603101	86018593	Asia
Australia	6983004	+34036	8109	+12	6563517	N/A	411378	106	267986	311	71279851	2735497	26057364	Australia/Oceania
Colombia	6099111	N/A	139833	N/A	5930545	N/A	28733	342	117506	2694	34792844	670320	51904798	South America
Indonesia	6052590	N/A	156522	N/A	5892411	N/A	3657	2771	21696	561	98090610	351613	278973499	Asia
Poland	6005531	N/A	116268	N/A	5335250	N/A	554013	981	159009	3078	36282083	960644	37768517	Europe
Mexico	5752441	N/A	324617	N/A	5050420	N/A	377404	4798	43750	2469	15897804	120909	131485198	North America
Ukraine	5009301	N/A	108497	N/A	N/A	N/A	N/A	177	115852	2509	19521252	451475	43238840	Europe
Malaysia	4491320	N/A	35643	N/A	4429166	N/A	26511	40	135496	1075	59578095	1797371	33147348	Asia
