Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82662748	+12969	1018335	+19	80465351	+30438	1179062	1426	247115	3044	1000463737	2990818	334511757	North America
India	43059821	+2276	522193	N/A	42519479	N/A	18149	698	30658	372	834717702	594303	1404532227	Asia
Brazil	30349463	+3809	662701	+38	29384354	+19954	302408	8318	140969	3078	63776166	296232	215291063	South America
France	28303931	+58954	145060	+40	25880480	+27573	2278391	1677	431893	2213	266484045	4066309	65534632	Europe
Germany	24140700	+31267	134646	+22	21243000	+63600	2763054	1980	286474	1598	122332384	1451701	84268279	Europe
UK	21933206	N/A	173352	N/A	20782350	+68278	977504	339	320049	2530	514985782	7514671	68530719	Europe
Russia	18137137	+8446	374902	+168	17474628	+10508	287607	2300	124186	2567	273400000	1871993	146047589	Europe
S. Korea	16895194	+64725	22133	+109	N/A	N/A	N/A	726	329027	431	15804065	307778	51348952	Asia
Italy	16136057	+56263	162688	+79	14729220	+44849	1244149	416	267591	2698	211691841	3510580	60301104	Europe
Turkey	15018547	+2277	98691	+15	14870422	+15947	49434	975	174676	1148	158238176	1840414	85979686	Asia
Spain	11786036	N/A	103908	N/A	11261340	N/A	420788	339	251906	2221	471036328	10067564	46787517	Europe
Vietnam	10563502	+8813	43013	+9	9086075	+4581	1434414	612	106786	435	85789114	867241	98921912	Asia
Argentina	9060923	N/A	128344	N/A	8895999	N/A	36580	412	197210	2793	35716069	777357	45945534	South America
Netherlands	8035603	N/A	22206	N/A	7643520	+39086	369877	94	467094	1291	21107399	1226931	17203414	Europe
Japan	7621562	+43721	29284	+27	7135403	+57313	456875	195	60596	233	46690473	371218	125776552	Asia
Iran	7216040	+528	140975	+13	6966954	+2963	108111	1046	83970	1640	50811054	591264	85936350	Asia
Colombia	6091343	+249	139778	+7	5924745	+312	26820	342	117450	2695	34371690	662736	51863331	South America
Indonesia	6044150	+382	156100	+33	5870419	+2168	17631	2771	21683	560	94904806	340463	278752361	Asia
Poland	5991197	+344	115948	N/A	5334375	+35	540874	1588	158616	3070	36027053	953811	37771676	Europe
Mexico	5733514	+802	324117	+57	5033892	+654	375505	4798	43640	2467	15762889	119978	131381631	North America
Australia	5689377	+34769	6991	+21	5274197	N/A	408189	135	218530	269	68845476	2644370	26034737	Australia/Oceania
Ukraine	4997224	N/A	108306	N/A	N/A	N/A	N/A	177	115519	2504	19521252	451266	43258835	Europe
Malaysia	4431073	+4006	35499	+8	4320822	+10223	74752	98	133806	1072	58381292	1762953	33115624	Asia
Thailand	4165874	+17784	27778	+126	3954945	+22846	183151	1496	59414	396	17270775	246315	70116622	Asia
Austria	4104859	+5810	18047	+12	3989860	+10297	96952	121	451118	1983	181825734	19982380	9099303	Europe
Israel	4057772	+3430	10670	+12	4009152	N/A	37950	220	435103	1144	41373364	4436346	9326000	Asia
Belgium	4015791	N/A	31319	N/A	3726457	+16162	258015	169	343794	2681	33456470	2864225	11680811	Europe
Czechia	3895544	+911	40081	+5	3838099	+3401	17364	43	362548	3730	55117064	5129603	10744898	Europe
Portugal	3791744	N/A	22162	N/A	N/A	N/A	N/A	61	373830	2185	41021678	4044348	10142964	Europe
South Africa	3762911	+3222	100303	+5	3633297	+725	29311	175	62032	1654	24332659	401129	60660434	Africa
Canada	3699683	+4098	38783	+6	3429274	+3192	231626	426	96496	1012	60536359	1578918	38340401	North America
Philippines	3684500	+205	60182	+3	3610658	+1233	13660	289	32834	536	29427586	262237	112217561	Asia
Switzerland	3579867	N/A	13816	N/A	3378507	+19775	187544	90	408239	1576	20666182	2356720	8769046	Europe
Peru	3560095	N/A	212736	N/A	N/A	N/A	N/A	340	105322	6294	29627340	876494	33802105	South America
Chile	3546493	+2030	57375	N/A	3378195	+9399	110923	263	182688	2956	36755151	1893341	19412855	South America
Greece	3277557	N/A	28867	N/A	3151717	N/A	96973	277	317254	2794	78872546	7634533	10331024	Europe
Denmark	2959972	+932	6084	+12	2930717	+1614	23171	15	507794	1044	127150212	21813092	5829078	Europe
Romania	2888318	+494	65427	+6	2606660	N/A	216231	216	151971	3442	22594702	1188837	19005726	Europe
Sweden	2498388	N/A	18656	N/A	2464421	+1335	15311	19	244625	1827	18493218	1810733	10213114	Europe
Iraq	2324223	+82	25205	+1	2296270	+323	2748	22	55532	602	18453588	440909	41853538	Asia
Serbia	2001654	+510	15956	+3	1969132	+1346	16566	27	230771	1840	9432261	1087449	8673752	Europe
Bangladesh	1952556	+24	29127	N/A	1893460	+329	29969	1297	11646	174	13961944	83278	167655571	Asia
Hungary	1890953	N/A	46048	N/A	1776617	N/A	68288	45	196646	4789	11295119	1174616	9616008	Europe
Slovakia	1774808	+1155	19839	+10	1730712	+2156	24257	88	324793	3631	7057901	1291610	5464423	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163121	1353	16670254	1605031	10386249	Asia
Georgia	1654255	+92	16800	+3	1635791	+241	1664	N/A	416131	4226	16807205	4227882	3975325	Asia
Pakistan	1527856	+105	30369	N/A	1493998	N/A	3489	186	6682	133	28048307	122672	228644024	Asia
Ireland	1509536	N/A	6996	N/A	1415949	+9147	86591	41	299660	1389	12016948	2385500	5037497	Europe
Norway	1423629	+120	2871	N/A	N/A	N/A	N/A	20	258942	522	11002430	2001214	5497878	Europe
Kazakhstan	1305457	+10	13660	N/A	1290988	+13	809	24	68054	712	11575012	603408	19182717	Asia
Hong Kong	1201860	+429	9249	+13	N/A	N/A	N/A	115	157995	1216	44972952	5912095	7606940	Asia
Singapore	1182168	+2044	1325	N/A	1112762	N/A	68081	8	199235	223	23712995	3996444	5933523	Asia
Morocco	1164700	+30	16065	N/A	1148225	+71	410	293	30893	426	11237010	298053	37701437	Africa
Bulgaria	1153129	+237	36854	+5	959593	+51	156682	105	168244	5377	9799054	1429704	6853902	Europe
Croatia	1117735	+560	15782	+4	1097448	+619	4505	23	275338	3888	4765135	1173821	4059506	Europe
Cuba	1101731	+245	8525	+2	1091901	+298	1305	23	97377	753	12920253	1141958	11314118	North America
Lebanon	1096406	+86	10375	+1	1079455	N/A	6576	186	161946	1532	4795578	708337	6770194	Asia
Lithuania	1054618	+427	9063	+9	1016510	+452	29045	31	397422	3415	8217113	3096535	2653648	Europe
Tunisia	1039532	N/A	28533	N/A	N/A	N/A	N/A	29	86324	2369	4563397	378951	12042183	Africa
Slovenia	1004466	+489	6578	+2	981299	+795	16589	33	483043	3163	2640751	1269925	2079455	Europe
Finland	1000472	N/A	3638	N/A	46000	N/A	950834	31	180061	655	10644579	1915774	5556281	Europe
Nepal	978743	+11	11951	N/A	966523	+25	269	N/A	32534	397	5616752	186702	30083975	Asia
Belarus	977813	+379	6926	+4	928536	N/A	42351	N/A	103541	733	13103056	1387491	9443704	Europe
Bolivia	904446	+152	21908	+1	855488	+913	27050	220	75617	1832	2693845	225222	11960852	South America
UAE	897136	+244	2302	N/A	879787	+361	15047	N/A	88769	228	154420740	15279467	10106422	Asia
Uruguay	895775	N/A	7197	N/A	886654	N/A	1924	18	256266	2059	6091188	1742582	3495495	South America
New Zealand	884289	+5714	636	+9	824272	+5986	59381	N/A	176784	127	6983031	1396020	5002100	Australia/Oceania
Ecuador	868053	N/A	35581	N/A	N/A	N/A	N/A	759	47886	1963	2470170	136268	18127314	South America
Costa Rica	847784	N/A	8383	N/A	829515	N/A	9886	43	163721	1619	4240743	818959	5178213	North America
Guatemala	842572	+203	17520	+6	822541	+288	2511	5	45509	946	4402305	237776	18514535	North America
Latvia	817316	+322	5743	N/A	803135	+457	8438	9	442149	3107	7154016	3870153	1848510	Europe
Azerbaijan	792496	+20	9707	N/A	782646	+12	143	N/A	76909	942	6794952	659423	10304394	Asia
Panama	771819	+333	8182	N/A	760199	+367	3438	8	173930	1844	5832022	1314247	4437539	North America
Saudi Arabia	753417	+85	9078	+2	740672	+205	3667	48	21049	254	41827109	1168555	35793875	Asia
