Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82416687	+33193	1016159	+338	80276197	+32104	1124331	1436	246399	3038	997115318	2981044	334485290	North America
India	43047594	+2067	522006	+10	42513248	+1547	12340	698	30653	372	832506755	592807	1404347026	Asia
Brazil	30279270	+18182	662266	+190	29298848	+36365	318156	8318	140657	3076	63776166	296261	215270453	South America
France	27816299	+25465	144387	+182	25301327	+168976	2370585	1541	424465	2203	260504402	3975184	65532665	Europe
Germany	23588355	+130759	133533	+96	20347900	+262100	3106922	1980	279932	1585	122332384	1451764	84264628	Europe
UK	21863944	+18846	171878	+97	20499397	+193061	1192669	355	319061	2508	512140269	7473679	68525857	Europe
Russia	18092791	+8640	373948	+235	17407228	+16763	311615	2300	123884	2560	273400000	1872003	146046737	Europe
S. Korea	16471940	+118445	21354	+130	N/A	N/A	N/A	834	320788	416	15804065	307781	51348351	Asia
Italy	15758002	+27214	161893	+127	14387830	+35763	1208279	422	261317	2685	209450124	3473335	60302314	Europe
Turkey	15003696	+4217	98610	+23	14780437	+16561	124649	975	174528	1147	157511562	1832227	85967295	Asia
Spain	11736893	+10671	103721	+65	11220981	+13991	412191	345	250857	2217	471036328	10067617	46787271	Europe
Vietnam	10489319	+13500	42975	+18	9065694	+124630	1380650	1010	106049	434	85711086	866557	98909959	Asia
Argentina	9060923	N/A	128344	N/A	8895999	N/A	36580	412	197234	2794	35716069	777452	45939873	South America
Netherlands	8026489	+2505	22167	+4	7489241	+76279	515081	113	466578	1289	21107399	1226968	17202898	Europe
Japan	7402533	+28282	29049	+26	6875015	+45109	498469	213	58852	231	45879318	364753	125781818	Asia
Iran	7210788	+1820	140877	+23	6952007	+3061	117904	1264	83923	1640	50079995	582856	85921663	Asia
Colombia	6089998	+207	139754	+3	5923443	+156	26801	342	117441	2695	34287337	661204	51855927	South America
Indonesia	6041269	+837	155937	+34	5836310	+2750	49022	2771	21676	559	94377545	338619	278712873	Asia
Poland	5985818	+304	115838	N/A	5334130	+17	535850	268	158471	3067	35954670	951881	37772240	Europe
Mexico	5727832	+164	323949	+5	5029117	+681	374766	4798	43603	2466	15717303	119648	131363136	North America
Australia	5457988	+38608	6807	+21	5073532	+55948	377649	144	209675	261	68366502	2626380	26030697	Australia/Oceania
Ukraine	4994246	+1082	108268	+12	N/A	N/A	N/A	177	115441	2503	19521252	451229	43262405	Europe
Malaysia	4402234	+6069	35449	+12	4274746	+10619	92039	97	132958	1071	58043873	1753064	33109959	Asia
Austria	4064839	+5395	16439	+8	3930478	+12049	117922	147	446754	1807	180759844	19866771	9098602	Europe
Thailand	4063844	+16891	27138	+129	3839360	+24927	197346	1496	57960	387	17270775	246323	70114236	Asia
Israel	4040944	+4260	10647	N/A	3941841	N/A	88456	220	433299	1142	41373364	4436346	9326000	Asia
Belgium	3972963	N/A	31165	N/A	3676396	+11502	265402	181	340147	2668	33313880	2852185	11680124	Europe
Czechia	3883280	+880	39997	+4	3822160	+4278	21123	52	361416	3723	55031740	5121791	10744628	Europe
South Africa	3743582	+1475	100195	+14	3628776	+807	14611	175	61724	1652	24212994	399224	60650219	Africa
Portugal	3719485	N/A	21993	N/A	N/A	N/A	N/A	61	366691	2168	40748372	4017243	10143368	Europe
Philippines	3683367	+158	59982	+6	3604570	+1258	18815	289	32829	535	29308300	261220	112197634	Asia
Canada	3654803	+17093	38429	+110	3403872	+25146	212502	426	95336	1002	60261536	1571935	38335885	North America
Switzerland	3579867	+1737	13810	N/A	3293031	+39322	273026	92	408279	1575	20666182	2356951	8768183	Europe
Peru	3557139	+755	212676	+22	N/A	N/A	N/A	356	105254	6293	29453565	871515	33795829	South America
Chile	3532649	+1120	57275	+5	3336320	+11077	139054	346	181996	2951	36493466	1880078	19410616	South America
Greece	3252248	+10211	28701	+49	3109062	+10794	114485	298	314783	2778	78246768	7573453	10331716	Europe
Denmark	2952251	+1702	6019	+11	2918738	+5307	27494	16	506494	1033	127083216	21802638	5828800	Europe
Romania	2884114	+1524	65366	+19	2606660	N/A	212088	228	151736	3439	22513208	1184440	19007469	Europe
Sweden	2495996	N/A	18572	N/A	2459014	+592	18410	24	244412	1819	18471631	1808771	10212255	Europe
Iraq	2323508	+224	25200	+2	2294018	+591	4290	32	55532	602	18434537	440584	41841178	Asia
Serbia	1997855	+987	15936	+3	1962295	+1655	19624	22	230321	1837	9395105	1083105	8674230	Europe
Bangladesh	1952412	+50	29126	N/A	1891528	+331	31758	1283	11647	174	13936400	83136	167633174	Asia
Hungary	1884458	+4978	45971	+106	1760777	+12070	77710	49	195964	4781	11275271	1172511	9616342	Europe
Slovakia	1765962	+704	19773	+14	1712337	+5126	33852	109	323177	3619	7023635	1285347	5464387	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163143	1353	16670254	1605245	10384866	Asia
Georgia	1653460	+342	16794	+1	1634474	+161	2192	N/A	415920	4224	16728948	4208086	3975429	Asia
Pakistan	1527411	+85	30364	N/A	1493707	+45	3340	209	6682	133	27944584	122250	228585333	Asia
Ireland	1505568	+778	6964	+32	1379221	+5067	119383	44	298917	1383	11993341	2381170	5036743	Europe
Norway	1420750	+717	2783	N/A	N/A	N/A	N/A	20	258445	506	11002430	2001424	5497300	Europe
Kazakhstan	1305406	+10	13660	N/A	1290896	+16	850	24	68062	712	11575012	603505	19179649	Asia
Hong Kong	1199038	+600	9176	+17	N/A	N/A	N/A	115	157641	1206	44972952	5912739	7606111	Asia
Singapore	1167498	+4718	1317	+1	1099142	+1842	67039	9	196784	222	23712995	3996867	5932896	Asia
Morocco	1164467	+56	16064	N/A	1147803	+63	600	293	30891	426	11237010	298100	37695462	Africa
Bulgaria	1151011	+669	36816	+6	955364	+2871	158831	116	167918	5371	9769261	1425210	6854612	Europe
Croatia	1113663	+116	15752	+10	1094448	+589	3463	22	274311	3880	4745536	1168894	4059850	Europe
Cuba	1100312	+239	8522	+1	1090258	+420	1532	23	97250	753	12920253	1141949	11314212	North America
Lebanon	1095811	+126	10365	+2	1077830	+1299	7616	186	161848	1531	4795578	708293	6770609	Asia
Lithuania	1050181	+380	9027	+3	1008847	+1625	32307	53	395673	3401	8186572	3084427	2654163	Europe
Tunisia	1039532	+864	28533	+24	N/A	N/A	N/A	29	86336	2370	4563397	379004	12040494	Africa
Slovenia	998247	+456	6564	+4	972305	+3425	19378	30	480053	3157	2635151	1267234	2079451	Europe
Nepal	978684	+10	11951	N/A	966399	+26	334	N/A	32539	397	5603173	186295	30076806	Asia
Belarus	974961	+247	6908	+5	928536	N/A	39517	N/A	103239	731	13044848	1381321	9443746	Europe
Finland	949583	N/A	3517	N/A	46000	N/A	900066	29	170906	633	10591416	1906246	5556164	Europe
Bolivia	904029	+121	21904	+1	853081	+475	29044	220	75596	1832	2693845	225263	11958676	South America
UAE	895892	+229	2302	N/A	878056	+408	15534	N/A	88660	228	152983497	15139701	10104790	Asia
Uruguay	895775	N/A	7197	N/A	886654	N/A	1924	18	256278	2059	6091188	1742664	3495331	South America
Ecuador	866925	N/A	35528	N/A	N/A	N/A	N/A	759	47834	1960	2470170	136295	18123652	South America
Costa Rica	847784	N/A	8383	N/A	829515	N/A	9886	43	163741	1619	4240743	819059	5177579	North America
New Zealand	839455	+8306	570	+6	785513	+11105	53372	N/A	167821	114	6972596	1393934	5002100	Australia/Oceania
Guatemala	838518	+910	17445	+11	818376	+984	2697	5	45301	942	4370594	236121	18510001	North America
Latvia	813415	+172	5716	+1	798646	+1392	9053	11	439971	3092	7130453	3856815	1848793	Europe
Azerbaijan	792391	+26	9706	N/A	782572	+39	113	N/A	76908	942	6776404	657702	10303147	Asia
Panama	769457	+479	8179	N/A	758759	+262	2519	9	173434	1844	5800865	1307499	4436610	North America
Saudi Arabia	752848	+143	9072	+3	739536	+240	4240	56	21037	254	41771765	1167250	35786463	Asia
Sri Lanka	662945	+33	16497	+1	642557	+1	3891	N/A	30728	765	6477329	300233	21574344	Asia
Paraguay	648682	+236	18786	+5	624673	N/A	5223	6	88986	2577	2615453	358786	7289722	South America
Kuwait	631002	+114	2555	N/A	627507	+229	940	8	143937	583	7983058	1821007	4383870	Asia
Myanmar	612658	+56	19434	N/A	591507	+134	1717	N/A	11126	353	7848897	142541	55064259	Asia
Palestine	581816	N/A	5353	N/A	575899	N/A	564	17	109486	1007	3078533	579316	5314081	Asia
Dominican Republic	578789	N/A	4375	N/A	574244	N/A	170	16	52412	396	3255822	294829	11043085	North America
Estonia	568335	+691	2525	+3	502807	+554	63003	4	427919	1901	3298904	2483860	1328136	Europe
Bahrain	564176	+592	1474	N/A	558931	+485	3771	3	312114	815	9683216	5356958	1807596	Asia
Venezuela	522055	+6	5703	+1	514962	+51	1390	230	18453	202	3359014	118729	28291388	South America
Moldova	516587	+143	11485	+3	503599	+186	1503	49	128596	2859	3207753	798516	4017142	Europe
Egypt	515645	N/A	24613	N/A	442182	N/A	48850	122	4874	233	3693367	34910	105796348	Africa
Libya	501862	N/A	6429	N/A	490900	N/A	4533	101	71298	913	2476960	351895	7038917	Africa
Ethiopia	470305	+17	7509	N/A	453658	+12	9138	21	3917	63	4746224	39529	120070011	Africa
Mongolia	469399	+34	2177	N/A	313256	N/A	153966	192	139164	645	4030048	1194799	3372992	Asia
Cyprus	464366	N/A	993	N/A	124370	N/A	339003	60	379654	812	9477138	7748273	1223129	Asia
Armenia	422784	+14	8622	N/A	410485	+27	3677	N/A	142199	2900	3020875	1016042	2973180	Asia
Honduras	422239	+580	10892	+1	131100	N/A	280247	105	41448	1069	1263329	124012	10187191	North America
Oman	388922	+31	4257	N/A	384002	+27	663	7	72839	797	25000000	4682077	5339511	Asia
Bosnia and Herzegovina	376526	+89	15752	+3	192218	N/A	168556	N/A	116061	4855	1750145	539467	3244209	Europe
Qatar	363754	+100	677	N/A	362094	+143	983	1	129551	241	3423078	1219130	2807805	Asia
Réunion	360445	N/A	731	N/A	342442	N/A	17272	10	397502	806	1603660	1768529	906776	Africa
Kenya	323630	+12	5649	N/A	317851	+40	130	N/A	5790	101	3570754	63883	55895462	Africa
Zambia	318640	+125	3973	N/A	313836	+144	831	N/A	16504	206	3402725	176242	19307077	Africa
North Macedonia	308752	+133	9263	+1	298688	+156	801	N/A	148209	4446	1999002	959573	2083221	Europe
Botswana	305859	N/A	2688	N/A	303026	N/A	145	1	125517	1103	2026898	831791	2436788	Africa
Albania	274535	+15	3496	N/A	270742	+84	297	2	95585	1217	1794631	624837	2872159	Europe
Algeria	265746	+5	6874	N/A	178336	N/A	80536	6	5870	152	230861	5099	45271360	Africa
Nigeria	255670	+22	3143	N/A	249874	+27	2653	11	1187	15	5036813	23394	215301380	Africa
Zimbabwe	247297	N/A	5464	N/A	241112	N/A	721	12	16215	358	2229802	146206	15251064	Africa
Uzbekistan	238321	+8	1637	N/A	236321	+12	363	23	6940	48	1377915	40126	34339369	Asia
Montenegro	234336	+85	2709	N/A	231004	+88	623	6	373022	4312	2440882	3885462	628209	Europe
Luxembourg	230991	+1680	1055	+1	218109	+3553	11827	2	358545	1638	4205548	6527860	644246	Europe
Mozambique	225338	+6	2201	N/A	223088	+9	49	13	6865	67	1307186	39822	32825481	Africa
