Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82553058	N/A	1017609	N/A	80355389	N/A	1180060	1492	246798	3042	999047824	2986727	334495877	North America
India	43052425	N/A	522116	N/A	42516068	N/A	14241	698	30655	372	833825991	593715	1404421106	Asia
Brazil	30330629	N/A	662556	N/A	29353398	N/A	314675	8318	140890	3078	63776166	296249	215278697	South America
France	28076017	N/A	144799	N/A	25618673	N/A	2312545	1677	428423	2210	266484045	4066382	65533452	Europe
Germany	23987618	+72181	134434	+150	21058000	+204900	2795184	1980	284665	1595	122332384	1451739	84266089	Europe
UK	21909509	N/A	173032	N/A	20652937	N/A	1083540	349	319717	2525	514563763	7508832	68527802	Europe
Russia	18119862	+9001	374563	+195	17451090	+13480	294209	2300	124069	2565	273400000	1871999	146047077	Europe
S. Korea	16755055	+81010	21873	+206	N/A	N/A	N/A	833	326300	426	15804065	307780	51348592	Asia
Italy	16008181	+73212	162466	+202	14622593	+73233	1223122	411	265468	2694	210944097	3498138	60301830	Europe
Turkey	15010718	N/A	98645	N/A	14817258	N/A	94815	975	174600	1147	157823818	1835753	85972252	Asia
Spain	11736893	N/A	103721	N/A	11220981	N/A	412191	345	250856	2217	471036328	10067596	46787369	Europe
Vietnam	10544324	+11160	42998	+7	9079265	+2338	1422061	822	106600	435	85776230	867173	98914740	Asia
Argentina	9060923	N/A	128344	N/A	8895999	N/A	36580	412	197225	2794	35716069	777414	45942138	South America
Netherlands	8035603	+2628	22206	+9	7604443	+42770	408954	94	467102	1291	21107399	1226953	17203105	Europe
Japan	7535033	+47409	29201	+50	7027666	+42371	478166	207	59907	232	46394230	368853	125779711	Asia
Iran	7214904	+1096	140940	+21	6960970	+2925	112994	1134	83965	1640	50079995	582817	85927538	Asia
Colombia	6090520	N/A	139759	N/A	5923901	N/A	26860	342	117444	2695	34327907	661948	51858888	South America
Indonesia	6043246	+651	156040	+25	5866169	+10808	21037	2771	21681	560	94695148	339740	278728668	Asia
Poland	5989614	+1097	115926	+27	5334291	+72	539397	268	158573	3069	36005439	953231	37772015	Europe
Mexico	5731635	+1075	324033	+29	5032356	+869	375246	4798	43630	2467	15747399	119870	131370534	North America
Australia	5612854	+48984	6939	+46	5186006	N/A	419909	134	215611	267	68697978	2638950	26032313	Australia/Oceania
Ukraine	4996411	N/A	108296	N/A	N/A	N/A	N/A	177	115495	2503	19521252	451244	43260977	Europe
Malaysia	4415101	N/A	35470	N/A	4291447	N/A	88184	92	133337	1071	58190515	1757373	33112225	Asia
Thailand	4128038	+21808	27523	+128	3909738	+19826	190777	1496	58875	393	17270775	246320	70115191	Asia
Austria	4092513	+8155	17057	N/A	3967810	+9448	107646	127	449782	1875	181611092	19959713	9098883	Europe
Israel	4047693	N/A	10658	N/A	4009152	N/A	27883	220	434022	1143	41373364	4436346	9326000	Asia
Belgium	4015791	N/A	31319	N/A	3710449	+20146	274023	169	343806	2681	33456470	2864326	11680399	Europe
Czechia	3892504	+2164	40058	+8	3831186	+5729	21260	50	362271	3728	55091627	5127313	10744736	Europe
South Africa	3750830	N/A	100276	N/A	3631082	N/A	19472	175	61839	1653	24262108	400006	60654305	Africa
Portugal	3719485	N/A	21993	N/A	N/A	N/A	N/A	61	366697	2168	40748372	4017307	10143206	Europe
Canada	3684288	N/A	38688	N/A	3415904	N/A	229696	426	96101	1009	60485077	1577692	38337692	North America
Philippines	3684094	+230	60118	+62	3608194	+1156	15782	289	32833	536	29359833	261661	112205605	Asia
Switzerland	3579867	N/A	13816	N/A	3336263	+30953	229788	90	408263	1576	20666182	2356859	8768528	Europe
Peru	3558613	N/A	212715	N/A	N/A	N/A	N/A	351	105290	6294	29550426	874316	33798340	South America
Chile	3538843	N/A	57325	N/A	3350639	N/A	130879	295	182306	2953	36604833	1885728	19411512	South America
Greece	3273382	+7014	28839	+31	3144822	+8592	99721	278	316837	2791	78799329	7627140	10331439	Europe
Denmark	2957826	+1520	6060	+13	2926800	+2486	24966	15	507441	1040	127128267	21809952	5828911	Europe
Romania	2887258	+974	65412	+9	2606660	N/A	215186	218	151907	3442	22573847	1187674	19006772	Europe
Sweden	2498388	N/A	18656	N/A	2461823	N/A	17909	19	244638	1827	18493218	1810824	10212599	Europe
Iraq	2323878	N/A	25201	N/A	2295073	N/A	3604	24	55534	602	18443454	440745	41846122	Asia
Serbia	2000516	+763	15948	+3	1966248	+1466	18320	24	230633	1839	9422021	1086232	8674039	Europe
Bangladesh	1952506	+21	29127	N/A	1892816	+373	30563	1297	11647	174	13951348	83221	167642133	Asia
Hungary	1890953	+2047	46048	+24	1776617	+6551	68288	45	196642	4789	11295119	1174592	9616208	Europe
Slovakia	1772201	+1741	19817	+14	1725465	+3560	26919	92	324318	3627	7046883	1289598	5464401	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163134	1353	16670254	1605160	10385419	Asia
Georgia	1654076	+161	16795	+1	1635291	+301	1990	N/A	416079	4225	16793137	4224277	3975387	Asia
Pakistan	1527669	+80	30368	N/A	1493933	+63	3368	196	6682	133	28008999	122519	228608810	Asia
Ireland	1509536	+1163	6996	+3	1397936	+7032	104604	39	299687	1389	12016948	2385714	5037045	Europe
Norway	1422583	N/A	2871	N/A	N/A	N/A	N/A	20	258768	522	11002430	2001340	5497531	Europe
Kazakhstan	1305440	+9	13660	N/A	1290964	+19	816	24	68059	712	11575012	603466	19180876	Asia
Hong Kong	1200908	+574	9227	+15	N/A	N/A	N/A	115	157880	1213	44972952	5912481	7606443	Asia
Singapore	1174390	N/A	1322	N/A	1104841	N/A	68227	6	197937	223	23712995	3996698	5933147	Asia
Morocco	1164567	N/A	16064	N/A	1148002	N/A	501	293	30892	426	11237010	298081	37697852	Africa
Bulgaria	1152251	N/A	36838	N/A	959289	N/A	156124	111	168106	5374	9788010	1428004	6854328	Europe
Croatia	1116281	+839	15772	+7	1096180	+846	4329	22	274966	3885	4758247	1172065	4059712	Europe
Cuba	1101220	+282	8523	+1	1091293	+316	1404	23	97331	753	12920253	1141953	11314174	North America
Lebanon	1096099	N/A	10370	N/A	1078634	N/A	7095	186	161895	1532	4795578	708311	6770443	Asia
Lithuania	1053448	+994	9046	+5	1014419	+1444	29983	40	396935	3408	8208195	3092814	2653957	Europe
Tunisia	1039532	N/A	28533	N/A	N/A	N/A	N/A	29	86331	2370	4563397	378983	12041170	Africa
Slovenia	1002908	+1154	6569	+1	978652	+1900	17687	29	482294	3159	2638757	1268967	2079452	Europe
Finland	1000472	N/A	3638	N/A	46000	N/A	950834	31	180064	655	10644579	1915799	5556210	Europe
Nepal	978714	+9	11951	N/A	966481	+25	282	N/A	32537	397	5609917	186502	30079674	Asia
