Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84944227	+101346	1028830	+309	81545166	+51724	2370231	2291	253827	3074	1021409215	3052129	334654677	North America
India	43134332	+2510	524348	+25	42594801	+2346	15183	698	30689	373	845855351	601804	1405532315	Asia
Brazil	30762413	+10187	665595	+104	29801225	+54585	295593	8318	142814	3090	63776166	296079	215402357	South America
France	29315478	+24332	147780	+65	28497570	+49415	670128	1173	447256	2255	271490188	4142026	65545257	Europe
Germany	26053934	+40651	138633	+145	24526300	+100800	1389001	944	309106	1645	122332384	1451362	84287990	Europe
UK	22238715	+6338	177977	+87	21804585	+30521	256153	188	324383	2596	522526476	7621785	68556972	Europe
Russia	18283706	+5089	378168	+96	17676801	+6173	228737	2300	125186	2589	273400000	1871934	146052189	Europe
S. Korea	17914957	+25108	23885	+43	17271891	+20044	619181	251	348864	465	15804065	307758	51352197	Asia
Italy	17205287	+26831	165827	+89	16164780	+45494	874680	307	285354	2750	219039166	3632817	60294572	Europe
Turkey	15060112	N/A	98918	N/A	14957668	N/A	3526	975	175023	1150	161284037	1874380	86046598	Asia
Spain	12238073	+19613	105947	+101	11620275	+10567	511851	339	261560	2264	471036328	10067278	46788848	Europe
Vietnam	10706111	+1587	43075	+2	9390032	+7151	1273004	221	108157	435	85813406	866921	98986455	Asia
Argentina	9135308	N/A	128776	N/A	8895999	N/A	110533	300	198697	2801	35716069	776840	45976098	South America
Japan	8513463	+38812	30211	+36	8131023	+34198	352229	106	67703	240	51147901	406749	125748115	Asia
Netherlands	8075194	+1048	22306	+5	8007677	+3494	45211	36	469319	1296	21107399	1226732	17206203	Europe
Iran	7229582	+228	141262	+9	7030355	+1864	57965	706	84050	1642	51877878	603121	86015656	Asia
Australia	6863827	+49921	8027	+51	6477660	+50329	378140	118	263420	308	71065415	2727353	26056556	Australia/Oceania
Colombia	6099111	N/A	139833	N/A	5930545	N/A	28733	342	117509	2694	34792844	670340	51903317	South America
Indonesia	6052100	+250	156513	+3	5891872	+298	3715	2771	21695	561	97850450	350762	278965601	Asia
Poland	6005100	+314	116255	+13	5335204	+14	553641	981	158997	3078	36267690	960260	37768630	Europe
Mexico	5752441	N/A	324617	N/A	5050420	N/A	377404	4798	43751	2469	15897804	120913	131481499	North America
Ukraine	5009301	N/A	108497	N/A	N/A	N/A	N/A	177	115850	2509	19521252	451467	43239554	Europe
Malaysia	4487482	+2063	35638	+5	4422615	+2618	29229	36	135384	1075	59539583	1796271	33146215	Asia
Thailand	4401378	+6463	29681	+41	4312790	+7091	58907	1496	62761	423	17270775	246270	70129507	Asia
Austria	4228908	+3234	18333	+5	4156309	N/A	54266	58	464558	2014	185987121	20431214	9103087	Europe
Belgium	4134293	N/A	31675	N/A	3979453	+12443	123165	105	353826	2711	33947485	2905337	11684524	Europe
Israel	4118983	+1904	10827	+1	4091996	+8385	16160	150	441667	1161	41373364	4436346	9326000	Asia
Portugal	4066674	N/A	22583	N/A	N/A	N/A	N/A	61	401022	2227	42182746	4159714	10140780	Europe
South Africa	3921633	+6375	100916	+18	3739543	+5974	81174	192	64590	1662	25025578	412177	60715592	Africa
Czechia	3917653	+359	40264	N/A	3874521	+1091	2868	6	364556	3747	55353939	5150948	10746360	Europe
Canada	3844725	+2292	40664	+37	3513673	+1892	290388	370	100215	1060	61679093	1607701	38364787	North America
Philippines	3688505	+211	60455	+3	3625934	+230	2116	480	32838	538	29968025	266797	112325166	Asia
Switzerland	3642604	N/A	13934	N/A	3566520	+2313	62150	71	415173	1588	20991820	2392582	8773708	Europe
Chile	3630741	+6852	57782	+15	3477767	+2872	95192	141	186911	2975	37957279	1954048	19424947	South America
Peru	3574876	+694	213086	+9	N/A	N/A	N/A	187	105653	6298	30394302	898283	33835997	South America
Greece	3414189	+3708	29658	+16	3332137	+3172	52394	159	330599	2872	81725529	7913553	10327286	Europe
Denmark	2979238	N/A	6312	N/A	2963690	N/A	9236	11	510968	1083	127377418	21846444	5830579	Europe
Romania	2905539	+484	65647	+5	N/A	N/A	N/A	123	152953	3456	23041010	1212920	18996310	Europe
Sweden	2506607	N/A	18908	N/A	2478858	N/A	8841	7	245319	1851	18573144	1817733	10217752	Europe
Iraq	2327114	+149	25216	N/A	2300633	+122	1265	11	55513	602	18550600	442521	41920284	Asia
DPRK	2241610	+263380	65	+2	1486730	+248730	754815	N/A	86244	3	N/A	N/A	25991378	Asia
