Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84230829	+21356	1026670	+24	81282964	+38704	1921195	1953	251719	3068	1017024894	3039316	334622917	North America
India	43123801	+2202	524241	+27	42582243	+2550	17317	698	30686	373	844134156	600675	1405310074	Asia
Brazil	30688390	+6296	664967	+47	29724682	+6280	298741	8318	142486	3087	63776166	296113	215377625	South America
France	29183646	+22844	147257	N/A	28170658	+13984	865731	1329	445260	2247	271490188	4142176	65542896	Europe
Germany	25780270	+5761	137921	+14	23956700	+31300	1685649	1279	305875	1636	122332384	1451437	84283610	Europe
UK	22159805	N/A	176708	N/A	21703057	+45287	280040	253	323259	2578	519264096	7574843	68551138	Europe
Russia	18260293	+4956	377670	+99	17647179	+6200	235444	2300	125027	2586	273400000	1871947	146051167	Europe
S. Korea	17782061	+25434	23709	+48	17062917	+76713	695435	338	346281	462	15804065	307763	51351476	Asia
Italy	17057873	+27162	165244	+62	15894511	+30334	998118	347	282902	2741	217853667	3613069	60296023	Europe
Turkey	15054322	+1154	98900	+10	14952428	+1190	2994	975	174986	1150	160742893	1868414	86031729	Asia
Spain	12127122	N/A	105444	N/A	11548089	N/A	473589	339	259190	2254	471036328	10067341	46788553	Europe
Vietnam	10696630	+1594	43065	N/A	9355040	+5448	1298525	340	108077	435	85811485	867027	98972112	Asia
Argentina	9135308	+3615	128776	+6	8895999	N/A	110533	300	198726	2801	35716069	776955	45969306	South America
Japan	8338211	+38627	30039	+34	7951587	+26801	356585	139	66306	239	50444181	401132	125754434	Asia
Netherlands	8067116	N/A	22292	N/A	7989151	+4694	55673	55	468866	1296	21107399	1226776	17205584	Europe
Iran	7228051	+368	141224	+8	7020835	+1967	65992	737	84049	1642	51771715	602010	85998032	Asia
Australia	6593795	+42171	7794	+21	6199822	+47638	386179	129	253104	299	70885598	2720958	26051707	Australia/Oceania
Colombia	6095316	N/A	139821	N/A	5928829	N/A	26666	342	117456	2694	34675581	668195	51894431	South America
Indonesia	6050776	+257	156458	+5	5889534	+293	4784	2771	21694	561	97245391	348652	278918214	Asia
Poland	6003436	+139	116207	N/A	5335112	+12	552117	981	158950	3077	36224215	959091	37769307	Europe
Mexico	5745652	N/A	324465	N/A	5044893	N/A	376294	4798	43707	2468	15855490	120611	131459306	North America
Ukraine	5006460	N/A	108449	N/A	N/A	N/A	N/A	177	115773	2508	19521252	451423	43243839	Europe
Malaysia	4478112	+2239	35615	+3	4411762	+2603	30735	45	135129	1075	59316942	1789921	33139417	Asia
Thailand	4373846	+6094	29475	+51	4273599	+8601	70772	1496	62371	420	17270775	246280	70126644	Asia
Austria	4212492	+3335	18303	N/A	4135885	+4886	58304	58	462797	2011	185034905	20328489	9102246	Europe
Belgium	4116397	N/A	31613	N/A	3941350	+6222	143434	117	352320	2706	33846023	2896859	11683699	Europe
Israel	4108401	+3032	10800	+9	4081150	+3404	16451	150	440532	1158	41373364	4436346	9326000	Asia
Portugal	4066674	N/A	22583	N/A	N/A	N/A	N/A	61	401003	2227	41903714	4132001	10141265	Europe
Czechia	3915847	+143	40246	N/A	3871647	+1153	3954	14	364399	3745	55323981	5148316	10746035	Europe
South Africa	3891793	+4344	100755	+2	3710696	+2349	80342	192	64112	1660	24885511	409953	60703335	Africa
Canada	3822910	+1564	40235	+7	3501516	+1952	281159	423	99660	1049	61436458	1601602	38359368	North America
Philippines	3687922	N/A	60455	N/A	3624459	N/A	3008	289	32840	538	29827732	265605	112301254	Asia
Switzerland	3631881	N/A	13882	N/A	3551493	+5604	66506	78	413999	1582	20927607	2385545	8772672	Europe
Chile	3605522	+4626	57722	+8	3468131	+3406	79669	159	185639	2972	37693651	1940745	19422260	South America
Peru	3572423	+504	213040	+17	N/A	N/A	N/A	248	105604	6298	30251229	894254	33828466	South America
Greece	3392575	+3269	29547	+11	3306014	+4247	57014	176	328480	2861	81233888	7865314	10328117	Europe
Denmark	2976667	+452	6287	+2	2960386	+617	9994	12	510556	1078	127345763	21842262	5830246	Europe
Romania	2903072	+282	65612	+6	N/A	N/A	N/A	138	152806	3454	22954921	1208255	18998403	Europe
Sweden	2504894	N/A	18864	N/A	2477725	+1214	8305	9	245176	1846	18553837	1816027	10216721	Europe
Iraq	2326458	+102	25216	N/A	2299985	+102	1257	10	55517	602	18529376	442171	41905451	Asia
Serbia	2012836	+239	16049	+3	1988209	+920	8578	12	232114	1851	9596815	1106677	8671742	Europe
Bangladesh	1953012	+33	29127	N/A	1899419	+269	24466	1273	11642	174	14051455	83764	167749641	Asia
Hungary	1909948	N/A	46343	N/A	1821435	N/A	42170	29	198651	4820	11394556	1185130	9614607	Europe
Slovakia	1787093	+179	20041	+13	1761664	+727	5388	30	327032	3667	7127129	1304242	5464574	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163030	1352	16670254	1604134	10392056	Asia
Georgia	1655221	N/A	16811	N/A	1637293	N/A	1117	N/A	416420	4229	16920079	4256745	3974887	Asia
Ireland	1535451	N/A	7203	N/A	1499879	+1933	28369	28	304613	1429	12144747	2409357	5040660	Europe
Pakistan	1529249	+84	30376	N/A	1494141	N/A	4732	109	6681	133	28350449	123860	228890529	Asia
Norway	1429771	+54	3061	N/A	N/A	N/A	N/A	20	259944	557	11002430	2000330	5500307	Europe
Kazakhstan	1305644	+8	13661	N/A	1291818	+149	165	24	68018	712	11575012	603003	19195600	Asia
Singapore	1242884	+2651	1363	+1	1166037	+3897	75484	8	209375	230	23767171	4003796	5936160	Asia
Hong Kong	1208506	+259	9361	+1	N/A	N/A	N/A	5	158796	1230	44972952	5909387	7610426	Asia
Morocco	1165795	+89	16071	N/A	1149054	+39	670	293	30901	426	11237010	297854	37726532	Africa
Bulgaria	1161630	+126	37048	+3	1014483	+181	110099	54	169558	5408	9926953	1448996	6850918	Europe
Croatia	1131450	+345	15930	+5	1111405	+628	4115	15	278815	3926	4838151	1192232	4058061	Europe
Cuba	1104589	+93	8529	N/A	1095534	+92	526	23	97633	754	12920253	1141998	11313723	North America
Lebanon	1098034	+78	10408	+1	1084853	N/A	2773	186	162228	1538	4795578	708520	6768448	Asia
Finland	1069740	N/A	4284	N/A	N/A	N/A	N/A	21	192511	771	10832080	1949347	5556773	Europe
Lithuania	1060620	+26	9129	+2	1032608	+128	18883	11	400010	3443	9954903	3754463	2651485	Europe
New Zealand	1043683	+5828	923	+14	989005	+5719	53755	N/A	208649	185	7127584	1424918	5002100	Australia/Oceania
Tunisia	1041197	N/A	28575	N/A	N/A	N/A	N/A	29	86412	2372	4592916	381178	12049274	Africa
Slovenia	1019699	+231	6622	N/A	1003559	N/A	9518	9	490365	3184	2657368	1277906	2079471	Europe
Belarus	982867	N/A	6978	N/A	N/A	N/A	N/A	N/A	104078	739	13220483	1399952	9443526	Europe
Nepal	978998	+7	11952	N/A	966904	+15	142	N/A	32510	397	5669140	188255	30114082	Asia
Bolivia	906146	+63	21943	N/A	863665	+231	20538	220	75701	1833	2705422	226017	11969990	South America
Uruguay	902540	N/A	7213	N/A	892434	N/A	2893	18	258150	2063	6114822	1748999	3496184	South America
UAE	902484	+323	2302	N/A	886128	+303	14054	N/A	89238	228	159103283	15732120	10113277	Asia
Ecuador	872268	N/A	35607	N/A	N/A	N/A	N/A	759	48078	1963	2470170	136152	18142695	South America
Costa Rica	866164	N/A	8444	N/A	841683	N/A	16037	48	167185	1630	4401922	849648	5180880	North America
Guatemala	852503	+71	17822	+5	832497	+136	2184	5	45998	962	4543522	245151	18533577	North America
Latvia	825699	N/A	5798	N/A	816253	N/A	3648	6	446971	3139	7217715	3907126	1847321	Europe
Panama	808443	+2166	8205	+2	775621	+2200	24617	16	182023	1847	6030317	1357739	4441439	North America
Azerbaijan	792638	N/A	9709	N/A	782869	N/A	60	N/A	76883	942	6838458	663308	10309632	Asia
Taiwan	768504	+68730	1068	+19	60634	+14491	706802	N/A	32159	45	16207475	678217	23897173	Asia
Saudi Arabia	759226	+431	9116	+2	743921	+349	6189	61	21193	254	42144668	1176404	35825005	Asia
Sri Lanka	663671	+8	16511	N/A	646921	+763	239	N/A	30753	765	6486117	300552	21580707	Asia
Paraguay	649718	N/A	18872	N/A	624673	N/A	6173	2	89052	2587	2633737	360986	7295944	South America
Kuwait	632074	N/A	2555	N/A	629114	N/A	405	3	144034	582	8071763	1839358	4388359	Asia
Myanmar	613140	+4	19434	N/A	592089	+8	1617	N/A	11130	353	8083326	146729	55090128	Asia
Palestine	582119	N/A	5353	N/A	576684	N/A	82	17	109369	1006	3078533	578397	5322527	Asia
Dominican Republic	580412	N/A	4376	N/A	575583	N/A	453	1	52522	396	3305829	299148	11050807	North America
Bahrain	577652	+655	1479	N/A	570461	+703	5712	4	318824	816	9784846	5400559	1811821	Asia
Estonia	573922	N/A	2556	N/A	514836	N/A	56530	3	432105	1924	3345340	2518704	1328199	Europe
