Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84209473	+26740	1026646	+56	81244260	+37227	1938567	1941	251655	3068	1016882505	3038891	334622917	North America
India	43121599	+2487	524214	+13	42579693	+2878	17692	698	30685	373	842944795	599828	1405310074	Asia
Brazil	30682094	+17355	664920	+90	29718402	+6664	298772	8318	142457	3087	63776166	296113	215377625	South America
France	29160802	+30459	147257	N/A	28156674	+58856	856871	1329	444912	2247	271490188	4142176	65542896	Europe
Germany	25774509	+40929	137907	+98	23925400	+49700	1711202	1279	305807	1636	122332384	1451437	84283610	Europe
UK	22159805	N/A	176708	N/A	21657770	N/A	325327	253	323259	2578	519264096	7574843	68551138	Europe
Russia	18255337	+5047	377571	+107	17640979	+7378	236787	2300	124993	2585	273400000	1871947	146051167	Europe
S. Korea	17756627	+29541	23661	+55	16986204	+80246	746762	341	345786	461	15804065	307763	51351476	Asia
Italy	17030711	+36606	165182	+91	15864177	+43318	1001352	340	282452	2740	217659090	3609842	60296023	Europe
Turkey	15053168	+1407	98890	+5	14951238	+1645	3040	975	174972	1149	160622710	1867017	86031729	Asia
Spain	12127122	N/A	105444	N/A	11548089	N/A	473589	339	259190	2254	471036328	10067341	46788553	Europe
Vietnam	10695036	+1895	43065	+2	9349592	+5563	1302379	340	108061	435	85810502	867017	98972112	Asia
Argentina	9131693	+4453	128770	+6	8895999	N/A	106924	372	198648	2801	35716069	776955	45969306	South America
Japan	8299584	+39228	30005	+31	7924786	+33849	344793	159	65998	239	50331407	400236	125754434	Asia
Netherlands	8067116	N/A	22292	N/A	7984457	N/A	60367	55	468866	1296	21107399	1226776	17205584	Europe
Iran	7227683	+255	141216	+7	7018868	+2191	67599	751	84045	1642	51733191	601562	85998032	Asia
Australia	6551624	+49985	7773	+52	6152184	+30265	391667	122	251485	298	70825186	2718639	26051707	Australia/Oceania
Colombia	6095316	N/A	139821	N/A	5928829	N/A	26666	342	117456	2694	34675581	668195	51894431	South America
Indonesia	6050519	+308	156453	+5	5889241	+416	4825	2771	21693	561	97245391	348652	278918214	Asia
Poland	6003297	+434	116207	+21	5335100	+30	551990	981	158946	3077	36218274	958934	37769307	Europe
Mexico	5745652	N/A	324465	N/A	5044893	N/A	376294	4798	43707	2468	15855490	120611	131459306	North America
Ukraine	5006460	N/A	108449	N/A	N/A	N/A	N/A	177	115773	2508	19521252	451423	43243839	Europe
Malaysia	4475873	+2373	35612	+5	4409159	N/A	31102	47	135062	1075	59274648	1788645	33139417	Asia
Thailand	4367752	+6736	29424	+54	4264998	+9213	73330	1496	62284	420	17270775	246280	70126644	Asia
Austria	4209157	+3777	18303	+7	4130999	+6178	59855	62	462431	2011	184964595	20320764	9102246	Europe
Belgium	4116397	N/A	31613	N/A	3935128	N/A	149656	117	352320	2706	33846023	2896859	11683699	Europe
Israel	4105369	+1083	10791	+8	4077746	N/A	16832	150	440207	1157	41373364	4436346	9326000	Asia
Portugal	4066674	N/A	22583	N/A	N/A	N/A	N/A	61	401003	2227	41810659	4122825	10141265	Europe
Czechia	3915704	+469	40246	+1	3870494	+1311	4964	14	364386	3745	55320767	5148017	10746035	Europe
South Africa	3887449	+8015	100753	+9	3708347	+5931	78349	192	64040	1660	24841314	409225	60703335	Africa
Canada	3821346	+1575	40228	+11	3499564	+2073	281554	423	99620	1049	61436458	1601602	38359368	North America
Philippines	3687922	+174	60455	N/A	3624459	+288	3008	289	32840	538	29827732	265605	112301254	Asia
Switzerland	3631881	N/A	13882	N/A	3545889	+5618	72110	78	413999	1582	20927607	2385545	8772672	Europe
Chile	3600896	+4928	57714	+17	3464725	+3605	78457	163	185400	2972	37637293	1937843	19422260	South America
Peru	3571919	+403	213023	+10	N/A	N/A	N/A	248	105589	6297	30226868	893534	33828466	South America
Greece	3389306	+4324	29536	+15	3301767	+2635	58003	173	328163	2860	81185725	7860651	10328117	Europe
Denmark	2976215	+395	6285	+7	2959769	+836	10161	12	510478	1078	127339427	21841176	5830246	Europe
Romania	2902790	+520	65606	+6	N/A	N/A	N/A	138	152791	3453	22943983	1207680	18998403	Europe
Sweden	2504894	N/A	18864	N/A	2476511	N/A	9519	9	245176	1846	18553837	1816027	10216721	Europe
Iraq	2326356	+68	25216	N/A	2299883	+87	1257	11	55514	602	18525204	442071	41905451	Asia
Serbia	2012597	+327	16046	+1	1987289	+978	9262	15	232087	1850	9592417	1106170	8671742	Europe
Bangladesh	1952979	+22	29127	N/A	1899150	+520	24702	1273	11642	174	14047637	83742	167749641	Asia
Hungary	1909948	N/A	46343	N/A	1821435	N/A	42170	29	198651	4820	11394556	1185130	9614607	Europe
Slovakia	1786914	+335	20028	+10	1760937	+926	5949	30	327000	3665	7125922	1304022	5464574	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163030	1352	16670254	1604134	10392056	Asia
Georgia	1655221	N/A	16811	N/A	1637293	N/A	1117	N/A	416420	4229	16920079	4256745	3974887	Asia
Ireland	1535451	N/A	7203	N/A	1497946	N/A	30302	28	304613	1429	12144747	2409357	5040660	Europe
Pakistan	1529165	+85	30376	N/A	1494141	N/A	4648	119	6681	133	28333116	123785	228890529	Asia
Norway	1429717	+87	3061	N/A	N/A	N/A	N/A	20	259934	557	11002430	2000330	5500307	Europe
Kazakhstan	1305636	+5	13661	N/A	1291669	+258	306	24	68017	712	11575012	603003	19195600	Asia
Singapore	1240233	+3383	1362	N/A	1162140	+3755	76731	8	208928	229	23767171	4003796	5936160	Asia
Hong Kong	1208247	+284	9360	+1	N/A	N/A	N/A	5	158762	1230	44972952	5909387	7610426	Asia
Morocco	1165706	+81	16071	N/A	1149015	+12	620	293	30899	426	11237010	297854	37726532	Africa
Bulgaria	1161504	+153	37045	+2	1014302	+22	110157	54	169540	5407	9924259	1448603	6850918	Europe
Croatia	1131105	+543	15925	+5	1110777	+718	4403	17	278730	3924	4835221	1191510	4058061	Europe
Cuba	1104496	+103	8529	N/A	1095442	+73	525	23	97624	754	12920253	1141998	11313723	North America
Lebanon	1097956	+94	10407	+2	1084853	+453	2696	186	162217	1538	4795578	708520	6768448	Asia
Finland	1069740	N/A	4284	N/A	N/A	N/A	N/A	21	192511	771	10832080	1949347	5556773	Europe
Lithuania	1060594	+166	9127	+1	1032480	+426	18987	11	400000	3442	9954903	3754463	2651485	Europe
Tunisia	1041197	N/A	28575	N/A	N/A	N/A	N/A	29	86412	2372	4592916	381178	12049274	Africa
New Zealand	1037855	+7122	909	+17	983286	+6803	53660	N/A	207484	182	7127584	1424918	5002100	Australia/Oceania
Slovenia	1019468	+553	6622	+3	1003559	+970	9287	9	490254	3184	2656926	1277693	2079471	Europe
Belarus	982867	N/A	6978	N/A	N/A	N/A	N/A	N/A	104078	739	13220483	1399952	9443526	Europe
Nepal	978991	+2	11952	N/A	966889	+16	150	N/A	32509	397	5667049	188186	30114082	Asia
Bolivia	906083	+89	21943	+17	863434	+215	20706	220	75696	1833	2705422	226017	11969990	South America
Uruguay	902540	N/A	7213	N/A	892434	N/A	2893	18	258150	2063	6114822	1748999	3496184	South America
UAE	902161	+352	2302	N/A	885825	+288	14034	N/A	89206	228	158900538	15712072	10113277	Asia
Ecuador	872268	N/A	35607	N/A	N/A	N/A	N/A	759	48078	1963	2470170	136152	18142695	South America
Costa Rica	866164	N/A	8444	N/A	841683	N/A	16037	48	167185	1630	4401922	849648	5180880	North America
Guatemala	852432	+555	17817	+25	832361	+567	2254	5	45994	961	4543522	245151	18533577	North America
Latvia	825699	N/A	5798	N/A	816253	N/A	3648	6	446971	3139	7217715	3907126	1847321	Europe
Panama	806277	+3054	8203	+1	773421	+2054	24653	16	181535	1847	6019923	1355399	4441439	North America
Azerbaijan	792638	N/A	9709	N/A	782869	N/A	60	N/A	76883	942	6838458	663308	10309632	Asia
Saudi Arabia	758795	+434	9114	+3	743572	+263	6109	63	21181	254	42122082	1175773	35825005	Asia
Taiwan	699774	+76214	1049	+40	46143	N/A	652582	N/A	29283	44	15820952	662043	23897173	Asia
Sri Lanka	663663	+8	16511	N/A	646158	+2	994	N/A	30753	765	6486117	300552	21580707	Asia
Paraguay	649718	N/A	18872	N/A	624673	N/A	6173	2	89052	2587	2633737	360986	7295944	South America
Kuwait	632074	N/A	2555	N/A	629114	N/A	405	3	144034	582	8071763	1839358	4388359	Asia
Myanmar	613136	+20	19434	N/A	592081	+8	1621	N/A	11130	353	8076723	146609	55090128	Asia
Palestine	582119	N/A	5353	N/A	576684	N/A	82	17	109369	1006	3078533	578397	5322527	Asia
Dominican Republic	580412	+76	4376	N/A	575583	+98	453	1	52522	396	3305829	299148	11050807	North America
Bahrain	576997	+602	1479	N/A	569758	+537	5760	4	318462	816	9775981	5395666	1811821	Asia
