Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	83088537	+46262	1020918	+141	80685812	+30287	1381807	1576	248356	3052	1005457441	3005366	334554103	North America
India	43079188	+3324	523843	+40	42536253	+2876	19092	698	30665	373	837442023	596117	1404828550	Asia
Brazil	30448236	+15194	663551	+67	29519204	+11647	265481	8318	141407	3082	63776166	296187	215324039	South America
France	28645285	+49482	145930	+61	26801506	+107496	1697849	1677	437080	2227	266484045	4066113	65537780	Europe
Germany	24761600	+57003	135900	+106	22307900	+80300	2317800	1446	293822	1613	122332384	1451601	84274119	Europe
UK	22038340	N/A	174912	N/A	21168267	N/A	695161	302	321547	2552	517337635	7548132	68538498	Europe
Russia	18182354	+7363	375884	+157	17539985	+11022	266485	2300	124495	2574	273400000	1871975	146048952	Europe
S. Korea	17237878	+43262	22794	+70	N/A	N/A	N/A	490	335694	444	15804065	307772	51349914	Asia
Italy	16464034	+54436	163507	+130	15070314	+71625	1230213	366	273039	2712	213773683	3545218	60299169	Europe
Turkey	15032093	+1772	98771	+11	14927975	N/A	5347	975	174793	1149	159024414	1849132	85999512	Asia
Spain	11896152	N/A	104456	N/A	11389694	N/A	402002	339	254257	2233	471036328	10067479	46787912	Europe
Vietnam	10649809	+5109	43041	+3	9262255	+16727	1344513	475	107638	435	85798077	867164	98941036	Asia
Argentina	9082649	+1304	128640	+16	8895999	N/A	58010	372	197644	2799	35716069	777204	45954590	South America
Netherlands	8048728	+1596	22249	+6	7811564	N/A	214915	66	467834	1293	21107399	1226872	17204241	Europe
Japan	7850252	+36403	29548	+42	7402570	+46281	418134	171	62418	235	48679214	387055	125768126	Asia
Iran	7221653	+532	141083	+11	6983502	+3019	97068	996	84012	1641	50914586	592307	85959848	Asia
Colombia	6092667	+264	139797	+4	5926476	+460	26394	342	117449	2695	34465052	664384	51875179	South America
Indonesia	6046796	+329	156257	+17	5882660	+598	7879	2771	21687	560	95495775	342505	278815543	Asia
Poland	5996514	+842	116059	+17	5334680	+61	545775	1321	158761	3073	36092285	955561	37770774	Europe
Australia	5928306	+39258	7223	+34	5591247	+37502	329836	139	227651	277	69334180	2662480	26041202	Australia/Oceania
Mexico	5738769	+958	324294	+40	5038150	+677	376325	4798	43670	2468	15801675	120246	131411221	North America
Ukraine	5001919	+200	108407	+16	N/A	N/A	N/A	177	115643	2506	19521252	451326	43253122	Europe
Malaysia	4448004	+2107	35547	+5	4366951	+6890	45506	69	134281	1073	58730151	1773002	33124688	Asia
Thailand	4250949	+12888	28529	+126	4070856	+17105	151564	1496	60624	407	17270775	246302	70120440	Asia
Austria	4140543	+5199	18156	+18	4042540	+7931	79847	87	454984	1995	183002443	20109222	9100424	Europe
