Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	83042156	+64262	1020718	+282	80655525	+32122	1365913	1562	248225	3051	1005251244	3004844	334543517	North America
India	43075864	+3378	523803	+50	42533377	+2755	18684	698	30664	373	836945383	595795	1404754469	Asia
Brazil	30433042	+14122	663484	+195	29507557	+8135	262001	8318	141341	3081	63776166	296198	215315795	South America
France	28595803	+52919	145869	+158	26694010	+141558	1755924	1677	436331	2226	266484045	4066162	65536993	Europe
Germany	24704597	+96523	135794	+186	22227600	+139300	2341203	1446	293151	1611	122332384	1451626	84272659	Europe
UK	22038340	+7332	174912	+216	21168418	+37580	695010	302	321556	2552	517337635	7548346	68536553	Europe
Russia	18174991	+7710	375727	+161	17528963	+11041	270301	2300	124445	2573	273400000	1871979	146048611	Europe
S. Korea	17194616	+50551	22724	+136	N/A	N/A	N/A	526	334853	443	15804065	307773	51349673	Asia
Italy	16409598	+59276	163377	+133	14998689	+60951	1247532	371	272134	2709	213390610	3538836	60299653	Europe
Turkey	15030321	+1924	98760	+9	14927975	N/A	3586	975	174782	1148	158905150	1847851	85994556	Asia
Spain	11896152	+20899	104456	+77	11389694	+14081	402002	339	254257	2233	471036328	10067500	46787813	Europe
Vietnam	10644700	+6068	43038	+1	9245528	+3225	1356134	594	107591	435	85796776	867192	98936255	Asia
Argentina	9072230	N/A	128542	N/A	8895999	N/A	47689	372	197427	2797	35716069	777242	45952326	South America
Netherlands	8047132	+1679	22243	+4	7811568	+27781	213321	66	467747	1293	21107399	1226887	17204034	Europe
Japan	7813849	+42313	29506	+39	7356289	+36932	428054	173	62128	235	48589480	386335	125770233	Asia
Iran	7221121	+719	141072	+14	6980483	+2723	99566	1076	84011	1641	50914586	592347	85953973	Asia
Colombia	6092403	+236	139793	+4	5926016	+188	26594	342	117450	2695	34465052	664422	51872217	South America
Indonesia	6046467	+395	156240	+23	5882062	+572	8165	2771	21687	560	95495775	342525	278799748	Asia
Poland	5995672	+855	116042	+20	5334619	+61	545011	1321	158737	3072	36092285	955555	37770999	Europe
Australia	5889048	+41696	7189	+26	5553745	+44688	328114	137	226158	276	69260340	2659810	26039586	Australia/Oceania
Mexico	5737811	+1232	324254	+33	5037473	+781	376084	4798	43665	2468	15794055	120195	131403824	North America
Ukraine	5001719	+680	108391	+11	N/A	N/A	N/A	177	115635	2506	19521252	451311	43254550	Europe
Malaysia	4445897	+2579	35542	+6	4360061	+6055	50294	78	134226	1073	58674831	1771454	33122422	Asia
Thailand	4238061	+14053	28403	+129	4053751	+16782	155907	1496	60441	405	17270775	246305	70119486	Asia
Austria	4135344	+6186	18138	+21	4034609	+7765	82597	99	454426	1993	182842386	20092252	9100144	Europe
Israel	4074119	+2628	10695	N/A	4038393	+4921	25031	220	436856	1147	41373364	4436346	9326000	Asia
Belgium	4056448	N/A	31439	N/A	3788380	+19596	236629	150	347250	2691	33531891	2870479	11681636	Europe
