Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84692706	+103958	1028014	+273	81438103	+55724	2226589	2254	253087	3072	1020316136	3049007	334638797	North America
India	43129563	+2364	524303	+10	42589841	+2582	15419	698	30688	373	844926602	601191	1405421194	Asia
Brazil	30741811	+13525	665376	+99	29746640	N/A	329795	8318	142726	3089	63776166	296096	215389991	South America
France	29263304	+29995	147648	+80	28395316	+59670	720340	1173	446468	2253	271490188	4142101	65544076	Europe
Germany	25956837	+64582	138349	+166	24299000	+143100	1519488	944	307962	1641	122332384	1451400	84285800	Europe
UK	22207102	N/A	177410	N/A	21734193	N/A	295499	189	323936	2588	519264096	7574521	68554055	Europe
Russia	18273690	+4732	377975	+106	17664676	+6134	231039	2300	125118	2588	273400000	1871940	146051678	Europe
S. Korea	17861744	+31315	23802	+31	17214107	+43235	623835	313	347831	464	15804065	307760	51351836	Asia
Italy	17147889	+30820	165630	+136	16029269	+45614	952990	318	284398	2747	218557950	3624793	60295297	Europe
Turkey	15058627	+1443	98914	+3	14956279	+1274	3434	975	175021	1150	161146307	1872941	86039163	Asia
Spain	12179234	N/A	105642	N/A	11588576	N/A	485016	339	260303	2258	471036328	10067309	46788701	Europe
Vietnam	10701796	+1831	43072	+1	9373294	+8437	1285430	206	108122	435	85812861	866978	98979283	Asia
Argentina	9135308	N/A	128776	N/A	8895999	N/A	110533	300	198712	2801	35716069	776897	45972702	South America
Japan	8433124	+33734	30122	+33	8051254	+35796	351748	125	67062	240	50811141	404061	125751275	Asia
Netherlands	8072704	+1183	22297	N/A	8001687	+2072	48720	44	469183	1296	21107399	1226754	17205893	Europe
Iran	7229074	+288	141244	+8	7026733	+1946	61097	752	84052	1642	51877878	603183	86006844	Asia
Australia	6759554	+56259	7926	+53	6370466	+57116	381162	133	259443	304	70859644	2719708	26054132	Australia/Oceania
Colombia	6095316	N/A	139821	N/A	5928829	N/A	26666	342	117446	2694	34675581	668137	51898874	South America
Indonesia	6051532	+327	156498	+17	5891190	+364	3844	2771	21695	561	97722986	350335	278941908	Asia
Poland	6004427	+388	116230	+13	5335163	+20	553034	981	158978	3077	36249231	959762	37768969	Europe
Mexico	5752441	N/A	324617	N/A	5050420	N/A	377404	4798	43755	2469	15897804	120923	131470403	North America
Ukraine	5009301	N/A	108497	N/A	N/A	N/A	N/A	177	115844	2509	19521252	451445	43241697	Europe
Malaysia	4483295	+2017	35630	+7	4417694	+2548	29971	38	135272	1075	59422327	1792917	33142816	Asia
Thailand	4388610	+5633	29598	+45	4298132	+8042	60880	1496	62580	422	17270775	246275	70128075	Asia
Austria	4222381	+4322	18320	+8	4151556	+5609	52505	54	463862	2013	185851263	20417234	9102666	Europe
Belgium	4127123	N/A	31656	N/A	3961911	N/A	133556	105	353225	2709	33906863	2901963	11684111	Europe
Israel	4114967	+2128	10812	N/A	4083611	N/A	20544	150	441236	1159	41373364	4436346	9326000	Asia
Portugal	4066674	N/A	22583	N/A	N/A	N/A	N/A	61	401012	2227	41997519	4141349	10141023	Europe
Czechia	3916933	+487	40259	+2	3873335	+213	3339	8	364495	3746	55341715	5149888	10746197	Europe
South Africa	3908020	+8179	100867	+55	3726962	+6535	80191	192	64373	1661	24963628	411198	60709464	Africa
Canada	3834887	+5530	40387	+91	3509574	+2382	284926	370	99966	1053	61608584	1605976	38362077	North America
Philippines	3688100	+103	60452	N/A	3625407	+345	2241	480	32838	538	29916986	266371	112313210	Asia
Switzerland	3642604	N/A	13934	N/A	3562426	N/A	66244	71	415197	1588	20991820	2392724	8773190	Europe
Chile	3616950	+5137	57754	+21	3473796	+1263	85400	150	186214	2973	37817799	1947002	19423603	South America
Peru	3573738	+518	213069	+11	N/A	N/A	N/A	198	105631	6298	30327514	896409	33832231	South America
Greece	3406553	+4626	29619	+20	3324287	+5107	52647	161	329846	2868	81540162	7895286	10327702	Europe
Denmark	2978630	+686	6304	+8	2962898	+890	9428	11	510878	1081	127369645	21845737	5830412	Europe
Romania	2904588	+513	65637	+12	N/A	N/A	N/A	117	152894	3455	23006705	1211048	18997356	Europe
