Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	83240101	+52573	1021581	+340	80795416	+38058	1423104	1591	248805	3054	1007292521	3010803	334559397	North America
India	43088401	+3235	523920	+31	42544689	+2802	19792	698	30671	373	838628250	596946	1404865590	Asia
Brazil	30482429	+21432	663765	+108	29585304	+30996	233360	8318	141563	3083	63776166	296181	215328161	South America
France	28757765	+67017	146262	+120	27163913	+146246	1447590	1511	438794	2232	269816888	4116942	65538174	Europe
Germany	24949403	+158213	136183	+236	22658600	+189400	2154620	1446	296048	1616	122332384	1451588	84274849	Europe
UK	22073858	+6819	175319	+102	21357549	+93421	540990	302	322061	2558	517337635	7548025	68539470	Europe
Russia	18201074	+5466	376292	+125	17563272	+7052	261510	2300	124623	2576	273400000	1871973	146049122	Europe
S. Korea	17346753	+51020	23007	+49	N/A	N/A	N/A	417	337814	448	15804065	307771	51350034	Asia
Italy	16586268	+62071	163889	+153	15222419	+67398	1199960	366	275067	2718	214594775	3558849	60298927	Europe
Turkey	15036110	+1193	98801	+10	14932844	+1354	4465	975	174834	1149	159323561	1852557	86001990	Asia
Spain	11953481	+14333	104668	+53	11446906	+14368	401907	339	255482	2237	471036328	10067469	46787961	Europe
Vietnam	10659358	+2709	43044	N/A	9267281	+1825	1349033	475	107732	435	85801758	867180	98943426	Asia
Argentina	9083673	N/A	128653	N/A	8895999	N/A	59021	372	197661	2799	35716069	777184	45955722	South America
Netherlands	8053048	+1756	22262	+6	7886445	+10770	144341	71	468082	1294	21107399	1226865	17204344	Europe
Japan	7925130	+23197	29631	+30	7517841	+38420	377658	160	63014	236	48945912	389179	125767073	Asia
Iran	7223576	+571	141131	+17	6992001	+2643	90444	1062	84031	1642	50914586	592286	85962785	Asia
Colombia	6092667	N/A	139797	N/A	5926476	N/A	26394	342	117445	2695	34465052	664365	51876660	South America
Indonesia	6047315	+107	156305	+18	5884059	+395	6951	2771	21689	561	95739932	343371	278823441	Asia
Australia	6029879	+37731	7311	+41	5699816	+41303	322752	143	231544	281	69540042	2670302	26042010	Australia/Oceania
Poland	5997825	+890	116069	+14	5334769	+33	546987	1321	158796	3073	36116043	956193	37770661	Europe
Mexico	5740080	N/A	324350	N/A	5039624	N/A	376106	4798	43679	2468	15801675	120243	131414920	North America
Ukraine	5002870	N/A	108411	N/A	N/A	N/A	N/A	177	115667	2506	19521252	451333	43252408	Europe
Malaysia	4451781	+922	35564	+9	4384384	+5520	31833	69	134390	1074	58847274	1776477	33125821	Asia
Thailand	4281536	+9721	28781	+77	4134191	+20145	118564	1496	61059	410	17270775	246300	70120917	Asia
Austria	4154244	+5240	18183	+13	4063754	+8028	72307	80	456482	1998	183321889	20144014	9100564	Europe
Israel	4082961	+2474	10699	+1	4048807	N/A	23455	220	437804	1147	41373364	4436346	9326000	Asia
Belgium	4071279	N/A	31494	N/A	3839733	+20124	200052	131	348507	2696	33643042	2879892	11682049	Europe
Czechia	3907793	+1680	40175	+2	3855944	+1966	11674	30	363672	3739	55226142	5139521	10745386	Europe
Portugal	3853800	N/A	22280	N/A	N/A	N/A	N/A	61	379975	2197	41376874	4079660	10142236	Europe
South Africa	3802198	+3785	100377	+7	3661635	+9970	40186	192	62661	1654	24527102	404212	60678820	Africa
Canada	3760414	+4142	39350	+58	3464666	+4903	256398	468	98059	1026	61020893	1591219	38348530	North America
Philippines	3686216	+134	60412	+2	3620659	+290	5145	289	32838	538	29618635	263855	112253430	Asia
Switzerland	3619035	+2034	13865	+3	3489351	+12315	115819	69	412633	1581	20851897	2377477	8770600	Europe
Peru	3567171	+648	212877	+12	N/A	N/A	N/A	295	105496	6296	29912021	884620	33813403	South America
Chile	3563650	+1129	57544	+3	3429112	+4476	76994	206	183534	2964	37105587	1910996	19416886	South America
