Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	84692706	N/A	1028014	N/A	81438103	N/A	2226589	2254	253087	3072	1020316136	3049007	334638797	North America
India	43129563	N/A	524303	N/A	42589841	N/A	15419	698	30688	373	845404172	601531	1405421194	Asia
Brazil	30741811	N/A	665376	N/A	29746640	N/A	329795	8318	142726	3089	63776166	296096	215389991	South America
France	29263304	N/A	147648	N/A	28395236	N/A	720420	1173	446468	2253	271490188	4142101	65544076	Europe
Germany	26000362	+43525	138456	+107	24425500	+126500	1436406	944	308479	1643	122332384	1451400	84285800	Europe
UK	22207102	N/A	177410	N/A	21755622	+21429	274070	189	323936	2588	519264096	7574521	68554055	Europe
Russia	18278617	+4927	378072	+97	17670628	+5952	229917	2300	125152	2589	273400000	1871940	146051678	Europe
S. Korea	17889849	+28105	23842	+40	17251847	+37740	614160	274	348378	464	15804065	307760	51351836	Asia
Italy	17178199	+30310	165738	+108	16119286	+90017	893175	308	284901	2749	218805421	3628897	60295297	Europe
Turkey	15058627	N/A	98914	N/A	14956279	N/A	3434	975	175021	1150	161146307	1872941	86039163	Asia
Spain	12179234	N/A	105642	N/A	11588576	N/A	485016	339	260303	2258	471036328	10067309	46788701	Europe
Vietnam	10701796	N/A	43072	N/A	9373294	N/A	1285430	206	108122	435	85812861	866978	98979283	Asia
Argentina	9135308	N/A	128776	N/A	8895999	N/A	110533	300	198712	2801	35716069	776897	45972702	South America
Japan	8474651	+41527	30175	+53	8096825	+45571	347651	110	67392	240	50996891	405538	125751275	Asia
Netherlands	8074152	+1448	22301	+4	8004183	+2496	47668	42	469267	1296	21107399	1226754	17205893	Europe
Iran	7229354	+280	141253	+9	7028491	+1758	59610	731	84056	1642	51877878	603183	86006844	Asia
Australia	6813633	+54079	7977	+51	6370466	N/A	435190	119	261518	306	70968541	2723888	26054132	Australia/Oceania
Colombia	6095316	N/A	139821	N/A	5928829	N/A	26666	342	117446	2694	34675581	668137	51898874	South America
Indonesia	6051850	+318	156510	+12	5891574	+384	3766	2771	21696	561	97850450	350791	278941908	Asia
Poland	6004786	+359	116242	+12	5335196	+33	553348	981	158987	3078	36258589	960010	37768969	Europe
Mexico	5752441	N/A	324617	N/A	5050420	N/A	377404	4798	43755	2469	15897804	120923	131470403	North America
Ukraine	5009301	N/A	108497	N/A	N/A	N/A	N/A	177	115844	2509	19521252	451445	43241697	Europe
Malaysia	4483295	N/A	35630	N/A	4417694	N/A	29971	38	135272	1075	59422327	1792917	33142816	Asia
Thailand	4394915	+6305	29640	+42	4305699	+7567	59576	1496	62670	423	17270775	246275	70128075	Asia
Austria	4225674	+3293	18328	+8	4156309	+4753	51037	58	464224	2013	185987121	20432159	9102666	Europe
Belgium	4127123	N/A	31656	N/A	3967010	+5099	128457	105	353225	2709	33906863	2901963	11684111	Europe
Israel	4114967	N/A	10812	N/A	4083611	N/A	20544	150	441236	1159	41373364	4436346	9326000	Asia
