Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82747175	+38858	1018718	+186	80506860	+41509	1221597	1415	247359	3045	1001729381	2994507	334522343	North America
India	43062097	+2011	522223	N/A	42523311	+1970	16563	698	30658	372	834717702	594272	1404606308	Asia
Brazil	30355919	+6456	662777	+76	29411813	+27459	281329	8318	140994	3078	63776166	296221	215299307	South America
France	28317915	+13984	145257	+197	26083461	+202981	2089197	1677	432101	2216	266484045	4066260	65535419	Europe
Germany	24227680	+86980	134817	+171	21425200	+182200	2667663	1980	287502	1600	122332384	1451676	84269739	Europe
UK	21978198	+10582	173693	+114	20955075	+172725	849430	339	320697	2534	514985782	7514457	68532664	Europe
Russia	18144788	+7651	375061	+159	17483483	+8855	286244	2300	124239	2568	273400000	1871988	146047929	Europe
S. Korea	16929564	+34370	22243	+110	N/A	N/A	N/A	668	329695	433	15804065	307776	51349193	Asia
Italy	16161748	+25287	162781	+93	14755958	+26738	1243009	416	268020	2699	211830644	3512910	60300620	Europe
Turkey	15021151	+2604	98706	+15	14888995	+18573	33450	975	174696	1148	158372522	1841870	85984643	Asia
Spain	11821601	+11855	104148	+80	11323230	+24217	394223	339	252665	2226	471036328	10067543	46787616	Europe
Vietnam	10611772	+7445	43021	+8	9092760	+6685	1475991	664	107269	435	85791014	867218	98926693	Asia
Argentina	9072230	N/A	128542	N/A	8895999	N/A	47689	372	197446	2798	35716069	777318	45947798	South America
Netherlands	8040573	+1356	22228	+7	7706644	+63124	311701	78	467377	1292	21107399	1226916	17203621	Europe
Japan	7660012	+38450	29308	+24	7178748	+43345	451956	191	60903	233	46754605	371734	125774445	Asia
Iran	7217117	+1077	140996	+21	6969470	+2516	106651	1031	83976	1641	50862245	591819	85942224	Asia
Colombia	6091551	+208	139780	+2	5925040	+295	26731	342	117447	2695	34388490	663022	51866293	South America
Indonesia	6044467	+317	156133	+33	5875083	+4664	13251	2771	21683	560	95024563	340873	278768157	Asia
Poland	5991464	+267	115948	N/A	5334380	+6	541136	1588	158624	3070	36032893	953972	37771451	Europe
Mexico	5733785	+271	324129	+12	5034427	+535	375229	4798	43640	2467	15766174	119996	131389028	North America
Australia	5720127	+30750	7002	+13	5353033	+39811	360092	132	219698	269	68886938	2645798	26036353	Australia/Oceania
