Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
Greece	3389306	4324.0	29536.0	15.0	3301767.0	2635.0	58003.0	173.0	328163.0	2860.0	81185725.0	7860651.0	10328117.0	Europe	2022-05-14
Denmark	2976215	395.0	6285.0	7.0	2959769.0	836.0	10161.0	12.0	510478.0	1078.0	127339427.0	21841176.0	5830246.0	Europe	2022-05-14
Romania	2902790	520.0	65606.0	6.0				138.0	152791.0	3453.0	22943983.0	1207680.0	18998403.0	Europe	2022-05-14
Sweden	2504894		18864.0		2476511.0		9519.0	9.0	245176.0	1846.0	18553837.0	1816027.0	10216721.0	Europe	2022-05-14
Iraq	2326356	68.0	25216.0		2299883.0	87.0	1257.0	11.0	55514.0	602.0	18525204.0	442071.0	41905451.0	Asia	2022-05-14
Serbia	2012597	327.0	16046.0	1.0	1987289.0	978.0	9262.0	15.0	232087.0	1850.0	9592417.0	1106170.0	8671742.0	Europe	2022-05-14
Bangladesh	1952979	22.0	29127.0		1899150.0	520.0	24702.0	1273.0	11642.0	174.0	14047637.0	83742.0	167749641.0	Asia	2022-05-14
Hungary	1909948		46343.0		1821435.0		42170.0	29.0	198651.0	4820.0	11394556.0	1185130.0	9614607.0	Europe	2022-05-14
Slovakia	1786914	335.0	20028.0	10.0	1760937.0	926.0	5949.0	30.0	327000.0	3665.0	7125922.0	1304022.0	5464574.0	Europe	2022-05-14
Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163030.0	1352.0	16670254.0	1604134.0	10392056.0	Asia	2022-05-14
Georgia	1655221		16811.0		1637293.0		1117.0		416420.0	4229.0	16920079.0	4256745.0	3974887.0	Asia	2022-05-14
Ireland	1535451		7203.0		1497946.0		30302.0	28.0	304613.0	1429.0	12144747.0	2409357.0	5040660.0	Europe	2022-05-14
Pakistan	1529165	85.0	30376.0		1494141.0		4648.0	119.0	6681.0	133.0	28333116.0	123785.0	228890529.0	Asia	2022-05-14
Norway	1429717	87.0	3061.0					20.0	259934.0	557.0	11002430.0	2000330.0	5500307.0	Europe	2022-05-14
Kazakhstan	1305636	5.0	13661.0		1291669.0	258.0	306.0	24.0	68017.0	712.0	11575012.0	603003.0	19195600.0	Asia	2022-05-14
Singapore	1240233	3383.0	1362.0		1162140.0	3755.0	76731.0	8.0	208928.0	229.0	23767171.0	4003796.0	5936160.0	Asia	2022-05-14
Hong Kong	1208247	284.0	9360.0	1.0				5.0	158762.0	1230.0	44972952.0	5909387.0	7610426.0	Asia	2022-05-14
Morocco	1165706	81.0	16071.0		1149015.0	12.0	620.0	293.0	30899.0	426.0	11237010.0	297854.0	37726532.0	Africa	2022-05-14
Bulgaria	1161504	153.0	37045.0	2.0	1014302.0	22.0	110157.0	54.0	169540.0	5407.0	9924259.0	1448603.0	6850918.0	Europe	2022-05-14
Croatia	1131105	543.0	15925.0	5.0	1110777.0	718.0	4403.0	17.0	278730.0	3924.0	4835221.0	1191510.0	4058061.0	Europe	2022-05-14
Cuba	1104496	103.0	8529.0		1095442.0	73.0	525.0	23.0	97624.0	754.0	12920253.0	1141998.0	11313723.0	North America	2022-05-14
Lebanon	1097956	94.0	10407.0	2.0	1084853.0	453.0	2696.0	186.0	162217.0	1538.0	4795578.0	708520.0	6768448.0	Asia	2022-05-14
Finland	1069740		4284.0					21.0	192511.0	771.0	10832080.0	1949347.0	5556773.0	Europe	2022-05-14
Lithuania	1060594	166.0	9127.0	1.0	1032480.0	426.0	18987.0	11.0	400000.0	3442.0	9954903.0	3754463.0	2651485.0	Europe	2022-05-14
Tunisia	1041197		28575.0					29.0	86412.0	2372.0	4592916.0	381178.0	12049274.0	Africa	2022-05-14
New Zealand	1037855	7122.0	909.0	17.0	983286.0	6803.0	53660.0		207484.0	182.0	7127584.0	1424918.0	5002100.0	Australia/Oceania	2022-05-14
Slovenia	1019468	553.0	6622.0	3.0	1003559.0	970.0	9287.0	9.0	490254.0	3184.0	2656926.0	1277693.0	2079471.0	Europe	2022-05-14
Belarus	982867		6978.0						104078.0	739.0	13220483.0	1399952.0	9443526.0	Europe	2022-05-14
Nepal	978991	2.0	11952.0		966889.0	16.0	150.0		32509.0	397.0	5667049.0	188186.0	30114082.0	Asia	2022-05-14
Bolivia	906083	89.0	21943.0	17.0	863434.0	215.0	20706.0	220.0	75696.0	1833.0	2705422.0	226017.0	11969990.0	South America	2022-05-14
Uruguay	902540		7213.0		892434.0		2893.0	18.0	258150.0	2063.0	6114822.0	1748999.0	3496184.0	South America	2022-05-14
UAE	902161	352.0	2302.0		885825.0	288.0	14034.0		89206.0	228.0	158900538.0	15712072.0	10113277.0	Asia	2022-05-14
Ecuador	872268		35607.0					759.0	48078.0	1963.0	2470170.0	136152.0	18142695.0	South America	2022-05-14
Costa Rica	866164		8444.0		841683.0		16037.0	48.0	167185.0	1630.0	4401922.0	849648.0	5180880.0	North America	2022-05-14
Guatemala	852432	555.0	17817.0	25.0	832361.0	567.0	2254.0	5.0	45994.0	961.0	4543522.0	245151.0	18533577.0	North America	2022-05-14
Latvia	825699		5798.0		816253.0		3648.0	6.0	446971.0	3139.0	7217715.0	3907126.0	1847321.0	Europe	2022-05-14
Panama	806277	3054.0	8203.0	1.0	773421.0	2054.0	24653.0	16.0	181535.0	1847.0	6019923.0	1355399.0	4441439.0	North America	2022-05-14
Azerbaijan	792638		9709.0		782869.0		60.0		76883.0	942.0	6838458.0	663308.0	10309632.0	Asia	2022-05-14
Saudi Arabia	758795	434.0	9114.0	3.0	743572.0	263.0	6109.0	63.0	21181.0	254.0	42122082.0	1175773.0	35825005.0	Asia	2022-05-14
Taiwan	699774	76214.0	1049.0	40.0	46143.0		652582.0		29283.0	44.0	15820952.0	662043.0	23897173.0	Asia	2022-05-14
Sri Lanka	663663	8.0	16511.0		646158.0	2.0	994.0		30753.0	765.0	6486117.0	300552.0	21580707.0	Asia	2022-05-14
Paraguay	649718		18872.0		624673.0		6173.0	2.0	89052.0	2587.0	2633737.0	360986.0	7295944.0	South America	2022-05-14
Kuwait	632074		2555.0		629114.0		405.0	3.0	144034.0	582.0	8071763.0	1839358.0	4388359.0	Asia	2022-05-14
Myanmar	613136	20.0	19434.0		592081.0	8.0	1621.0		11130.0	353.0	8076723.0	146609.0	55090128.0	Asia	2022-05-14
Palestine	582119		5353.0		576684.0		82.0	17.0	109369.0	1006.0	3078533.0	578397.0	5322527.0	Asia	2022-05-14
Dominican Republic	580412	76.0	4376.0		575583.0	98.0	453.0	1.0	52522.0	396.0	3305829.0	299148.0	11050807.0	North America	2022-05-14
Bahrain	576997	602.0	1479.0		569758.0	537.0	5760.0	4.0	318462.0	816.0	9775981.0	5395666.0	1811821.0	Asia	2022-05-14
Estonia	573922		2556.0		514836.0		56530.0	3.0	432105.0	1924.0	3345340.0	2518704.0	1328199.0	Europe	2022-05-14
Venezuela	522921		5711.0		516170.0		1040.0	230.0	18487.0	202.0	3359014.0	118753.0	28285690.0	South America	2022-05-14
Moldova	516986		11489.0		504142.0		1355.0	49.0	128716.0	2860.0	3216305.0	800777.0	4016479.0	Europe	2022-05-14
Egypt	515645		24613.0		442182.0		48850.0	122.0	4868.0	232.0	3693367.0	34865.0	105933668.0	Africa	2022-05-14
Libya	501904		6430.0		490973.0		4501.0	101.0	71237.0	913.0	2477219.0	351600.0	7045556.0	Africa	2022-05-14
Cyprus	477711		1032.0		124370.0		352309.0	60.0	390366.0	843.0	9477138.0	7744329.0	1223752.0	Asia	2022-05-14
Ethiopia	470937	38.0	7510.0		455757.0	2.0	7670.0	8.0	3916.0	62.0	4836364.0	40212.0	120272915.0	Africa	2022-05-14
Mongolia	469885		2179.0		313256.0		154450.0	192.0	139153.0	645.0	4030048.0	1193471.0	3376745.0	Asia	2022-05-14
Honduras	424390		10896.0		132358.0		281136.0	105.0	41613.0	1068.0	1365056.0	133850.0	10198390.0	North America	2022-05-14
Armenia	422896		8623.0		412048.0		2225.0		142218.0	2900.0	3068217.0	1031828.0	2973573.0	Asia	2022-05-14
RÃÂ©union	405980		762.0		395430.0		9788.0	10.0	447495.0	840.0	1603660.0	1767646.0	907229.0	Africa	2022-05-14
Oman	389397	12.0	4259.0		384543.0		595.0	3.0	72801.0	796.0	25000000.0	4673975.0	5348766.0	Asia	2022-05-14
Bosnia and Herzegovina	377511		15778.0						116416.0	4866.0	1767199.0	544966.0	3242767.0	Europe	2022-05-14
Qatar	366034	96.0	677.0		364332.0	118.0	1025.0	1.0	130363.0	241.0	3484449.0	1240987.0	2807805.0	Asia	2022-05-14
Kenya	324011	36.0	5649.0		318130.0	10.0	232.0	2.0	5788.0	101.0	3630986.0	64862.0	55979796.0	Africa	2022-05-14
Zambia	320591	110.0	3983.0		315997.0	81.0	611.0		16573.0	206.0	3452554.0	178484.0	19343793.0	Africa	2022-05-14
North Macedonia	310684		9289.0		300761.0		634.0		149137.0	4459.0	2034606.0	976667.0	2083214.0	Europe	2022-05-14
Botswana	306324		2690.0		303026.0		608.0	1.0	125534.0	1102.0	2026898.0	830639.0	2440167.0	Africa	2022-05-14
Albania	275574	40.0	3497.0		271826.0	14.0	251.0	2.0	95954.0	1218.0	1817530.0	632859.0	2871937.0	Europe	2022-05-14
Algeria	265816	2.0	6875.0		178371.0		80570.0	6.0	5864.0	152.0	230861.0	5093.0	45327684.0	Africa	2022-05-14
Nigeria	255859	23.0	3143.0		249943.0	7.0	2773.0	11.0	1186.0	15.0	5114703.0	23716.0	215665425.0	Africa	2022-05-14
Zimbabwe	249206	75.0	5482.0		242417.0	51.0	1307.0	12.0	16324.0	359.0	2287793.0	149858.0	15266440.0	Africa	2022-05-14
Luxembourg	244182		1073.0		235939.0		7170.0		378594.0	1664.0	4248188.0	6586644.0	644970.0	Europe	2022-05-14
Uzbekistan	238788	10.0	1637.0		236946.0	33.0	205.0	23.0	6947.0	48.0	1377915.0	40086.0	34373841.0	Asia	2022-05-14
Montenegro	236212	59.0	2718.0		232885.0	74.0	609.0	6.0	376006.0	4327.0	2465201.0	3924142.0	628214.0	Europe	2022-05-14
Mozambique	225493	8.0	2201.0		223190.0		102.0	13.0	6856.0	67.0	1319772.0	40129.0	32887928.0	Africa	2022-05-14
China	221565	276.0	5206.0	1.0	210006.0	866.0	6353.0	384.0	154.0	4.0	160000000.0	111163.0	1439323776.0	Asia	2022-05-14
Laos	209386	65.0	754.0						28021.0	101.0	1232128.0	164889.0	7472458.0	Asia	2022-05-14
Kyrgyzstan	200993		2991.0		196406.0		1596.0	131.0	29888.0	445.0	1907195.0	283601.0	6724932.0	Asia	2022-05-14
Iceland	186545	115.0	120.0						540125.0	347.0	2264004.0	6555224.0	345374.0	Europe	2022-05-14
Maldives	179483		298.0		163687.0		15498.0	25.0	321482.0	534.0	2213831.0	3965321.0	558298.0	Asia	2022-05-14
Afghanistan	179243	23.0	7690.0	3.0	162155.0	18.0	9398.0	1124.0	4419.0	190.0	950762.0	23439.0	40563037.0	Asia	2022-05-14
Uganda	164069		3596.0		100205.0		60268.0	2.0	3387.0	74.0	2612795.0	53946.0	48433789.0	Africa	2022-05-14
El Salvador	162089		4129.0		150662.0		7298.0	8.0	24757.0	631.0	1950448.0	297904.0	6547247.0	North America	2022-05-14
Ghana	161280		1445.0		159788.0		47.0	1.0	4996.0	45.0	2442206.0	75651.0	32282393.0	Africa	2022-05-14
Namibia	160074	199.0	4028.0		153662.0		2384.0		60941.0	1533.0	1018783.0	387854.0	2626716.0	Africa	2022-05-14
Trinidad and Tobago	154643	504.0	3871.0	1.0	141354.0	1126.0	9418.0	18.0	109836.0	2749.0	726218.0	515802.0	1407940.0	North America	2022-05-14
Martinique	153253		926.0		104.0		152223.0	8.0	408978.0	2471.0	828928.0	2212115.0	374722.0	North America	2022-05-14
Brunei	144411	275.0	220.0		142527.0	209.0	1664.0		324306.0	494.0	717784.0	1611940.0	445292.0	Asia	2022-05-14
Guadeloupe	140130		854.0		2250.0		137026.0	19.0	350104.0	2134.0	938039.0	2343621.0	400252.0	North America	2022-05-14
Cambodia	136262		3056.0		133189.0		17.0		7945.0	178.0	2959910.0	172584.0	17150500.0	Asia	2022-05-14
Jamaica	131980		2995.0		84883.0		44102.0		44210.0	1003.0	1031235.0	345441.0	2985273.0	North America	2022-05-14
Rwanda	129907	12.0	1459.0		45522.0		82926.0		9587.0	108.0	5343203.0	394308.0	13550836.0	Africa	2022-05-14
Cameroon	119780		1927.0		117791.0		62.0	13.0	4312.0	69.0	1751774.0	63064.0	27777864.0	Africa	2022-05-14
Angola	99194		1900.0		97149.0		145.0		2853.0	55.0	1499795.0	43132.0	34772084.0	Africa	2022-05-14
Malta	93446	86.0	713.0		89952.0	145.0	2781.0	4.0	210589.0	1607.0	1903746.0	4290267.0	443736.0	Europe	2022-05-14
DRC	87023		1337.0		50930.0		34756.0		920.0	14.0	846704.0	8947.0	94637210.0	Africa	2022-05-14
Senegal	86035	3.0	1966.0		84055.0	5.0	14.0		4898.0	112.0	1080384.0	61502.0	17566558.0	Africa	2022-05-14
Malawi	85887	21.0	2636.0		82703.0	25.0	548.0	67.0	4283.0	131.0	578807.0	28866.0	20051566.0	Africa	2022-05-14
Ivory Coast	81989		799.0		81168.0		22.0		2971.0	29.0	1509861.0	54713.0	27596137.0	Africa	2022-05-14
French Guiana	81784		397.0		11254.0		70133.0	1.0	261194.0	1268.0	631628.0	2017233.0	313116.0	South America	2022-05-14
Suriname	80008		1337.0		49455.0		29216.0		134143.0	2242.0	236268.0	396133.0	596436.0	South America	2022-05-14
Barbados	76261	416.0	433.0	1.0	71497.0	45.0	4331.0		264767.0	1503.0	669421.0	2324128.0	288031.0	North America	2022-05-14
Channel Islands	75275		173.0		74574.0		528.0		425638.0	978.0	1252808.0	7083935.0	176852.0	Europe	2022-05-14
French Polynesia	72821		649.0					7.0	256469.0	2286.0			283937.0	Australia/Oceania	2022-05-14
Eswatini	71698	31.0	1402.0		69549.0	93.0	747.0	11.0	60629.0	1186.0	1021394.0	863708.0	1182569.0	Africa	2022-05-14
Fiji	64773		862.0		62875.0		1036.0		71292.0	949.0	517703.0	569805.0	908561.0	Australia/Oceania	2022-05-14
Madagascar	64236		1393.0		59370.0		3473.0	14.0	2214.0	48.0	430995.0	14853.0	29018242.0	Africa	2022-05-14
Guyana	63804	32.0	1228.0		62301.0	22.0	275.0		80395.0	1547.0	610906.0	769761.0	793631.0	South America	2022-05-14
Sudan	62161		4936.0						1358.0	108.0	562941.0	12303.0	45758183.0	Africa	2022-05-14
New Caledonia	61049		312.0		60339.0		398.0	9.0	210067.0	1074.0	98964.0	340531.0	290617.0	Australia/Oceania	2022-05-14
Bhutan	59566	2.0	21.0		59476.0	14.0	69.0		75644.0	27.0	2303632.0	2925414.0	787455.0	Asia	2022-05-14
Mauritania	58840	18.0	982.0		57708.0		150.0		12064.0	201.0	816126.0	167324.0	4877516.0	Africa	2022-05-14
Belize	57896		676.0		56761.0		459.0	6.0	140836.0	1644.0	549217.0	1336005.0	411089.0	North America	2022-05-14
Cabo Verde	56105		401.0		55613.0		91.0	23.0	98907.0	707.0	400982.0	706888.0	567250.0	Africa	2022-05-14
Syria	55869	1.0	3150.0		52479.0	32.0	240.0		3054.0	172.0	146269.0	7996.0	18293307.0	Asia	2022-05-14
Gabon	47608		304.0		47297.0		7.0		20488.0	131.0	1594523.0	686213.0	2323655.0	Africa	2022-05-14
Papua New Guinea	43876		651.0		43200.0		25.0	7.0	4737.0	70.0	249149.0	26897.0	9263069.0	Australia/Oceania	2022-05-14
