Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82416687	N/A	1016159	N/A	80276197	N/A	1124331	1436	246399	3038	997115318	2981044	334485290	North America
India	43047594	N/A	522006	N/A	42513248	N/A	12340	698	30653	372	832506755	592807	1404347026	Asia
Brazil	30279270	N/A	662266	N/A	29298848	N/A	318156	8318	140657	3076	63776166	296261	215270453	South America
France	27816299	N/A	144387	N/A	25301145	N/A	2370767	1541	424465	2203	260504402	3975184	65532665	Europe
Germany	23588355	N/A	133533	N/A	20609400	+261500	2845422	1980	279932	1585	122332384	1451764	84264628	Europe
UK	21863944	N/A	171878	N/A	20498917	N/A	1193149	355	319061	2508	512140269	7473679	68525857	Europe
Russia	18092791	N/A	373948	N/A	17407228	N/A	311615	2300	123884	2560	273400000	1872003	146046737	Europe
S. Korea	16583220	+111280	21520	+166	N/A	N/A	N/A	808	322955	419	15804065	307781	51348351	Asia
Italy	15758002	N/A	161893	N/A	14387830	N/A	1208279	422	261317	2685	209450124	3473335	60302314	Europe
Turkey	15003696	N/A	98610	N/A	14780437	N/A	124649	975	174528	1147	157511562	1832227	85967295	Asia
Spain	11736893	N/A	103721	N/A	11220981	N/A	412191	345	250857	2217	471036328	10067617	46787271	Europe
Vietnam	10489319	N/A	42975	N/A	9065694	N/A	1380650	1010	106049	434	85711086	866557	98909959	Asia
Argentina	9060923	N/A	128344	N/A	8895999	N/A	36580	412	197234	2794	35716069	777452	45939873	South America
Netherlands	8026489	N/A	22167	N/A	7489230	N/A	515092	113	466578	1289	21107399	1226968	17202898	Europe
Japan	7440164	+37631	29102	+53	6920097	+45082	490965	214	59151	231	46045240	366072	125781818	Asia
Iran	7210788	N/A	140877	N/A	6952007	N/A	117904	1264	83923	1640	50079995	582856	85921663	Asia
Colombia	6089998	N/A	139754	N/A	5923443	N/A	26801	342	117441	2695	34287337	661204	51855927	South America
Indonesia	6041269	N/A	155937	N/A	5836310	N/A	49022	2771	21676	559	94377545	338619	278712873	Asia
Poland	5985818	N/A	115838	N/A	5334130	N/A	535850	268	158471	3067	35954670	951881	37772240	Europe
Mexico	5729270	+1438	323973	+24	5030349	+1232	374948	4798	43614	2466	15728496	119733	131363136	North America
Australia	5509313	+51325	6845	+38	5073532	N/A	428936	161	211647	263	68517394	2632177	26030697	Australia/Oceania
Ukraine	4994246	N/A	108268	N/A	N/A	N/A	N/A	177	115441	2503	19521252	451229	43262405	Europe
Malaysia	4402234	N/A	35449	N/A	4274746	N/A	92039	97	132958	1071	58043873	1753064	33109959	Asia
Thailand	4084299	+20455	27266	+128	3865293	+25933	191740	1496	58252	389	17270775	246323	70114236	Asia
Austria	4064839	N/A	16439	N/A	3930478	N/A	117922	147	446754	1807	180759844	19866771	9098602	Europe
Israel	4040944	N/A	10647	N/A	3941841	N/A	88456	220	433299	1142	41373364	4436346	9326000	Asia
Belgium	3972963	N/A	31165	N/A	3683057	+6661	258741	181	340147	2668	33313880	2852185	11680124	Europe
Czechia	3883280	N/A	39997	N/A	3822160	N/A	21123	52	361416	3723	55031740	5121791	10744628	Europe
South Africa	3743582	N/A	100195	N/A	3628776	N/A	14611	175	61724	1652	24212994	399224	60650219	Africa
Portugal	3719485	N/A	21993	N/A	N/A	N/A	N/A	61	366691	2168	40748372	4017243	10143368	Europe
Philippines	3683367	N/A	59982	N/A	3604570	N/A	18815	289	32829	535	29308300	261220	112197634	Asia
Canada	3654803	N/A	38429	N/A	3403872	N/A	212502	426	95336	1002	60261536	1571935	38335885	North America
Switzerland	3579867	N/A	13810	N/A	3293031	N/A	273026	92	408279	1575	20666182	2356951	8768183	Europe
Peru	3557139	N/A	212676	N/A	N/A	N/A	N/A	356	105254	6293	29453565	871515	33795829	South America
Chile	3532649	N/A	57275	N/A	3336315	N/A	139059	346	181996	2951	36493466	1880078	19410616	South America
Greece	3252248	N/A	28701	N/A	3109062	N/A	114485	298	314783	2778	78246768	7573453	10331716	Europe
Denmark	2952251	N/A	6019	N/A	2918727	N/A	27505	16	506494	1033	127083216	21802638	5828800	Europe
Romania	2884114	N/A	65366	N/A	2606660	N/A	212088	228	151736	3439	22513208	1184440	19007469	Europe
Sweden	2495996	N/A	18572	N/A	2459356	+342	18068	24	244412	1819	18471631	1808771	10212255	Europe
Iraq	2323508	N/A	25200	N/A	2294018	N/A	4290	32	55532	602	18434537	440584	41841178	Asia
Serbia	1997855	N/A	15936	N/A	1962295	N/A	19624	22	230321	1837	9395105	1083105	8674230	Europe
Bangladesh	1952412	N/A	29126	N/A	1891528	N/A	31758	1283	11647	174	13936400	83136	167633174	Asia
Hungary	1884458	N/A	45971	N/A	1760777	N/A	77710	49	195964	4781	11275271	1172511	9616342	Europe
Slovakia	1765962	N/A	19773	N/A	1712323	N/A	33866	109	323177	3619	7023635	1285347	5464387	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163143	1353	16670254	1605245	10384866	Asia
Georgia	1653460	N/A	16794	N/A	1634474	N/A	2192	N/A	415920	4224	16728948	4208086	3975429	Asia
Pakistan	1527486	+75	30368	+4	1493796	+89	3322	215	6682	133	27965862	122343	228585333	Asia
Ireland	1505568	N/A	6964	N/A	1379189	N/A	119415	44	298917	1383	11993341	2381170	5036743	Europe
Norway	1420750	N/A	2783	N/A	N/A	N/A	N/A	20	258445	506	11002430	2001424	5497300	Europe
Kazakhstan	1305417	+11	13660	N/A	1290904	+8	853	24	68063	712	11575012	603505	19179649	Asia
Hong Kong	1199038	N/A	9176	N/A	N/A	N/A	N/A	115	157641	1206	44972952	5912739	7606111	Asia
Singapore	1167498	N/A	1317	N/A	1099142	N/A	67039	9	196784	222	23712995	3996867	5932896	Asia
Morocco	1164467	N/A	16064	N/A	1147803	N/A	600	293	30891	426	11237010	298100	37695462	Africa
Bulgaria	1151011	N/A	36816	N/A	955364	N/A	158831	116	167918	5371	9769261	1425210	6854612	Europe
Croatia	1113663	N/A	15752	N/A	1094448	N/A	3463	22	274311	3880	4745536	1168894	4059850	Europe
Cuba	1100312	N/A	8522	N/A	1090258	N/A	1532	23	97250	753	12920253	1141949	11314212	North America
Lebanon	1095811	N/A	10365	N/A	1077830	N/A	7616	186	161848	1531	4795578	708293	6770609	Asia
Lithuania	1050181	N/A	9027	N/A	1008847	N/A	32307	53	395673	3401	8186572	3084427	2654163	Europe
Tunisia	1039532	N/A	28533	N/A	N/A	N/A	N/A	29	86336	2370	4563397	379004	12040494	Africa
Slovenia	998247	N/A	6564	N/A	972305	N/A	19378	30	480053	3157	2635151	1267234	2079451	Europe
Nepal	978684	N/A	11951	N/A	966399	N/A	334	N/A	32539	397	5603173	186295	30076806	Asia
Belarus	974961	N/A	6908	N/A	928536	N/A	39517	N/A	103239	731	13044848	1381321	9443746	Europe
Finland	949583	N/A	3517	N/A	46000	N/A	900066	29	170906	633	10591416	1906246	5556164	Europe
Bolivia	904029	N/A	21904	N/A	853081	N/A	29044	220	75596	1832	2693845	225263	11958676	South America
UAE	895892	N/A	2302	N/A	878056	N/A	15534	N/A	88660	228	152983497	15139701	10104790	Asia
Uruguay	895775	N/A	7197	N/A	886654	N/A	1924	18	256278	2059	6091188	1742664	3495331	South America
Ecuador	866925	N/A	35528	N/A	N/A	N/A	N/A	759	47834	1960	2470170	136295	18123652	South America
New Zealand	850747	+11292	582	+12	795027	+9514	55138	N/A	170078	116	6975091	1394433	5002100	Australia/Oceania
Costa Rica	847784	N/A	8383	N/A	829515	N/A	9886	43	163741	1619	4240743	819059	5177579	North America
