Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	82553058	+45204	1017609	+299	80355389	+34592	1180060	1492	246798	3042	999047824	2986727	334495877	North America
India	43052425	+2451	522116	+54	42516068	+1589	14241	698	30655	372	833377052	593395	1404421106	Asia
Brazil	30330629	+18660	662556	+86	29353398	+12596	314675	8318	140890	3078	63776166	296249	215278697	South America
France	28076017	+104007	144799	+185	25618858	+148402	2312360	1677	428423	2210	266484045	4066382	65533452	Europe
Germany	23915437	+139849	134284	+390	20853100	+243700	2928053	1980	283809	1594	122332384	1451739	84266089	Europe
UK	21909509	+19472	173032	+646	20653583	+71883	1082894	349	319717	2525	514563763	7508832	68527802	Europe
Russia	18110861	+8875	374368	+197	17437610	+14182	298883	2300	124007	2563	273400000	1871999	146047077	Europe
S. Korea	16674045	+90825	21667	+147	N/A	N/A	N/A	846	324723	422	15804065	307780	51348592	Asia
Italy	15934969	+75552	162264	+166	14549360	+59916	1223345	415	264253	2691	210506904	3490887	60301830	Europe
Turkey	15010718	+3354	98645	+17	14817258	+18964	94815	975	174600	1147	157823818	1835753	85972252	Asia
Spain	11736893	N/A	103721	N/A	11220981	N/A	412191	345	250856	2217	471036328	10067596	46787369	Europe
Vietnam	10533164	+12029	42991	+9	9076927	+8693	1413246	826	106487	435	85770895	867119	98914740	Asia
Argentina	9060923	N/A	128344	N/A	8895999	N/A	36580	412	197225	2794	35716069	777414	45942138	South America
Netherlands	8032975	+2997	22197	+18	7561673	+40523	449105	96	466949	1290	21107399	1226953	17203105	Europe
Japan	7487624	+47460	29151	+49	6985295	+65198	473178	202	59530	232	46249180	367700	125779711	Asia
Iran	7213808	+1413	140919	+23	6958045	+3104	114844	1173	83952	1640	50079995	582817	85927538	Asia
Colombia	6090520	+274	139759	+4	5923901	+282	26860	342	117444	2695	34327907	661948	51858888	South America
Indonesia	6042595	+585	156015	+41	5855361	+14416	31219	2771	21679	560	94642736	339551	278728668	Asia
Poland	5988517	+1177	115899	+30	5334219	+56	538399	268	158544	3068	35991052	952850	37772015	Europe
Mexico	5730560	+1290	324004	+31	5031487	+1138	375069	4798	43621	2466	15737769	119797	131370534	North America
Australia	5563870	+54557	6893	+51	5186006	+54744	370971	151	213729	265	68623280	2636081	26032313	Australia/Oceania
Ukraine	4996411	+1021	108296	+10	N/A	N/A	N/A	177	115495	2503	19521252	451244	43260977	Europe
Malaysia	4415101	+5899	35470	+5	4291447	+8434	88184	92	133337	1071	58190515	1757373	33112225	Asia
Thailand	4106230	+21931	27395	+129	3889912	+24619	188923	1496	58564	391	17270775	246320	70115191	Asia
Austria	4084358	+11948	17057	N/A	3958362	+13228	108939	130	448886	1875	181352090	19931248	9098883	Europe
Israel	4047693	+2699	10658	N/A	4009152	+67311	27883	220	434022	1143	41373364	4436346	9326000	Asia
Belgium	4015791	+4682	31319	+15	3690303	+7246	294169	169	343806	2681	33456470	2864326	11680399	Europe
Czechia	3890340	+3434	40050	+17	3825457	+1727	24833	49	362069	3727	55075486	5125811	10744736	Europe
South Africa	3750830	+4406	100276	+65	3631082	+1049	19472	175	61839	1653	24262108	400006	60654305	Africa
Portugal	3719485	N/A	21993	N/A	N/A	N/A	N/A	61	366697	2168	40748372	4017307	10143206	Europe
Canada	3684288	+19589	38688	+146	3415904	+6139	229696	426	96101	1009	60485077	1577692	38337692	North America
Philippines	3683864	+133	60056	+66	3607038	+1159	16770	289	32831	535	29359833	261661	112205605	Asia
Switzerland	3579867	N/A	13816	N/A	3305310	N/A	260741	90	408263	1576	20666182	2356859	8768528	Europe
Peru	3558613	+744	212715	+11	N/A	N/A	N/A	351	105290	6294	29550426	874316	33798340	South America
Chile	3538843	+3309	57325	+42	3350681	+6811	130837	295	182306	2953	36604833	1885728	19411512	South America
Greece	3266368	+6755	28808	+43	3136230	+12454	101330	284	316158	2788	78594069	7607272	10331439	Europe
Denmark	2956306	+1878	6047	+17	2924314	+2587	25945	17	507180	1037	127114943	21807666	5828911	Europe
Romania	2886284	+1063	65403	+19	2606660	N/A	214221	229	151856	3441	22554522	1186657	19006772	Europe
Sweden	2498388	N/A	18656	N/A	2461823	+2467	17909	19	244638	1827	18493218	1810824	10212599	Europe
Iraq	2323878	+171	25201	N/A	2295073	+508	3604	24	55534	602	18443454	440745	41846122	Asia
Serbia	1999753	+977	15945	+5	1964782	+989	19026	26	230545	1838	9415165	1085442	8674039	Europe
Bangladesh	1952485	+45	29127	N/A	1892443	+371	30915	1283	11647	174	13947427	83198	167642133	Asia
Hungary	1888906	+3041	46024	+24	1770066	+6155	72816	48	196429	4786	11285527	1173594	9616208	Europe
Slovakia	1770460	+2415	19803	+13	1721905	+4363	28752	109	323999	3624	7041022	1288526	5464401	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163134	1353	16670254	1605160	10385419	Asia
Georgia	1653915	+223	16794	N/A	1634990	+399	2131	N/A	416039	4224	16774959	4219705	3975387	Asia
Pakistan	1527589	+103	30368	N/A	1493870	+74	3351	205	6682	133	27987766	122426	228608810	Asia
Ireland	1508373	+1410	6993	+12	1390904	+7691	110476	37	299456	1388	12009921	2384319	5037045	Europe
Norway	1422583	+892	2871	N/A	N/A	N/A	N/A	20	258768	522	11002430	2001340	5497531	Europe
Kazakhstan	1305431	+14	13660	N/A	1290945	+41	826	24	68059	712	11575012	603466	19180876	Asia
Hong Kong	1200334	+628	9212	+26	N/A	N/A	N/A	115	157805	1211	44972952	5912481	7606443	Asia
Singapore	1174390	+3420	1322	+3	1104841	+2572	68227	6	197937	223	23712995	3996698	5933147	Asia
Morocco	1164567	+60	16064	N/A	1148002	+91	501	293	30892	426	11237010	298081	37697852	Africa
Bulgaria	1152251	+631	36838	+11	959289	+1455	156124	111	168106	5374	9788010	1428004	6854328	Europe
Croatia	1115442	+1301	15765	+8	1095334	+573	4343	23	274759	3883	4754410	1171120	4059712	Europe
Cuba	1100938	+329	8522	N/A	1090977	+326	1439	23	97306	753	12920253	1141953	11314174	North America
Lebanon	1096099	+140	10370	+2	1078634	+408	7095	186	161895	1532	4795578	708311	6770443	Asia
Lithuania	1052454	+1186	9041	+6	1012975	+1763	30438	41	396560	3407	8201785	3090399	2653957	Europe
Tunisia	1039532	N/A	28533	N/A	N/A	N/A	N/A	29	86331	2370	4563397	378983	12041170	Africa
Slovenia	1001754	+1294	6568	+1	976752	+2137	18434	29	481739	3159	2637744	1268480	2079452	Europe
Finland	1000472	+50889	3638	+121	46000	N/A	950834	31	180064	655	10644579	1915799	5556210	Europe
Nepal	978705	+12	11951	N/A	966456	+32	298	N/A	32537	397	5607784	186431	30079674	Asia
Belarus	976261	+695	6917	+3	928536	N/A	40808	N/A	103377	732	13071640	1384161	9443729	Europe
Bolivia	904212	+86	21906	+1	854077	+566	28229	220	75606	1832	2693845	225246	11959546	South America
UAE	896372	+231	2302	N/A	878658	+217	15412	N/A	88702	228	153603788	15200106	10105442	Asia
Uruguay	895775	N/A	7197	N/A	886654	N/A	1924	18	256273	2059	6091188	1742632	3495396	South America
Ecuador	866925	N/A	35528	N/A	N/A	N/A	N/A	759	47830	1960	2470170	136284	18125117	South America
New Zealand	861118	+10371	600	+18	804658	+9631	55860	N/A	172151	120	6977683	1394951	5002100	Australia/Oceania
Costa Rica	847784	N/A	8383	N/A	829515	N/A	9886	43	163733	1619	4240743	819019	5177833	North America
Guatemala	840477	+1061	17475	+18	820297	+1084	2705	5	45402	944	4392324	237271	18511815	North America
Latvia	815533	+1133	5735	+11	800770	+1069	9028	9	441144	3102	7142381	3863505	1848679	Europe
Azerbaijan	792445	+33	9707	+1	782603	+19	135	N/A	76909	942	6785398	658543	10303646	Asia
Panama	770463	+487	8180	N/A	759150	+391	3133	9	173646	1844	5813988	1310347	4436982	North America
Saudi Arabia	753124	+130	9075	+1	740008	+241	4041	59	21043	254	41796829	1167854	35789428	Asia
Sri Lanka	663041	+35	16499	+2	642568	+8	3974	N/A	30732	765	6486117	300633	21574834	Asia
Paraguay	648682	N/A	18786	N/A	624673	N/A	5223	6	88980	2577	2615453	358763	7290200	South America
Kuwait	631076	N/A	2555	N/A	627610	N/A	911	8	143943	583	7986760	1821708	4384216	Asia
Myanmar	612697	+20	19434	N/A	591544	+22	1719	N/A	11127	353	7870822	142934	55066249	Asia
Palestine	581816	N/A	5353	N/A	575899	N/A	564	17	109472	1007	3078533	579245	5314731	Asia
Dominican Republic	578954	+165	4376	+1	574297	+53	281	16	52424	396	3261060	295287	11043679	North America
Estonia	569346	+802	2528	+2	505048	+863	61770	5	428679	1903	3304993	2488437	1328140	Europe
Bahrain	565076	+459	1475	+1	559916	+474	3685	3	312556	816	9690419	5359979	1807921	Asia
Venezuela	522070	+14	5705	+1	515135	+75	1230	230	18454	202	3359014	118731	28290950	South America
Moldova	516864	+165	11487	N/A	504008	+245	1369	48	128666	2860	3213594	799980	4017091	Europe
Egypt	515645	N/A	24613	N/A	442182	N/A	48850	122	4873	233	3693367	34907	105806911	Africa
Libya	501862	N/A	6429	N/A	490900	N/A	4533	101	71293	913	2476960	351869	7039428	Africa
Ethiopia	470389	+37	7510	N/A	454163	+492	8716	15	3917	63	4756760	39611	120085619	Africa
Mongolia	469491	+41	2177	N/A	313256	N/A	154058	192	139179	645	4030048	1194697	3373280	Asia
Cyprus	464366	N/A	993	N/A	124370	N/A	339003	60	379639	812	9477138	7747969	1223177	Asia
Armenia	422805	+6	8622	N/A	410517	+14	3666	N/A	142205	2900	3026628	1017966	2973211	Asia
Honduras	422275	N/A	10892	N/A	131100	N/A	280283	105	41448	1069	1263329	124001	10188052	North America
