Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	82553058		1017609.0		80355389.0		1180060.0	1492.0	246798.0	3042.0	999047824.0	2986727.0	334495877.0	North America	2022-04-22
India	43052425		522116.0		42516068.0		14241.0	698.0	30655.0	372.0	833825991.0	593715.0	1404421106.0	Asia	2022-04-22
Brazil	30330629		662556.0		29353398.0		314675.0	8318.0	140890.0	3078.0	63776166.0	296249.0	215278697.0	South America	2022-04-22
France	28076017		144799.0		25618673.0		2312545.0	1677.0	428423.0	2210.0	266484045.0	4066382.0	65533452.0	Europe	2022-04-22
Germany	23987618	72181.0	134434.0	150.0	21058000.0	204900.0	2795184.0	1980.0	284665.0	1595.0	122332384.0	1451739.0	84266089.0	Europe	2022-04-22
UK	21909509		173032.0		20652937.0		1083540.0	349.0	319717.0	2525.0	514563763.0	7508832.0	68527802.0	Europe	2022-04-22
Russia	18119862	9001.0	374563.0	195.0	17451090.0	13480.0	294209.0	2300.0	124069.0	2565.0	273400000.0	1871999.0	146047077.0	Europe	2022-04-22
S. Korea	16755055	81010.0	21873.0	206.0				833.0	326300.0	426.0	15804065.0	307780.0	51348592.0	Asia	2022-04-22
Italy	16008181	73212.0	162466.0	202.0	14622593.0	73233.0	1223122.0	411.0	265468.0	2694.0	210944097.0	3498138.0	60301830.0	Europe	2022-04-22
Turkey	15010718		98645.0		14817258.0		94815.0	975.0	174600.0	1147.0	157823818.0	1835753.0	85972252.0	Asia	2022-04-22
Spain	11736893		103721.0		11220981.0		412191.0	345.0	250856.0	2217.0	471036328.0	10067596.0	46787369.0	Europe	2022-04-22
Vietnam	10544324	11160.0	42998.0	7.0	9079265.0	2338.0	1422061.0	822.0	106600.0	435.0	85776230.0	867173.0	98914740.0	Asia	2022-04-22
Argentina	9060923		128344.0		8895999.0		36580.0	412.0	197225.0	2794.0	35716069.0	777414.0	45942138.0	South America	2022-04-22
Netherlands	8035603	2628.0	22206.0	9.0	7604443.0	42770.0	408954.0	94.0	467102.0	1291.0	21107399.0	1226953.0	17203105.0	Europe	2022-04-22
Japan	7535033	47409.0	29201.0	50.0	7027666.0	42371.0	478166.0	207.0	59907.0	232.0	46394230.0	368853.0	125779711.0	Asia	2022-04-22
Iran	7214904	1096.0	140940.0	21.0	6960970.0	2925.0	112994.0	1134.0	83965.0	1640.0	50079995.0	582817.0	85927538.0	Asia	2022-04-22
Colombia	6090520		139759.0		5923901.0		26860.0	342.0	117444.0	2695.0	34327907.0	661948.0	51858888.0	South America	2022-04-22
Indonesia	6043246	651.0	156040.0	25.0	5866169.0	10808.0	21037.0	2771.0	21681.0	560.0	94695148.0	339740.0	278728668.0	Asia	2022-04-22
Poland	5989614	1097.0	115926.0	27.0	5334291.0	72.0	539397.0	268.0	158573.0	3069.0	36005439.0	953231.0	37772015.0	Europe	2022-04-22
Mexico	5731635	1075.0	324033.0	29.0	5032356.0	869.0	375246.0	4798.0	43630.0	2467.0	15747399.0	119870.0	131370534.0	North America	2022-04-22
Australia	5612854	48984.0	6939.0	46.0	5186006.0		419909.0	134.0	215611.0	267.0	68697978.0	2638950.0	26032313.0	Australia/Oceania	2022-04-22
Ukraine	4996411		108296.0					177.0	115495.0	2503.0	19521252.0	451244.0	43260977.0	Europe	2022-04-22
Malaysia	4415101		35470.0		4291447.0		88184.0	92.0	133337.0	1071.0	58190515.0	1757373.0	33112225.0	Asia	2022-04-22
Thailand	4128038	21808.0	27523.0	128.0	3909738.0	19826.0	190777.0	1496.0	58875.0	393.0	17270775.0	246320.0	70115191.0	Asia	2022-04-22
Austria	4092513	8155.0	17057.0		3967810.0	9448.0	107646.0	127.0	449782.0	1875.0	181611092.0	19959713.0	9098883.0	Europe	2022-04-22
Israel	4047693		10658.0		4009152.0		27883.0	220.0	434022.0	1143.0	41373364.0	4436346.0	9326000.0	Asia	2022-04-22
Belgium	4015791		31319.0		3710449.0	20146.0	274023.0	169.0	343806.0	2681.0	33456470.0	2864326.0	11680399.0	Europe	2022-04-22
Czechia	3892504	2164.0	40058.0	8.0	3831186.0	5729.0	21260.0	50.0	362271.0	3728.0	55091627.0	5127313.0	10744736.0	Europe	2022-04-22
South Africa	3750830		100276.0		3631082.0		19472.0	175.0	61839.0	1653.0	24262108.0	400006.0	60654305.0	Africa	2022-04-22
Portugal	3719485		21993.0					61.0	366697.0	2168.0	40748372.0	4017307.0	10143206.0	Europe	2022-04-22
Canada	3684288		38688.0		3415904.0		229696.0	426.0	96101.0	1009.0	60485077.0	1577692.0	38337692.0	North America	2022-04-22
Philippines	3684094	230.0	60118.0	62.0	3608194.0	1156.0	15782.0	289.0	32833.0	536.0	29359833.0	261661.0	112205605.0	Asia	2022-04-22
Switzerland	3579867		13816.0		3336263.0	30953.0	229788.0	90.0	408263.0	1576.0	20666182.0	2356859.0	8768528.0	Europe	2022-04-22
Peru	3558613		212715.0					351.0	105290.0	6294.0	29550426.0	874316.0	33798340.0	South America	2022-04-22
Chile	3538843		57325.0		3350639.0		130879.0	295.0	182306.0	2953.0	36604833.0	1885728.0	19411512.0	South America	2022-04-22
Greece	3273382	7014.0	28839.0	31.0	3144822.0	8592.0	99721.0	278.0	316837.0	2791.0	78799329.0	7627140.0	10331439.0	Europe	2022-04-22
Denmark	2957826	1520.0	6060.0	13.0	2926800.0	2486.0	24966.0	15.0	507441.0	1040.0	127128267.0	21809952.0	5828911.0	Europe	2022-04-22
Romania	2887258	974.0	65412.0	9.0	2606660.0		215186.0	218.0	151907.0	3442.0	22573847.0	1187674.0	19006772.0	Europe	2022-04-22
Sweden	2498388		18656.0		2461823.0		17909.0	19.0	244638.0	1827.0	18493218.0	1810824.0	10212599.0	Europe	2022-04-22
Iraq	2323878		25201.0		2295073.0		3604.0	24.0	55534.0	602.0	18443454.0	440745.0	41846122.0	Asia	2022-04-22
Serbia	2000516	763.0	15948.0	3.0	1966248.0	1466.0	18320.0	24.0	230633.0	1839.0	9422021.0	1086232.0	8674039.0	Europe	2022-04-22
Bangladesh	1952506	21.0	29127.0		1892816.0	373.0	30563.0	1297.0	11647.0	174.0	13951348.0	83221.0	167642133.0	Asia	2022-04-22
Hungary	1890953	2047.0	46048.0	24.0	1776617.0	6551.0	68288.0	45.0	196642.0	4789.0	11295119.0	1174592.0	9616208.0	Europe	2022-04-22
Slovakia	1772201	1741.0	19817.0	14.0	1725465.0	3560.0	26919.0	92.0	324318.0	3627.0	7046883.0	1289598.0	5464401.0	Europe	2022-04-22
