Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	82416687	33193.0	1016159.0	338.0	80276197.0	32104.0	1124331.0	1436.0	246399.0	3038.0	997115318.0	2981044.0	334485290.0	North America	2022-04-19
India	43047594	2067.0	522006.0	10.0	42513248.0	1547.0	12340.0	698.0	30653.0	372.0	832506755.0	592807.0	1404347026.0	Asia	2022-04-19
Brazil	30279270	18182.0	662266.0	190.0	29298848.0	36365.0	318156.0	8318.0	140657.0	3076.0	63776166.0	296261.0	215270453.0	South America	2022-04-19
France	27816299	25465.0	144387.0	182.0	25301327.0	168976.0	2370585.0	1541.0	424465.0	2203.0	260504402.0	3975184.0	65532665.0	Europe	2022-04-19
Germany	23588355	130759.0	133533.0	96.0	20347900.0	262100.0	3106922.0	1980.0	279932.0	1585.0	122332384.0	1451764.0	84264628.0	Europe	2022-04-19
UK	21863944	18846.0	171878.0	97.0	20499397.0	193061.0	1192669.0	355.0	319061.0	2508.0	512140269.0	7473679.0	68525857.0	Europe	2022-04-19
Russia	18092791	8640.0	373948.0	235.0	17407228.0	16763.0	311615.0	2300.0	123884.0	2560.0	273400000.0	1872003.0	146046737.0	Europe	2022-04-19
S. Korea	16471940	118445.0	21354.0	130.0				834.0	320788.0	416.0	15804065.0	307781.0	51348351.0	Asia	2022-04-19
Italy	15758002	27214.0	161893.0	127.0	14387830.0	35763.0	1208279.0	422.0	261317.0	2685.0	209450124.0	3473335.0	60302314.0	Europe	2022-04-19
Turkey	15003696	4217.0	98610.0	23.0	14780437.0	16561.0	124649.0	975.0	174528.0	1147.0	157511562.0	1832227.0	85967295.0	Asia	2022-04-19
Spain	11736893	10671.0	103721.0	65.0	11220981.0	13991.0	412191.0	345.0	250857.0	2217.0	471036328.0	10067617.0	46787271.0	Europe	2022-04-19
Vietnam	10489319	13500.0	42975.0	18.0	9065694.0	124630.0	1380650.0	1010.0	106049.0	434.0	85711086.0	866557.0	98909959.0	Asia	2022-04-19
Argentina	9060923		128344.0		8895999.0		36580.0	412.0	197234.0	2794.0	35716069.0	777452.0	45939873.0	South America	2022-04-19
Netherlands	8026489	2505.0	22167.0	4.0	7489241.0	76279.0	515081.0	113.0	466578.0	1289.0	21107399.0	1226968.0	17202898.0	Europe	2022-04-19
Japan	7402533	28282.0	29049.0	26.0	6875015.0	45109.0	498469.0	213.0	58852.0	231.0	45879318.0	364753.0	125781818.0	Asia	2022-04-19
