Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	83637470	37513.0	1024649.0	40.0	80947924.0	16917.0	1664897.0	1698.0	249969.0	3062.0	1011515912.0	3023140.0	334591157.0	North America	2022-05-08
India	43105401	2893.0	524093.0	29.0	42560905.0	3410.0	20403.0	698.0	30678.0	373.0	840693082.0	598321.0	1405087832.0	Asia	2022-05-08
Brazil	30564536	6006.0	664189.0	10.0	29629420.0	12256.0	270927.0	8318.0	141928.0	3084.0	63776166.0	296147.0	215352893.0	South America	2022-05-08
France	28957421	29324.0	146724.0	54.0	27644164.0	19748.0	1166533.0	1408.0	441825.0	2239.0	269816888.0	4116794.0	65540535.0	Europe	2022-05-08
Germany	25345357	7361.0	136925.0	11.0	23246900.0	40900.0	1961532.0	1279.0	300731.0	1625.0	122332384.0	1451513.0	84279230.0	Europe	2022-05-08
UK	22133976	6310.0	176353.0	71.0	21487059.0	30790.0	470564.0	253.0	322910.0	2573.0	519264096.0	7575488.0	68545304.0	Europe	2022-05-08
Russia	18227666	5447.0	376946.0	118.0	17603398.0	6682.0	247322.0	2300.0	124804.0	2581.0	273400000.0	1871960.0	146050144.0	Europe	2022-05-08
S. Korea	17544398	40064.0	23360.0	71.0				423.0	341658.0	455.0	15804065.0	307767.0	51350755.0	Asia	2022-05-08
Italy	16799264	31070.0	164489.0	72.0	15471992.0		1162783.0	356.0	278606.0	2728.0	216068651.0	3583378.0	60297475.0	Europe	2022-05-08
Turkey	15043379	1480.0	98846.0	9.0	14941419.0	1526.0	3114.0	975.0	174889.0	1149.0	159851441.0	1858373.0	86016859.0	Asia	2022-05-08
Spain	12009059		104869.0		11467015.0		437175.0	339.0	256668.0	2241.0	471036328.0	10067405.0	46788257.0	Europe	2022-05-08
Vietnam	10676184	2269.0	43056.0	1.0	9320591.0	2066.0	1312537.0	473.0	107886.0	435.0	85805439.0	867091.0	98957769.0	Asia	2022-05-08
Argentina	9101319	2520.0	128729.0	10.0	8895999.0		76591.0	372.0	198016.0	2801.0	35716069.0	777070.0	45962514.0	South America	2022-05-08
Netherlands	8060416	1234.0	22276.0	2.0	7938682.0	12810.0	99458.0	52.0	468494.0	1295.0	21107399.0	1226820.0	17204964.0	Europe	2022-05-08
Japan	8058591	34696.0	29785.0	24.0	7716884.0	38042.0	311922.0	159.0	64079.0	237.0	49477103.0	393422.0	125760754.0	Asia	2022-05-08
Iran	7225189	488.0	141177.0	12.0	7005420.0	3162.0	78592.0	896.0	84033.0	1642.0	50914586.0	592165.0	85980409.0	Asia	2022-05-08
Australia	6249101	35289.0	7513.0	18.0	5905984.0	31162.0	335604.0	131.0	239918.0	288.0	69958657.0	2685877.0	26046859.0	Australia/Oceania	2022-05-08
Colombia	6093645		139809.0		5927076.0		26760.0	342.0	117444.0	2695.0	34560302.0	666087.0	51885545.0	South America	2022-05-08
Indonesia	6048431	227.0	156381.0	10.0	5885858.0	452.0	6192.0	2771.0	21689.0	561.0	96221718.0	345040.0	278870828.0	Asia	2022-05-08
Poland	6000416	199.0	116138.0		5334926.0	25.0	549352.0	1125.0	158867.0	3075.0	36161467.0	957413.0	37769984.0	Europe	2022-05-08
Mexico	5744496	736.0	324452.0	17.0	5043476.0	642.0	376568.0	4798.0	43705.0	2468.0	15801675.0	120222.0	131437113.0	North America	2022-05-08
Ukraine	5005942	512.0	108446.0	6.0				177.0	115749.0	2508.0	19521252.0	451378.0	43248123.0	Europe	2022-05-08
Malaysia	4458889	2153.0	35583.0	4.0	4400750.0	2869.0	22556.0	88.0	134577.0	1074.0	58924030.0	1778430.0	33132619.0	Asia	2022-05-08
Thailand	4324850	8081.0	29091.0	54.0	4204483.0	10588.0	91276.0	1496.0	61675.0	415.0	17270775.0	246290.0	70123780.0	Asia	2022-05-08
Austria	4181545	3617.0	18245.0	3.0	4095510.0	5366.0	67790.0	81.0	459440.0	2005.0	184147092.0	20232820.0	9101405.0	Europe	2022-05-08
Israel	4092054	1674.0	10741.0		4052605.0		28708.0	150.0	438779.0	1152.0	41373364.0	4436346.0	9326000.0	Asia	2022-05-08
Belgium	4088336		31552.0		3884180.0		172604.0	124.0	349943.0	2701.0	33714218.0	2885781.0	11682874.0	Europe	2022-05-08
Portugal	3935932		22420.0					61.0	388092.0	2211.0	41572572.0	4099152.0	10141750.0	Europe	2022-05-08
Czechia	3912361	238.0	40218.0	2.0	3863408.0	1622.0	8735.0	19.0	364086.0	3743.0	55275632.0	5143972.0	10745710.0	Europe	2022-05-08
South Africa	3841388	5486.0	100523.0	7.0	3679053.0	2243.0	61812.0	192.0	63294.0	1656.0	24675963.0	406583.0	60691077.0	Africa	2022-05-08
Canada	3791455	1938.0	39750.0	10.0	3482186.0	2503.0	269519.0	468.0	98854.0	1036.0	61161915.0	1594671.0	38353949.0	North America	2022-05-08
Philippines	3687015	149.0	60439.0		3622473.0	349.0	4103.0	289.0	32838.0	538.0	29715403.0	264661.0	112277342.0	Asia	2022-05-08
Switzerland	3619035		13865.0		3514825.0	7204.0	90345.0	69.0	412584.0	1581.0	20851897.0	2377196.0	8771636.0	Europe	2022-05-08
Chile	3579349	3210.0	57637.0	8.0	3447154.0	4098.0	74558.0	176.0	184317.0	2968.0	37363438.0	1924009.0	19419573.0	South America	2022-05-08
Peru	3569782	456.0	212946.0	13.0				263.0	105549.0	6296.0	30065461.0	888960.0	33820934.0	South America	2022-05-08
Greece	3361779	3195.0	29392.0	23.0	3261526.0	4905.0	70861.0	204.0	325472.0	2846.0	80579733.0	7801350.0	10328947.0	Europe	2022-05-08
Denmark	2972186	531.0	6238.0	4.0	2952806.0		13142.0	6.0	509817.0	1070.0	127282729.0	21832702.0	5829912.0	Europe	2022-05-08
Romania	2899178	330.0	65562.0	2.0	2606660.0		226956.0	167.0	152584.0	3451.0	22838696.0	1202005.0	19000495.0	Europe	2022-05-08
Sweden	2503090		18791.0		2474098.0	1682.0	10201.0	16.0	245024.0	1839.0	18534055.0	1814273.0	10215691.0	Europe	2022-05-08
Iraq	2325614	92.0	25213.0		2299141.0	146.0	1260.0	10.0	55516.0	602.0	18499954.0	441625.0	41890619.0	Asia	2022-05-08
Serbia	2009979	302.0	16028.0	4.0	1982752.0	916.0	11199.0	20.0	231770.0	1848.0	9542409.0	1100330.0	8672316.0	Europe	2022-05-08
Bangladesh	1952799	23.0	29127.0		1897526.0	263.0	26146.0	1273.0	11643.0	174.0	14012847.0	83548.0	167722764.0	Asia	2022-05-08
Hungary	1903200		46266.0		1808061.0		48873.0	40.0	197941.0	4812.0	11355462.0	1181014.0	9615007.0	Europe	2022-05-08
Slovakia	1785133	234.0	19978.0	10.0	1754840.0	1148.0	10315.0	40.0	326676.0	3656.0	7113811.0	1301815.0	5464531.0	Europe	2022-05-08
Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163056.0	1352.0	16670254.0	1604390.0	10390397.0	Asia	2022-05-08
Georgia	1655221		16811.0		1637293.0		1117.0		416407.0	4229.0	16920079.0	4256611.0	3975012.0	Asia	2022-05-08
Pakistan	1528736	46.0	30375.0	3.0	1494141.0		4220.0	91.0	6681.0	133.0	28239539.0	123414.0	228820099.0	Asia	2022-05-08
Ireland	1524092	524.0	7131.0		1477190.0	3150.0	39771.0	35.0	302414.0	1415.0	12101379.0	2401184.0	5039756.0	Europe	2022-05-08
Norway	1428010	54.0	3006.0					20.0	259656.0	547.0	11002430.0	2000583.0	5499613.0	Europe	2022-05-08
Kazakhstan	1305584		13661.0		1291366.0	7.0	557.0	24.0	68028.0	712.0	11575012.0	603119.0	19191919.0	Asia	2022-05-08
Singapore	1217922	2423.0	1352.0	2.0	1150366.0	3070.0	66204.0	6.0	205196.0	228.0	23767171.0	4004303.0	5935407.0	Asia	2022-05-08
Hong Kong	1206585	266.0	9346.0	2.0				5.0	158564.0	1228.0	44972952.0	5910160.0	7609430.0	Asia	2022-05-08
Morocco	1165247	41.0	16070.0		1148878.0	22.0	299.0	293.0	30893.0	426.0	11237010.0	297911.0	37719362.0	Africa	2022-05-08
Bulgaria	1159301	151.0	36973.0	7.0	989372.0	138.0	132956.0	78.0	169197.0	5396.0	9886322.0	1442886.0	6851770.0	Europe	2022-05-08
Croatia	1127742	406.0	15888.0	7.0	1106837.0	812.0	5017.0	16.0	277873.0	3915.0	4813913.0	1186139.0	4058474.0	Europe	2022-05-08
Cuba	1103980	104.0	8527.0		1094829.0	131.0	624.0	23.0	97578.0	754.0	12920253.0	1141987.0	11313836.0	North America	2022-05-08
Lebanon	1097539	47.0	10399.0	1.0	1083698.0		3442.0	186.0	162143.0	1536.0	4795578.0	708467.0	6768947.0	Asia	2022-05-08
Lithuania	1059581	20.0	9121.0	3.0	1029371.0	235.0	21089.0	20.0	399525.0	3439.0	8262024.0	3115273.0	2652103.0	Europe	2022-05-08
Finland	1052767		4150.0		46000.0		1002617.0	21.0	189461.0	747.0	10773620.0	1938876.0	5556632.0	Europe	2022-05-08
Tunisia	1040712		28566.0					29.0	86386.0	2371.0	4584296.0	380526.0	12047248.0	Africa	2022-05-08
Slovenia	1015786	328.0	6611.0		997933.0	510.0	11242.0	21.0	488484.0	3179.0	2651999.0	1275327.0	2079466.0	Europe	2022-05-08
New Zealand	989946	5728.0	810.0	2.0	935880.0	5725.0	53256.0		197906.0	162.0	7099152.0	1419234.0	5002100.0	Australia/Oceania	2022-05-08
Belarus	982654	323.0	6972.0	3.0	928536.0		47146.0		104055.0	738.0	13212749.0	1399125.0	9443577.0	Europe	2022-05-08
Nepal	978942	17.0	11952.0		966789.0	21.0	201.0		32517.0	397.0	5655172.0	187845.0	30105480.0	Asia	2022-05-08
Bolivia	905428	73.0	21925.0		861685.0	282.0	21818.0	220.0	75658.0	1832.0	2705422.0	226066.0	11967379.0	South America	2022-05-08
UAE	900251	225.0	2302.0		884228.0	253.0	13721.0		89034.0	228.0	157253862.0	15552262.0	10111318.0	Asia	2022-05-08
Uruguay	899723		7210.0		888557.0		3956.0	18.0	257359.0	2062.0	6091188.0	1742337.0	3495987.0	South America	2022-05-08
Ecuador	871029	76.0	35602.0	1.0				759.0	48022.0	1963.0	2470170.0	136185.0	18138300.0	South America	2022-05-08
Costa Rica	857290		8421.0		836721.0		12148.0	42.0	165496.0	1626.0	4291131.0	828385.0	5180118.0	North America	2022-05-08
Guatemala	849495	78.0	17699.0	1.0	829500.0	175.0	2296.0	5.0	45849.0	955.0	4495103.0	242610.0	18528136.0	North America	2022-05-08
Latvia	824046		5789.0		812244.0		6013.0	7.0	445994.0	3133.0	7196647.0	3895004.0	1847661.0	Europe	2022-05-08
Azerbaijan	792630	12.0	9709.0		782862.0	13.0	59.0		76894.0	942.0	6834816.0	663051.0	10308136.0	Asia	2022-05-08
Panama	788471	1615.0	8193.0	1.0	766952.0	854.0	13326.0	16.0	177571.0	1845.0	5938833.0	1337477.0	4440324.0	North America	2022-05-08
Saudi Arabia	755415	339.0	9103.0	4.0	742563.0	112.0	3749.0	56.0	21091.0	254.0	41982063.0	1172156.0	35816111.0	Asia	2022-05-08
Sri Lanka	663561	28.0	16509.0		646145.0	4.0	907.0		30750.0	765.0	6486117.0	300572.0	21579239.0	Asia	2022-05-08
Paraguay	649718		18872.0		624673.0		6173.0	2.0	89069.0	2587.0	2633737.0	361058.0	7294508.0	South America	2022-05-08
Kuwait	631898	197.0	2555.0		628946.0	460.0	397.0	1.0	144028.0	582.0	8064250.0	1838080.0	4387323.0	Asia	2022-05-08
Myanmar	613053	4.0	19434.0		591964.0	17.0	1655.0		11129.0	353.0	8024984.0	145686.0	55084159.0	Asia	2022-05-08
Palestine	582119	179.0	5353.0		576684.0	442.0	82.0	17.0	109409.0	1006.0	3078533.0	578609.0	5320578.0	Asia	2022-05-08
Dominican Republic	579743		4376.0		574987.0		380.0	1.0	52470.0	396.0	3288872.0	297662.0	11049025.0	North America	2022-05-08
Bahrain	572810	728.0	1477.0		567065.0	363.0	4268.0	1.0	316322.0	816.0	9751534.0	5385071.0	1810846.0	Asia	2022-05-08
Estonia	572434		2548.0		511857.0		58029.0	3.0	430990.0	1918.0	3329716.0	2506969.0	1328184.0	Europe	2022-05-08
Venezuela	522749	77.0	5709.0		515907.0	8.0	1133.0	230.0	18480.0	202.0	3359014.0	118748.0	28287005.0	South America	2022-05-08
Moldova	516986		11489.0		504142.0		1355.0	49.0	128711.0	2860.0	3216305.0	800747.0	4016632.0	Europe	2022-05-08
Egypt	515645		24613.0		442182.0		48850.0	122.0	4869.0	232.0	3693367.0	34875.0	105901978.0	Africa	2022-05-08
Libya	501904		6430.0		490973.0		4501.0	101.0	71252.0	913.0	2477219.0	351677.0	7044024.0	Africa	2022-05-08
Cyprus	477711		1032.0		124370.0		352309.0	60.0	390412.0	843.0	9477138.0	7745240.0	1223608.0	Asia	2022-05-08
