Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	83066907	24751.0	1020833.0	115.0	80684899.0	29374.0	1361175.0	1576.0	248299.0	3051.0	1005438148.0	3005403.0	334543517.0	North America	2022-04-30
India	43079188	3324.0	523843.0	40.0	42536253.0	2876.0	19092.0	698.0	30667.0	373.0	837442023.0	596148.0	1404754469.0	Asia	2022-04-30
Brazil	30448236	15194.0	663551.0	67.0	29519204.0	11647.0	265481.0	8318.0	141412.0	3082.0	63776166.0	296198.0	215315795.0	South America	2022-04-30
France	28645285	49482.0	145930.0	61.0	26801506.0	107496.0	1697849.0	1677.0	437086.0	2227.0	266484045.0	4066162.0	65536993.0	Europe	2022-04-30
Germany	24761600	57003.0	135900.0	106.0	22307900.0	80300.0	2317800.0	1446.0	293827.0	1613.0	122332384.0	1451626.0	84272659.0	Europe	2022-04-30
UK	22038340		174912.0		21168267.0		695161.0	302.0	321556.0	2552.0	517337635.0	7548346.0	68536553.0	Europe	2022-04-30
Russia	18182354	7363.0	375884.0	157.0	17539985.0	11022.0	266485.0	2300.0	124495.0	2574.0	273400000.0	1871979.0	146048611.0	Europe	2022-04-30
S. Korea	17237878	43262.0	22794.0	70.0				490.0	335696.0	444.0	15804065.0	307773.0	51349673.0	Asia	2022-04-30
Italy	16463200	53602.0	163507.0	130.0	15070314.0	71625.0	1229379.0	366.0	273023.0	2712.0	213773683.0	3545189.0	60299653.0	Europe	2022-04-30
Turkey	15032093	1772.0	98771.0	11.0	14927975.0		5347.0	975.0	174803.0	1149.0	159024414.0	1849238.0	85994556.0	Asia	2022-04-30
Spain	11896152		104456.0		11389694.0		402002.0	339.0	254257.0	2233.0	471036328.0	10067500.0	46787813.0	Europe	2022-04-30
Vietnam	10649809	5109.0	43041.0	3.0	9262255.0	16727.0	1344513.0	475.0	107643.0	435.0	85798077.0	867206.0	98936255.0	Asia	2022-04-30
Argentina	9072230		128542.0		8895999.0		47689.0	372.0	197427.0	2797.0	35716069.0	777242.0	45952326.0	South America	2022-04-30
Netherlands	8047132		22243.0		7811564.0		213325.0	66.0	467747.0	1293.0	21107399.0	1226887.0	17204034.0	Europe	2022-04-30
Japan	7850252	36403.0	29548.0	42.0	7402570.0	46281.0	418134.0	171.0	62417.0	235.0	48679214.0	387049.0	125770233.0	Asia	2022-04-30
Iran	7221653	532.0	141083.0	11.0	6983502.0	3019.0	97068.0	996.0	84018.0	1641.0	50914586.0	592347.0	85953973.0	Asia	2022-04-30
Colombia	6092667	264.0	139797.0	4.0	5926476.0	460.0	26394.0	342.0	117455.0	2695.0	34465052.0	664422.0	51872217.0	South America	2022-04-30
Indonesia	6046796	329.0	156257.0	17.0	5882660.0	598.0	7879.0	2771.0	21689.0	560.0	95495775.0	342525.0	278799748.0	Asia	2022-04-30
Poland	5996514	842.0	116059.0	17.0	5334680.0	61.0	545775.0	1321.0	158760.0	3073.0	36092285.0	955555.0	37770999.0	Europe	2022-04-30
Australia	5928306	39258.0	7223.0	34.0	5591247.0	37502.0	329836.0	139.0	227665.0	277.0	69334180.0	2662645.0	26039586.0	Australia/Oceania	2022-04-30
Mexico	5738769	958.0	324294.0	40.0	5038150.0	677.0	376325.0	4798.0	43673.0	2468.0	15801675.0	120253.0	131403824.0	North America	2022-04-30
Ukraine	5001719		108391.0					177.0	115635.0	2506.0	19521252.0	451311.0	43254550.0	Europe	2022-04-30
Malaysia	4448004	2107.0	35547.0	5.0	4366951.0	6890.0	45506.0	69.0	134290.0	1073.0	58730151.0	1773124.0	33122422.0	Asia	2022-04-30
Thailand	4250949	12888.0	28529.0	126.0	4070856.0	17105.0	151564.0	1496.0	60624.0	407.0	17270775.0	246305.0	70119486.0	Asia	2022-04-30
Austria	4140543	5199.0	18156.0	18.0	4042540.0	7931.0	79847.0	87.0	454998.0	1995.0	183002443.0	20109840.0	9100144.0	Europe	2022-04-30
Israel	4076111	1992.0	10695.0		4042243.0	3850.0	23173.0	220.0	437070.0	1147.0	41373364.0	4436346.0	9326000.0	Asia	2022-04-30
Belgium	4056448		31439.0		3788323.0		236686.0	150.0	347250.0	2691.0	33531891.0	2870479.0	11681636.0	Europe	2022-04-30
Czechia	3905101	1436.0	40155.0	8.0	3845118.0	97.0	19828.0	29.0	363427.0	3737.0	55199677.0	5137136.0	10745223.0	Europe	2022-04-30
Portugal	3853800		22280.0					61.0	379966.0	2197.0	41278379.0	4069851.0	10142478.0	Europe	2022-04-30
South Africa	3791925	6527.0	100363.0	3.0	3648831.0	2590.0	42731.0	192.0	62498.0	1654.0	24475485.0	403402.0	60672691.0	Africa	2022-04-30
Canada	3749083	2799.0	39243.0	13.0	3454966.0	3158.0	254874.0	468.0	97770.0	1023.0	60871310.0	1587430.0	38345820.0	North America	2022-04-30
Philippines	3685643	240.0	60341.0	36.0	3618137.0	1428.0	7165.0	289.0	32837.0	538.0	29565513.0	263410.0	112241473.0	Asia	2022-04-30
Switzerland	3602489		13859.0		3459053.0		129577.0	87.0	410770.0	1580.0	20767523.0	2367996.0	8770082.0	Europe	2022-04-30
Peru	3564558		212810.0					324.0	105430.0	6294.0	29813461.0	881804.0	33809637.0	South America	2022-04-30
Chile	3558631	2298.0	57527.0	18.0	3413427.0	6497.0	87677.0	221.0	183288.0	2963.0	37001758.0	1905780.0	19415542.0	South America	2022-04-30
Greece	3323922	6497.0	29153.0	39.0	3212923.0	3827.0	81846.0	239.0	321768.0	2822.0	79829956.0	7727828.0	10330193.0	Europe	2022-04-30
Denmark	2966047	843.0	6158.0	9.0	2941761.0	1304.0	18128.0	13.0	508807.0	1056.0	127218115.0	21823490.0	5829412.0	Europe	2022-04-30
Romania	2893876	887.0	65486.0	8.0	2606660.0		221730.0	198.0	152280.0	3446.0	22702071.0	1194617.0	19003633.0	Europe	2022-04-30
Sweden	2500917		18739.0		2469149.0	1071.0	13029.0	21.0	244848.0	1835.0	18513445.0	1812530.0	10214145.0	Europe	2022-04-30
Iraq	2325092	110.0	25211.0		2297747.0	201.0	2134.0	20.0	55533.0	602.0	18478198.0	441340.0	41868370.0	Asia	2022-04-30
Serbia	2006353	521.0	15991.0	7.0	1975636.0	2889.0	14726.0	23.0	231328.0	1844.0	9487930.0	1093939.0	8673178.0	Europe	2022-04-30
Bangladesh	1952691	17.0	29127.0		1895404.0	258.0	28160.0	1297.0	11645.0	174.0	13990466.0	83434.0	167682449.0	Asia	2022-04-30
Hungary	1901017		46201.0		1804295.0		50521.0	41.0	197701.0	4805.0	11339446.0	1179275.0	9615608.0	Europe	2022-04-30
Slovakia	1780955	933.0	19905.0	14.0	1743306.0	915.0	17744.0	70.0	325916.0	3643.0	7088924.0	1297277.0	5464466.0	Europe	2022-04-30
Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163095.0	1352.0	16670254.0	1604775.0	10387908.0	Asia	2022-04-30
Georgia	1655098	153.0	16807.0		1637037.0	237.0	1254.0		416356.0	4228.0	16908154.0	4253410.0	3975200.0	Asia	2022-04-30
Pakistan	1528412	65.0	30371.0		1494141.0		3900.0	131.0	6683.0	133.0	28156480.0	123108.0	228714454.0	Asia	2022-04-30
Ireland	1517112		7087.0		1452338.0	5232.0	57687.0	37.0	301110.0	1407.0	12063637.0	2394339.0	5038400.0	Europe	2022-04-30
Norway	1426013	204.0	2932.0					20.0	259342.0	533.0	11002430.0	2000961.0	5498572.0	Europe	2022-04-30
