Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	83953371		1025764.0		81107296.0		1820311.0	1794.0	250905.0	3066.0	1014741268.0	3032684.0	334601743.0	North America	2022-05-12
India	43113413		524181.0		42570165.0		19067.0	698.0	30682.0	373.0	842458167.0	599545.0	1405161912.0	Asia	2022-05-12
Brazil	30617786		664564.0		29697931.0		255291.0	8318.0	142170.0	3086.0	63776166.0	296136.0	215361137.0	South America	2022-05-12
France	29061523		147075.0		28017331.0	88293.0	897117.0	1329.0	443408.0	2244.0	271490188.0	4142275.0	65541322.0	Europe	2022-05-12
Germany	25583258		137449.0		23804600.0	127900.0	1641209.0	1279.0	303548.0	1631.0	122332384.0	1451488.0	84280690.0	Europe	2022-05-12
UK	22145157		176424.0		21616575.0		352158.0	253.0	323064.0	2574.0	519264096.0	7575273.0	68547249.0	Europe	2022-05-12
Russia	18245394	4065.0	377359.0	111.0	17626344.0	6930.0	241691.0	2300.0	124925.0	2584.0	273400000.0	1871955.0	146050485.0	Europe	2022-05-12
S. Korea	17694677	35883.0	23554.0	63.0				354.0	344583.0	459.0	15804065.0	307766.0	51350995.0	Asia	2022-05-12
Italy	16915301		164846.0		15709259.0		1041196.0	338.0	280533.0	2734.0	216861042.0	3596548.0	60296991.0	Europe	2022-05-12
Turkey	15048449		98870.0		14946104.0		3475.0	975.0	174938.0	1149.0	160225407.0	1862614.0	86021816.0	Asia	2022-05-12
Spain	12058888		105123.0		11522364.0		431401.0	339.0	257733.0	2247.0	471036328.0	10067384.0	46788355.0	Europe	2022-05-12
Vietnam	10683972		43060.0		9327523.0		1313389.0	365.0	107960.0	435.0	85806532.0	867061.0	98962550.0	Asia	2022-05-12
Argentina	9101319		128729.0		8895999.0		76591.0	372.0	198006.0	2801.0	35716069.0	777031.0	45964778.0	South America	2022-05-12
Japan	8217978	45740.0	29935.0	41.0	7864759.0	50703.0	323284.0	159.0	65347.0	238.0	50031352.0	397836.0	125758647.0	Asia	2022-05-12
Netherlands	8064424		22287.0		7973252.0		68885.0	57.0	468721.0	1295.0	21107399.0	1226806.0	17205170.0	Europe	2022-05-12
Iran	7227043	371.0	141201.0	3.0	7014783.0	2013.0	71059.0	782.0	84049.0	1642.0	51622353.0	600356.0	85986283.0	Asia	2022-05-12
Australia	6449224	57314.0	7668.0	55.0	6033554.0		408002.0	120.0	247585.0	294.0	70326002.0	2699813.0	26048475.0	Australia/Oceania	2022-05-12
Colombia	6093645		139809.0		5927076.0		26760.0	342.0	117437.0	2694.0	34560302.0	666049.0	51888507.0	South America	2022-05-12
Indonesia	6049876	335.0	156438.0	14.0	5888571.0	785.0	4867.0	2771.0	21693.0	561.0	96968564.0	347699.0	278886623.0	Asia	2022-05-12
Poland	6002394	500.0	116175.0	11.0	5335046.0	45.0	551173.0	981.0	158921.0	3076.0	36198061.0	958387.0	37769758.0	Europe	2022-05-12
Mexico	5745652		324465.0		5044893.0		376294.0	4798.0	43712.0	2468.0	15855490.0	120625.0	131444511.0	North America	2022-05-12
Ukraine	5006460		108449.0					177.0	115765.0	2508.0	19521252.0	451393.0	43246695.0	Europe	2022-05-12
Malaysia	4467061		35598.0		4406613.0		24850.0	59.0	134814.0	1074.0	59086179.0	1783202.0	33134885.0	Asia	2022-05-12
Thailand	4353237	8019.0	29314.0	59.0	4246499.0	8807.0	77424.0	1496.0	62078.0	418.0	17270775.0	246286.0	70124735.0	Asia	2022-05-12
Austria	4200825	5134.0	18291.0	12.0	4119090.0	6097.0	63444.0	70.0	461544.0	2010.0	184765500.0	20300142.0	9101685.0	Europe	2022-05-12
Belgium	4102082		31580.0		3912251.0	8540.0	158251.0	122.0	351111.0	2703.0	33779532.0	2891304.0	11683149.0	Europe	2022-05-12
Israel	4099293		10749.0		4052605.0		35939.0	150.0	439555.0	1153.0	41373364.0	4436346.0	9326000.0	Asia	2022-05-12
Portugal	3935932		22420.0					61.0	388098.0	2211.0	41697794.0	4111564.0	10141589.0	Europe	2022-05-12
Czechia	3914707	592.0	40237.0	2.0	3867251.0	516.0	7219.0	13.0	364301.0	3744.0	55304968.0	5146650.0	10745818.0	Europe	2022-05-12
South Africa	3862165		100609.0		3691684.0		69872.0	192.0	63632.0	1658.0	24765642.0	408033.0	60695163.0	Africa	2022-05-12
Canada	3802456		39906.0		3492607.0		269943.0	423.0	99137.0	1040.0	61306765.0	1598372.0	38355755.0	North America	2022-05-12
Philippines	3687567	139.0	60452.0	13.0	3623938.0	277.0	3177.0	289.0	32841.0	538.0	29785678.0	265268.0	112285313.0	Asia	2022-05-12
Switzerland	3631881		13882.0		3533050.0	2617.0	84949.0	78.0	414032.0	1583.0	20927607.0	2385733.0	8771982.0	Europe	2022-05-12
Chile	3586522		57667.0		3456624.0		72231.0	173.0	184677.0	2969.0	37466692.0	1929237.0	19420468.0	South America	2022-05-12
Peru	3570801		212979.0					254.0	105572.0	6297.0	30134364.0	890931.0	33823445.0	South America	2022-05-12
Greece	3375812		29471.0		3287981.0		58360.0	185.0	326839.0	2853.0	80897630.0	7832338.0	10328670.0	Europe	2022-05-12
Denmark	2975108	691.0	6271.0	11.0	2958077.0	992.0	10760.0	6.0	510308.0	1076.0	127324433.0	21839439.0	5830023.0	Europe	2022-05-12
Romania	2901682	602.0	65595.0	6.0				151.0	152722.0	3452.0	22910784.0	1205844.0	18999797.0	Europe	2022-05-12
Sweden	2504894		18864.0		2476511.0	1240.0	9519.0	9.0	245192.0	1847.0	18553837.0	1816149.0	10216034.0	Europe	2022-05-12
Iraq	2326033		25215.0		2299572.0		1246.0	14.0	55520.0	602.0	18512761.0	441879.0	41895563.0	Asia	2022-05-12
Serbia	2011399		16040.0		1985107.0		10252.0	18.0	231938.0	1850.0	9570938.0	1103644.0	8672125.0	Europe	2022-05-12
Bangladesh	1952939	51.0	29127.0		1898603.0	291.0	25209.0	1273.0	11643.0	174.0	14039668.0	83703.0	167731723.0	Asia	2022-05-12
Hungary	1909948		46343.0		1821435.0		42170.0	29.0	198645.0	4820.0	11394556.0	1185097.0	9614873.0	Europe	2022-05-12
Slovakia	1786328	350.0	20011.0	9.0	1759094.0	1117.0	7223.0	30.0	326894.0	3662.0	7122263.0	1303359.0	5464545.0	Europe	2022-05-12
Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163047.0	1352.0	16670254.0	1604305.0	10390950.0	Asia	2022-05-12
Georgia	1655221		16811.0		1637293.0		1117.0		416411.0	4229.0	16920079.0	4256656.0	3974970.0	Asia	2022-05-12
Pakistan	1528987	90.0	30376.0		1494141.0		4470.0	104.0	6681.0	133.0	28298660.0	123659.0	228843575.0	Asia	2022-05-12
Ireland	1524555		7163.0		1487651.0	1748.0	29741.0	28.0	302488.0	1421.0	12138572.0	2408420.0	5040057.0	Europe	2022-05-12
Norway	1429064		3061.0					20.0	259837.0	557.0	11002430.0	2000499.0	5499844.0	Europe	2022-05-12
