Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	"NewRecovered	"	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
Slovenia	1017010	999.0	6613.0		999854.0	1560.0	10543.0	22.0	489072.0	3180.0	2653740.0	1276163.0	2079468.0	Europe	2022-05-10
New Zealand	1005674	9257.0	826.0	14.0	948717.0	6111.0	56131.0		201050.0	165.0	7111457.0	1421694.0	5002100.0	Australia/Oceania	2022-05-10
Belarus	982867	58.0	6978.0	4.0					104078.0	739.0	13220483.0	1399947.0	9443560.0	Europe	2022-05-10
Nepal	978960	12.0	11952.0		966823.0	17.0	185.0		32515.0	397.0	5659241.0	187963.0	30108348.0	Asia	2022-05-10
Bolivia	905530	77.0	21925.0		862277.0	238.0	21328.0	220.0	75661.0	1832.0	2705422.0	226050.0	11968249.0	South America	2022-05-10
UAE	900764	280.0	2302.0		884771.0	259.0	13691.0		89079.0	228.0	157825264.0	15607765.0	10111971.0	Asia	2022-05-10
Uruguay	899723		7210.0		888557.0		3956.0	18.0	257354.0	2062.0	6091188.0	1742305.0	3496052.0	South America	2022-05-10
Ecuador	871046		35602.0					759.0	48019.0	1963.0	2470170.0	136174.0	18139765.0	South America	2022-05-10
Costa Rica	866164	1697.0	8444.0	3.0	841683.0	635.0	16037.0	48.0	167201.0	1630.0	4401922.0	849731.0	5180372.0	North America	2022-05-10
Guatemala	850255	703.0	17719.0	16.0	830386.0	728.0	2150.0	5.0	45885.0	956.0	4516595.0	243746.0	18529950.0	North America	2022-05-10
Latvia	824926	291.0	5792.0	2.0	814721.0	580.0	4413.0	9.0	446498.0	3135.0	7207977.0	3901377.0	1847547.0	Europe	2022-05-10
Panama	793137	3307.0	8194.0		768839.0	935.0	16104.0	16.0	178606.0	1845.0	5960270.0	1342193.0	4440696.0	North America	2022-05-10
Azerbaijan	792638	6.0	9709.0		782869.0	5.0	60.0		76891.0	942.0	6838458.0	663372.0	10308634.0	Asia	2022-05-10
Saudi Arabia	756549	569.0	9104.0		742782.0	105.0	4663.0	49.0	21121.0	254.0	42027011.0	1173314.0	35819075.0	Asia	2022-05-10
Sri Lanka	663597	17.0	16509.0		646149.0	4.0	939.0		30751.0	765.0	6486117.0	300565.0	21579728.0	Asia	2022-05-10
Paraguay	649718		18872.0		624673.0		6173.0	2.0	89064.0	2587.0	2633737.0	361034.0	7294987.0	South America	2022-05-10
Kuwait	631898		2555.0		628946.0		397.0	1.0	144017.0	582.0	8064250.0	1837935.0	4387669.0	Asia	2022-05-10
Myanmar	613066	10.0	19434.0		591987.0	6.0	1645.0		11129.0	353.0	8040752.0	145967.0	55086148.0	Asia	2022-05-10
Palestine	582119		5353.0		576684.0		82.0	17.0	109396.0	1006.0	3078533.0	578538.0	5321228.0	Asia	2022-05-10
Dominican Republic	580020	277.0	4376.0		575175.0	188.0	469.0	1.0	52492.0	396.0	3296116.0	298301.0	11049619.0	North America	2022-05-10
Bahrain	574401	644.0	1477.0		567743.0	373.0	5181.0	3.0	317143.0	815.0	9761217.0	5389451.0	1811171.0	Asia	2022-05-10
Estonia	573922	1490.0	2556.0	8.0	514836.0	2979.0	56530.0	3.0	432109.0	1924.0	3345340.0	2518723.0	1328189.0	Europe	2022-05-10
Venezuela	522800	36.0	5709.0		515960.0	21.0	1131.0	230.0	18482.0	202.0	3359014.0	118749.0	28286566.0	South America	2022-05-10
Moldova	516986		11489.0		504142.0		1355.0	49.0	128713.0	2860.0	3216305.0	800757.0	4016581.0	Europe	2022-05-10
Egypt	515645		24613.0		442182.0		48850.0	122.0	4869.0	232.0	3693367.0	34872.0	105912541.0	Africa	2022-05-10
Libya	501904		6430.0		490973.0		4501.0	101.0	71247.0	913.0	2477219.0	351651.0	7044535.0	Africa	2022-05-10
Cyprus	477711		1032.0		124370.0		352309.0	60.0	390396.0	843.0	9477138.0	7744936.0	1223656.0	Asia	2022-05-10
Ethiopia	470798	38.0	7510.0		455743.0	6.0	7545.0	3.0	3915.0	62.0	4820100.0	40087.0	120241699.0	Africa	2022-05-10
Mongolia	469885		2179.0		313256.0		154450.0	192.0	139177.0	645.0	4030048.0	1193675.0	3376168.0	Asia	2022-05-10
Taiwan	448239	50744.0	943.0	12.0	39254.0	2468.0	408042.0		18757.0	39.0	15584088.0	652144.0	23896703.0	Asia	2022-05-10
Honduras	424376	11.0	10896.0	1.0	132358.0		281122.0	105.0	41619.0	1069.0	1364273.0	133796.0	10196667.0	North America	2022-05-10
Armenia	422896		8623.0		412048.0		2225.0		142221.0	2900.0	3068217.0	1031850.0	2973512.0	Asia	2022-05-10
RÃÂÃÂ©union	405980	7865.0	762.0	6.0	395430.0	12006.0	9788.0	10.0	447529.0	840.0	1603660.0	1767781.0	907160.0	Africa	2022-05-10
Oman	389325	19.0	4259.0		384516.0	7.0	550.0	3.0	72807.0	796.0	25000000.0	4675220.0	5347342.0	Asia	2022-05-10
Bosnia and Herzegovina	377385	30.0	15773.0	2.0					116369.0	4864.0	1764397.0	544065.0	3242989.0	Europe	2022-05-10
Qatar	365495	161.0	677.0		363974.0	45.0	844.0	2.0	130171.0	241.0	3471534.0	1236387.0	2807805.0	Asia	2022-05-10
Kenya	323921	21.0	5649.0		318097.0	13.0	175.0		5788.0	101.0	3620567.0	64691.0	55966822.0	Africa	2022-05-10
Zambia	320226	69.0	3983.0	1.0	315769.0	36.0	474.0	1.0	16559.0	206.0	3443019.0	178043.0	19338144.0	Africa	2022-05-10
North Macedonia	310413	115.0	9287.0		300532.0	99.0	594.0		149007.0	4458.0	2027591.0	973299.0	2083215.0	Europe	2022-05-10
Botswana	306324	465.0	2690.0	2.0	303026.0		608.0	1.0	125561.0	1103.0	2026898.0	830816.0	2439647.0	Africa	2022-05-10
Albania	275416	44.0	3497.0	1.0	271710.0	93.0	209.0	2.0	95898.0	1218.0	1814203.0	631693.0	2871971.0	Europe	2022-05-10
Algeria	265804	4.0	6875.0		178366.0	1.0	80563.0	6.0	5865.0	152.0	230861.0	5094.0	45319019.0	Africa	2022-05-10
Nigeria	255802	36.0	3143.0		249936.0	22.0	2723.0	11.0	1186.0	15.0	5114703.0	23722.0	215609418.0	Africa	2022-05-10
Zimbabwe	248642	106.0	5481.0	2.0	242198.0	80.0	963.0	12.0	16289.0	359.0	2278641.0	149281.0	15264075.0	Africa	2022-05-10
Luxembourg	242194	1034.0	1071.0	3.0	231818.0		9305.0	2.0	375577.0	1661.0	4242123.0	6578373.0	644859.0	Europe	2022-05-10
Uzbekistan	238743	7.0	1637.0		236857.0	4.0	249.0	23.0	6947.0	48.0	1377915.0	40092.0	34368538.0	Asia	2022-05-10
