Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	85570755	87420.0	1030775.0	217.0	81938642.0	65021.0	2601338.0	2446.0	255678.0	3080.0	1024850819.0	3062171.0	334681143.0	North America	2022-05-26
India	43146033	1213.0	524525.0		42604881.0		16627.0	698.0	30693.0	373.0	847958776.0	603221.0	1405717517.0	Asia	2022-05-26
Brazil	30880512	33910.0	666248.0	136.0	29917271.0	21802.0	296993.0	8318.0	143348.0	3093.0	63776166.0	296051.0	215422967.0	South America	2022-05-26
France	29434605	21234.0	148084.0	28.0	28742083.0	40173.0	544438.0	1173.0	449060.0	2259.0	271490188.0	4141902.0	65547224.0	Europe	2022-05-26
Germany	26239641	34639.0	139115.0	89.0	25016800.0	84700.0	1083726.0	741.0	311296.0	1650.0	122332384.0	1451299.0	84291641.0	Europe	2022-05-26
UK	22276975		178313.0		21885147.0	9899.0	213515.0	188.0	324918.0	2601.0	522526476.0	7621244.0	68561834.0	Europe	2022-05-26
Russia	18310673	4700.0	378700.0	91.0	17713532.0	6455.0	218441.0	2300.0	125370.0	2593.0	273400000.0	1871923.0	146053041.0	Europe	2022-05-26
S. Korea	18036720	18797.0	24063.0	34.0	17520369.0	40041.0	492288.0	243.0	351232.0	469.0	15804065.0	307755.0	51352797.0	Asia	2022-05-26
Italy	17333299	20322.0	166358.0	94.0	16411953.0	58368.0	754988.0	262.0	287483.0	2759.0	220238476.0	3652781.0	60293362.0	Europe	2022-05-26
Turkey	15067077	1310.0	98944.0	5.0	14964709.0	1289.0	3424.0	975.0	175078.0	1150.0	162078198.0	1883338.0	86058989.0	Asia	2022-05-26
Spain	12280345		106105.0		11679931.0		494309.0	339.0	262462.0	2268.0	471036328.0	10067225.0	46789095.0	Europe	2022-05-26
Vietnam	10714008	1275.0	43078.0		9422085.0	7223.0	1248845.0	169.0	108224.0	435.0	85814917.0	866831.0	98998407.0	Asia	2022-05-26
Argentina	9178795		128825.0		8895999.0		153971.0	300.0	199618.0	2802.0	35716069.0	776744.0	45981758.0	South America	2022-05-26
Japan	8705990	34869.0	30418.0	49.0	8353952.0	40493.0	321620.0	95.0	69236.0	242.0	51929742.0	412984.0	125742849.0	Asia	2022-05-26
Netherlands	8080032		22314.0		8018259.0		39459.0	38.0	469586.0	1297.0	21107399.0	1226695.0	17206720.0	Europe	2022-05-26
Iran	7231099	217.0	141296.0	3.0	7041125.0	1783.0	48678.0	609.0	84053.0	1642.0	52090424.0	605489.0	86030342.0	Asia	2022-05-26
Australia	7117601	46021.0	8336.0	72.0	6722309.0		386956.0	101.0	273117.0	320.0	71559933.0	2745905.0	26060597.0	Australia/Oceania	2022-05-26
Colombia	6099111		139833.0		5930545.0		28733.0	342.0	117492.0	2694.0	34792844.0	670244.0	51910721.0	South America	2022-05-26
Indonesia	6053670	246.0	156556.0	3.0	5894103.0	243.0	3011.0	2771.0	21697.0	561.0	98415619.0	352738.0	279005090.0	Asia	2022-05-26
Poland	6006547	249.0	116299.0	9.0	5335354.0	34.0	554894.0	981.0	159038.0	3079.0	36313054.0	961475.0	37768066.0	Europe	2022-05-26
Mexico	5759773		324768.0		5054809.0		380196.0	4798.0	43801.0	2470.0	15950212.0	121294.0	131499993.0	North America	2022-05-26
Ukraine	5011433		108538.0					177.0	115909.0	2510.0	19521252.0	451505.0	43235984.0	Europe	2022-05-26
Malaysia	4499057	1845.0	35656.0	3.0	4438212.0	1825.0	25189.0	27.0	135710.0	1076.0	59748814.0	1802275.0	33151880.0	Asia	2022-05-26
Thailand	4429674	4924.0	29884.0	37.0	4353198.0	5560.0	46592.0	1496.0	63162.0	426.0	17270775.0	246261.0	70131893.0	Asia	2022-05-26
Austria	4243293	2998.0	18632.0	13.0	4184997.0	3560.0	39664.0	43.0	466102.0	2047.0	187227485.0	20565890.0	9103787.0	Europe	2022-05-26
Belgium	4143408		31710.0		4004403.0	2645.0	107295.0	92.0	354586.0	2714.0	34011375.0	2910634.0	11685211.0	Europe	2022-05-26
Israel	4130879	2878.0	10839.0	6.0	4103149.0		16891.0	150.0	442942.0	1162.0	41373364.0	4436346.0	9326000.0	Asia	2022-05-26
Portugal	4066674		22583.0					61.0	401038.0	2227.0	42483884.0	4189577.0	10140375.0	Europe	2022-05-26
South Africa	3944845	3800.0	101092.0	49.0	3793500.0	8575.0	50253.0	192.0	64962.0	1665.0	25164138.0	414390.0	60725807.0	Africa	2022-05-26
Czechia	3919098	359.0	40280.0	1.0	3876918.0	117.0	1900.0	9.0	364682.0	3748.0	55384908.0	5153700.0	10746630.0	Europe	2022-05-26
Canada	3860681	5400.0	40925.0	131.0	3525256.0	1748.0	294500.0	354.0	100619.0	1067.0	61834912.0	1611573.0	38369302.0	North America	2022-05-26
Philippines	3689656	199.0	60455.0		3626878.0	133.0	2323.0	480.0	32842.0	538.0	30098345.0	267910.0	112345093.0	Asia	2022-05-26
Chile	3665862	8674.0	57851.0	16.0	3491492.0	1328.0	116519.0	129.0	188698.0	2978.0	38283970.0	1970639.0	19427186.0	South America	2022-05-26
Switzerland	3650661		13948.0		3586374.0	1617.0	50339.0	45.0	416050.0	1590.0	21054092.0	2399444.0	8774572.0	Europe	2022-05-26
Peru	3577907	666.0	213145.0	11.0				184.0	105723.0	6298.0	30546879.0	902625.0	33842273.0	South America	2022-05-26
Greece	3436046	4048.0	29756.0	13.0	3359563.0	4306.0	46727.0	141.0	332738.0	2881.0	82238808.0	7963788.0	10326594.0	Europe	2022-05-26
DPRK	3170380	105500.0	68.0		2898500.0	157030.0	271812.0		121971.0	3.0			25992917.0	Asia	2022-05-26
Denmark	2982572	483.0	6343.0	4.0	2968769.0	687.0	7460.0	11.0	511515.0	1088.0	127426765.0	21853866.0	5830857.0	Europe	2022-05-26
Romania	2907591	381.0	65669.0	6.0				101.0	153075.0	3457.0	23065296.0	1214310.0	18994567.0	Europe	2022-05-26
