Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	82789716		1019008.0		80547402.0		1223306.0	1457.0	247486.0	3046.0	1002304891.0	2996227.0	334522343.0	North America	2022-04-27
India	43065666		522374.0		42525563.0		17729.0	698.0	30660.0	372.0	835469014.0	594807.0	1404606308.0	Asia	2022-04-27
Brazil	30378061		662941.0		29411813.0		303307.0	8318.0	141097.0	3079.0	63776166.0	296221.0	215299307.0	South America	2022-04-27
France	28415413		145427.0		26245044.0		2024942.0	1677.0	433589.0	2219.0	266484045.0	4066260.0	65535419.0	Europe	2022-04-27
Germany	24363379		135124.0		21665200.0		2563055.0	1980.0	289112.0	1603.0	122332384.0	1451676.0	84269739.0	Europe	2022-04-27
UK	21994809		174144.0		21027885.0		792780.0	321.0	320939.0	2541.0	516236032.0	7532700.0	68532664.0	Europe	2022-04-27
Russia	18159600	7705.0	375400.0	163.0	17506859.0	11477.0	277341.0	2300.0	124340.0	2570.0	273400000.0	1871988.0	146047929.0	Europe	2022-04-27
S. Korea	17086626	76761.0	22466.0	141.0				546.0	332754.0	438.0	15804065.0	307776.0	51349193.0	Asia	2022-04-27
Italy	16191323		162927.0		14793420.0		1234976.0	409.0	268510.0	2702.0	212013319.0	3515939.0	60300620.0	Europe	2022-04-27
Turkey	15023662		98720.0		14903420.0		21522.0	975.0	174725.0	1148.0	158505155.0	1843412.0	85984643.0	Asia	2022-04-27
Spain	11833457		104227.0		11347449.0		381781.0	339.0	252919.0	2228.0	471036328.0	10067543.0	46787616.0	Europe	2022-04-27
Vietnam	10620203		43029.0		9116225.0		1460949.0	620.0	107354.0	435.0	85792898.0	867237.0	98926693.0	Asia	2022-04-27
Argentina	9072230		128542.0		8895999.0		47689.0	372.0	197446.0	2798.0	35716069.0	777318.0	45947798.0	South America	2022-04-27
Netherlands	8042469		22234.0		7731651.0		288584.0	77.0	467487.0	1292.0	21107399.0	1226916.0	17203621.0	Europe	2022-04-27
Japan	7725765	37258.0	29402.0	58.0	7263359.0	40195.0	433004.0	183.0	61426.0	234.0	46888808.0	372801.0	125774445.0	Asia	2022-04-27
Iran	7218424		141024.0		6972286.0		105114.0	997.0	83992.0	1641.0	50914586.0	592428.0	85942224.0	Asia	2022-04-27
Colombia	6091753		139783.0		5925390.0		26580.0	342.0	117451.0	2695.0	34407374.0	663386.0	51866293.0	South America	2022-04-27
Indonesia	6045660	617.0	156199.0	36.0	5880319.0	1178.0	9142.0	2771.0	21687.0	560.0	95279624.0	341788.0	278768157.0	Asia	2022-04-27
Poland	5993861	1041.0	115998.0	21.0	5334513.0	74.0	543350.0	1588.0	158688.0	3071.0	36064312.0	954803.0	37771451.0	Europe	2022-04-27
Australia	5796177	39700.0	7112.0	43.0	5402976.0		386089.0	144.0	222619.0	273.0	69056844.0	2652324.0	26036353.0	Australia/Oceania	2022-04-27
Mexico	5735115	1190.0	324173.0	39.0	5035685.0	776.0	375257.0	4798.0	43650.0	2467.0	15777764.0	120084.0	131389028.0	North America	2022-04-27
Ukraine	4999172		108343.0					177.0	115568.0	2505.0	19521252.0	451281.0	43257407.0	Europe	2022-04-27
Malaysia	4436912		35520.0		4339521.0		61871.0	101.0	133973.0	1073.0	58469707.0	1765502.0	33117890.0	Asia	2022-04-27
Thailand	4209571	14887.0	28147.0	125.0	4018460.0	18919.0	162964.0	1496.0	60036.0	401.0	17270775.0	246312.0	70117577.0	Asia	2022-04-27
Austria	4122797	8239.0	18100.0	24.0	4018417.0	10412.0	86280.0	111.0	453075.0	1989.0	182416398.0	20046677.0	9099583.0	Europe	2022-04-27
Israel	4066021		10694.0		4026872.0		28455.0	220.0	435988.0	1147.0	41373364.0	4436346.0	9326000.0	Asia	2022-04-27
Belgium	4036113		31382.0		3759867.0		244864.0	156.0	345525.0	2687.0	33531891.0	2870614.0	11681086.0	Europe	2022-04-27
Czechia	3900444	2035.0	40114.0	4.0	3842986.0	1117.0	17344.0	42.0	363001.0	3733.0	55157290.0	5133295.0	10745007.0	Europe	2022-04-27
Portugal	3791744		22162.0					61.0	373836.0	2185.0	41060137.0	4048205.0	10142802.0	Europe	2022-04-27
South Africa	3769927		100348.0		3635429.0		34150.0	175.0	62144.0	1654.0	24370285.0	401722.0	60664519.0	Africa	2022-04-27
Canada	3714127		38901.0		3440493.0		234733.0	471.0	96868.0	1015.0	60712755.0	1583444.0	38342208.0	North America	2022-04-27
Philippines	3684835		60195.0		3613060.0		11580.0	289.0	32834.0	536.0	29468174.0	262580.0	112225532.0	Asia	2022-04-27
Switzerland	3602489		13836.0		3419641.0		169012.0	87.0	410803.0	1578.0	20767523.0	2368183.0	8769392.0	Europe	2022-04-27
Peru	3562300		212769.0					350.0	105379.0	6294.0	29702409.0	878650.0	33804616.0	South America	2022-04-27
Chile	3549327		57387.0		3393210.0		98730.0	266.0	182825.0	2956.0	36810584.0	1896109.0	19413751.0	South America	2022-04-27
Greece	3290895		28976.0		3187323.0		74596.0	267.0	318553.0	2805.0	79073823.0	7654221.0	10330747.0	Europe	2022-04-27
Denmark	2962238		6116.0		2934882.0		21240.0	13.0	508173.0	1049.0	127172757.0	21816544.0	5829189.0	Europe	2022-04-27
Romania	2889363		65430.0		2606660.0		217273.0	224.0	152032.0	3443.0	22615426.0	1189971.0	19005028.0	Europe	2022-04-27
Sweden	2498388		18656.0		2466329.0	757.0	13403.0	19.0	244617.0	1827.0	18493218.0	1810672.0	10213458.0	Europe	2022-04-27
Iraq	2324531		25208.0		2296824.0		2499.0	20.0	55533.0	602.0	18462168.0	441062.0	41858482.0	Asia	2022-04-27
Serbia	2003334		15969.0		1971796.0		15569.0	27.0	230970.0	1841.0	9450942.0	1089627.0	8673560.0	Europe	2022-04-27
Bangladesh	1952602		29127.0		1894123.0		29352.0	1297.0	11646.0	174.0	13973221.0	83340.0	167664530.0	Asia	2022-04-27
Hungary	1897897	2220.0	46162.0	29.0	1797144.0	4528.0	54591.0	38.0	197371.0	4801.0	11324260.0	1177663.0	9615875.0	Europe	2022-04-27
Slovakia	1777971	1395.0	19873.0	11.0	1737255.0	2528.0	20843.0	70.0	325371.0	3637.0	7074245.0	1294597.0	5464437.0	Europe	2022-04-27
Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163112.0	1352.0	16670254.0	1604946.0	10386802.0	Asia	2022-04-27
Georgia	1654665	290.0	16802.0	2.0	1636188.0	80.0	1675.0		416238.0	4227.0	16840700.0	4236352.0	3975283.0	Asia	2022-04-27
Pakistan	1528178	117.0	30371.0	2.0	1494141.0		3666.0	145.0	6683.0	133.0	28102380.0	122896.0	228667501.0	Asia	2022-04-27
Ireland	1514035		7028.0		1430586.0		76421.0	33.0	300535.0	1395.0	12041339.0	2390199.0	5037798.0	Europe	2022-04-27
Norway	1424672		2871.0					20.0	259120.0	522.0	11002430.0	2001130.0	5498109.0	Europe	2022-04-27
Kazakhstan	1305489	16.0	13660.0		1291030.0	21.0	799.0	24.0	68051.0	712.0	11575012.0	603370.0	19183944.0	Asia	2022-04-27
Hong Kong	1202638		9274.0					115.0	158091.0	1219.0	44972952.0	5911837.0	7607272.0	Asia	2022-04-27
Singapore	1187914		1333.0		1115829.0		70752.0	7.0	200195.0	225.0	23712995.0	3996275.0	5933774.0	Asia	2022-04-27
Morocco	1164774		16066.0		1148310.0		398.0	293.0	30893.0	426.0	11237010.0	298034.0	37703827.0	Africa	2022-04-27
Bulgaria	1154646		36879.0		965243.0		152524.0	102.0	168472.0	5381.0	9815490.0	1432162.0	6853618.0	Europe	2022-04-27
Croatia	1118526		15801.0		1098596.0		4129.0	24.0	275542.0	3892.0	4770929.0	1175289.0	4059368.0	Europe	2022-04-27
Cuba	1102164		8525.0		1092521.0		1118.0	23.0	97415.0	753.0	12920253.0	1141962.0	11314080.0	North America	2022-04-27
Lebanon	1096530		10380.0		1080401.0		5749.0	186.0	161968.0	1533.0	4795578.0	708354.0	6770027.0	Asia	2022-04-27
Lithuania	1056495	838.0	9080.0	2.0	1020450.0	1274.0	26965.0	25.0	398160.0	3422.0	8232789.0	3102683.0	2653442.0	Europe	2022-04-27
Tunisia	1040193		28550.0					29.0	86374.0	2371.0	4572976.0	379725.0	12042858.0	Africa	2022-04-27
Slovenia	1006377		6585.0		984503.0		15289.0	29.0	483962.0	3167.0	2642603.0	1270815.0	2079456.0	Europe	2022-04-27
