Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	84230829	21356.0	1026670.0	24.0	81282964.0	38704.0	1921195.0	1953.0	251719.0	3068.0	1017024894.0	3039316.0	334622917.0	North America	2022-05-15
India	43123801	2202.0	524241.0	27.0	42582243.0	2550.0	17317.0	698.0	30686.0	373.0	844134156.0	600675.0	1405310074.0	Asia	2022-05-15
Brazil	30688390	6296.0	664967.0	47.0	29724682.0	6280.0	298741.0	8318.0	142486.0	3087.0	63776166.0	296113.0	215377625.0	South America	2022-05-15
France	29183646	22844.0	147257.0		28170658.0	13984.0	865731.0	1329.0	445260.0	2247.0	271490188.0	4142176.0	65542896.0	Europe	2022-05-15
Germany	25780270	5761.0	137921.0	14.0	23956700.0	31300.0	1685649.0	1279.0	305875.0	1636.0	122332384.0	1451437.0	84283610.0	Europe	2022-05-15
UK	22159805		176708.0		21703057.0	45287.0	280040.0	253.0	323259.0	2578.0	519264096.0	7574843.0	68551138.0	Europe	2022-05-15
Russia	18260293	4956.0	377670.0	99.0	17647179.0	6200.0	235444.0	2300.0	125027.0	2586.0	273400000.0	1871947.0	146051167.0	Europe	2022-05-15
S. Korea	17782061	25434.0	23709.0	48.0	17062917.0	76713.0	695435.0	338.0	346281.0	462.0	15804065.0	307763.0	51351476.0	Asia	2022-05-15
Italy	17057873	27162.0	165244.0	62.0	15894511.0	30334.0	998118.0	347.0	282902.0	2741.0	217853667.0	3613069.0	60296023.0	Europe	2022-05-15
Turkey	15054322	1154.0	98900.0	10.0	14952428.0	1190.0	2994.0	975.0	174986.0	1150.0	160742893.0	1868414.0	86031729.0	Asia	2022-05-15
Spain	12127122		105444.0		11548089.0		473589.0	339.0	259190.0	2254.0	471036328.0	10067341.0	46788553.0	Europe	2022-05-15
Vietnam	10696630	1594.0	43065.0		9355040.0	5448.0	1298525.0	340.0	108077.0	435.0	85811485.0	867027.0	98972112.0	Asia	2022-05-15
Argentina	9135308	3615.0	128776.0	6.0	8895999.0		110533.0	300.0	198726.0	2801.0	35716069.0	776955.0	45969306.0	South America	2022-05-15
Japan	8338211	38627.0	30039.0	34.0	7951587.0	26801.0	356585.0	139.0	66306.0	239.0	50444181.0	401132.0	125754434.0	Asia	2022-05-15
Netherlands	8067116		22292.0		7989151.0	4694.0	55673.0	55.0	468866.0	1296.0	21107399.0	1226776.0	17205584.0	Europe	2022-05-15
