Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	82662748	12969.0	1018335.0	19.0	80465351.0	30438.0	1179062.0	1426.0	247115.0	3044.0	1000463737.0	2990818.0	334511757.0	North America	2022-04-24
India	43059821	2276.0	522193.0		42519479.0		18149.0	698.0	30658.0	372.0	834717702.0	594303.0	1404532227.0	Asia	2022-04-24
Brazil	30349463	3809.0	662701.0	38.0	29384354.0	19954.0	302408.0	8318.0	140969.0	3078.0	63776166.0	296232.0	215291063.0	South America	2022-04-24
France	28303931	58954.0	145060.0	40.0	25880480.0	27573.0	2278391.0	1677.0	431893.0	2213.0	266484045.0	4066309.0	65534632.0	Europe	2022-04-24
Germany	24140700	31267.0	134646.0	22.0	21243000.0	63600.0	2763054.0	1980.0	286474.0	1598.0	122332384.0	1451701.0	84268279.0	Europe	2022-04-24
UK	21933206		173352.0		20782350.0	68278.0	977504.0	339.0	320049.0	2530.0	514985782.0	7514671.0	68530719.0	Europe	2022-04-24
Russia	18137137	8446.0	374902.0	168.0	17474628.0	10508.0	287607.0	2300.0	124186.0	2567.0	273400000.0	1871993.0	146047589.0	Europe	2022-04-24
S. Korea	16895194	64725.0	22133.0	109.0				726.0	329027.0	431.0	15804065.0	307778.0	51348952.0	Asia	2022-04-24
Italy	16136057	56263.0	162688.0	79.0	14729220.0	44849.0	1244149.0	416.0	267591.0	2698.0	211691841.0	3510580.0	60301104.0	Europe	2022-04-24
Turkey	15018547	2277.0	98691.0	15.0	14870422.0	15947.0	49434.0	975.0	174676.0	1148.0	158238176.0	1840414.0	85979686.0	Asia	2022-04-24
Spain	11786036		103908.0		11261340.0		420788.0	339.0	251906.0	2221.0	471036328.0	10067564.0	46787517.0	Europe	2022-04-24
Vietnam	10563502	8813.0	43013.0	9.0	9086075.0	4581.0	1434414.0	612.0	106786.0	435.0	85789114.0	867241.0	98921912.0	Asia	2022-04-24
Argentina	9060923		128344.0		8895999.0		36580.0	412.0	197210.0	2793.0	35716069.0	777357.0	45945534.0	South America	2022-04-24
Netherlands	8035603		22206.0		7643520.0	39086.0	369877.0	94.0	467094.0	1291.0	21107399.0	1226931.0	17203414.0	Europe	2022-04-24
Japan	7621562	43721.0	29284.0	27.0	7135403.0	57313.0	456875.0	195.0	60596.0	233.0	46690473.0	371218.0	125776552.0	Asia	2022-04-24
Iran	7216040	528.0	140975.0	13.0	6966954.0	2963.0	108111.0	1046.0	83970.0	1640.0	50811054.0	591264.0	85936350.0	Asia	2022-04-24
Colombia	6091343	249.0	139778.0	7.0	5924745.0	312.0	26820.0	342.0	117450.0	2695.0	34371690.0	662736.0	51863331.0	South America	2022-04-24
Indonesia	6044150	382.0	156100.0	33.0	5870419.0	2168.0	17631.0	2771.0	21683.0	560.0	94904806.0	340463.0	278752361.0	Asia	2022-04-24
Poland	5991197	344.0	115948.0		5334375.0	35.0	540874.0	1588.0	158616.0	3070.0	36027053.0	953811.0	37771676.0	Europe	2022-04-24
Mexico	5733514	802.0	324117.0	57.0	5033892.0	654.0	375505.0	4798.0	43640.0	2467.0	15762889.0	119978.0	131381631.0	North America	2022-04-24
Australia	5689377	34769.0	6991.0	21.0	5274197.0		408189.0	135.0	218530.0	269.0	68845476.0	2644370.0	26034737.0	Australia/Oceania	2022-04-24
Ukraine	4997224		108306.0					177.0	115519.0	2504.0	19521252.0	451266.0	43258835.0	Europe	2022-04-24
Malaysia	4431073	4006.0	35499.0	8.0	4320822.0	10223.0	74752.0	98.0	133806.0	1072.0	58381292.0	1762953.0	33115624.0	Asia	2022-04-24
Thailand	4165874	17784.0	27778.0	126.0	3954945.0	22846.0	183151.0	1496.0	59414.0	396.0	17270775.0	246315.0	70116622.0	Asia	2022-04-24
Austria	4104859	5810.0	18047.0	12.0	3989860.0	10297.0	96952.0	121.0	451118.0	1983.0	181825734.0	19982380.0	9099303.0	Europe	2022-04-24
Israel	4057772	3430.0	10670.0	12.0	4009152.0		37950.0	220.0	435103.0	1144.0	41373364.0	4436346.0	9326000.0	Asia	2022-04-24
Belgium	4015791		31319.0		3726457.0	16162.0	258015.0	169.0	343794.0	2681.0	33456470.0	2864225.0	11680811.0	Europe	2022-04-24
Czechia	3895544	911.0	40081.0	5.0	3838099.0	3401.0	17364.0	43.0	362548.0	3730.0	55117064.0	5129603.0	10744898.0	Europe	2022-04-24
Portugal	3791744		22162.0					61.0	373830.0	2185.0	41021678.0	4044348.0	10142964.0	Europe	2022-04-24
