Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
USA	83240101		1021581.0		80795416.0		1423104.0	1591.0	248805.0	3054.0	1007292521.0	3010803.0	334559397.0	North America	2022-05-04
India	43088401		523920.0		42544689.0		19792.0	698.0	30671.0	373.0	838628250.0	596946.0	1404865590.0	Asia	2022-05-04
Brazil	30482429		663765.0		29585304.0		233360.0	8318.0	141563.0	3083.0	63776166.0	296181.0	215328161.0	South America	2022-05-04
France	28757765		146262.0		27163793.0		1447710.0	1511.0	438794.0	2232.0	269816888.0	4116942.0	65538174.0	Europe	2022-05-04
Germany	24949403		136183.0		22841300.0	182700.0	1971920.0	1446.0	296048.0	1616.0	122332384.0	1451588.0	84274849.0	Europe	2022-05-04
UK	22073858		175319.0		21357447.0		541092.0	302.0	322061.0	2558.0	517337635.0	7548025.0	68539470.0	Europe	2022-05-04
Russia	18201074		376292.0		17563272.0		261510.0	2300.0	124623.0	2576.0	273400000.0	1871973.0	146049122.0	Europe	2022-05-04
S. Korea	17395791	49038.0	23079.0	72.0				432.0	338769.0	449.0	15804065.0	307771.0	51350034.0	Asia	2022-05-04
Italy	16586268		163889.0		15222419.0		1199960.0	366.0	275067.0	2718.0	214594775.0	3558849.0	60298927.0	Europe	2022-05-04
Turkey	15036110		98801.0		14932844.0		4465.0	975.0	174834.0	1149.0	159323561.0	1852557.0	86001990.0	Asia	2022-05-04
Spain	11953481		104668.0		11446906.0		401907.0	339.0	255482.0	2237.0	471036328.0	10067469.0	46787961.0	Europe	2022-05-04
Vietnam	10659358		43044.0		9267281.0		1349033.0	475.0	107732.0	435.0	85801758.0	867180.0	98943426.0	Asia	2022-05-04
Argentina	9083673		128653.0		8895999.0		59021.0	372.0	197661.0	2799.0	35716069.0	777184.0	45955722.0	South America	2022-05-04
Netherlands	8053048		22262.0		7886439.0		144347.0	71.0	468082.0	1294.0	21107399.0	1226865.0	17204344.0	Europe	2022-05-04
Japan	7952192	27062.0	29683.0	52.0	7551278.0	33437.0	371231.0	174.0	63230.0	236.0	49009025.0	389681.0	125767073.0	Asia	2022-05-04
Iran	7223576		141131.0		6992001.0		90444.0	1062.0	84031.0	1642.0	50914586.0	592286.0	85962785.0	Asia	2022-05-04
Colombia	6092667		139797.0		5926476.0		26394.0	342.0	117445.0	2695.0	34465052.0	664365.0	51876660.0	South America	2022-05-04
Australia	6076457	46578.0	7367.0	56.0	5699816.0		369274.0	142.0	233333.0	283.0	69630203.0	2673765.0	26042010.0	Australia/Oceania	2022-05-04
Indonesia	6047315		156305.0		5884059.0		6951.0	2771.0	21689.0	561.0	95739932.0	343371.0	278823441.0	Asia	2022-05-04
Poland	5997825		116069.0		5334769.0		546987.0	1321.0	158796.0	3073.0	36116043.0	956193.0	37770661.0	Europe	2022-05-04
Mexico	5740080		324350.0		5039624.0		376106.0	4798.0	43679.0	2468.0	15801675.0	120243.0	131414920.0	North America	2022-05-04
Ukraine	5002870		108411.0					177.0	115667.0	2506.0	19521252.0	451333.0	43252408.0	Europe	2022-05-04
Malaysia	4451781		35564.0		4384384.0		31833.0	69.0	134390.0	1074.0	58847274.0	1776477.0	33125821.0	Asia	2022-05-04
Thailand	4290824	9288.0	28863.0	82.0	4153310.0	19119.0	108651.0	1496.0	61192.0	412.0	17270775.0	246300.0	70120917.0	Asia	2022-05-04
Austria	4154244		18183.0		4063754.0		72307.0	80.0	456482.0	1998.0	183321889.0	20144014.0	9100564.0	Europe	2022-05-04
Israel	4082961		10699.0		4048807.0		23455.0	220.0	437804.0	1147.0	41373364.0	4436346.0	9326000.0	Asia	2022-05-04
Belgium	4071279		31494.0		3839678.0		200107.0	131.0	348507.0	2696.0	33643042.0	2879892.0	11682049.0	Europe	2022-05-04
Czechia	3907793		40175.0		3855944.0		11674.0	30.0	363672.0	3739.0	55226142.0	5139521.0	10745386.0	Europe	2022-05-04
Portugal	3853800		22280.0					61.0	379975.0	2197.0	41376874.0	4079660.0	10142236.0	Europe	2022-05-04
South Africa	3802198		100377.0		3661635.0		40186.0	192.0	62661.0	1654.0	24527102.0	404212.0	60678820.0	Africa	2022-05-04
Canada	3760414		39350.0		3464666.0		256398.0	468.0	98059.0	1026.0	61020893.0	1591219.0	38348530.0	North America	2022-05-04
Philippines	3686216		60412.0		3620659.0		5145.0	289.0	32838.0	538.0	29618635.0	263855.0	112253430.0	Asia	2022-05-04
Switzerland	3619035		13865.0		3489351.0		115819.0	69.0	412633.0	1581.0	20851897.0	2377477.0	8770600.0	Europe	2022-05-04
Peru	3567171		212877.0					295.0	105496.0	6296.0	29912021.0	884620.0	33813403.0	South America	2022-05-04
Chile	3563650		57544.0		3429109.0		76997.0	206.0	183534.0	2964.0	37105587.0	1910996.0	19416886.0	South America	2022-05-04
Greece	3335550		29249.0		3237163.0		69138.0	240.0	322906.0	2832.0	79994784.0	7744095.0	10329778.0	Europe	2022-05-04
Denmark	2968301		6191.0		2946060.0		16050.0	8.0	509179.0	1062.0	127244848.0	21827451.0	5829579.0	Europe	2022-05-04
Romania	2896012		65510.0		2606660.0		223842.0	193.0	152401.0	3447.0	22750156.0	1197214.0	19002587.0	Europe	2022-05-04
Sweden	2500917		18739.0		2471212.0	511.0	10966.0	21.0	244836.0	1835.0	18513445.0	1812439.0	10214660.0	Europe	2022-05-04
Iraq	2325287		25212.0		2298392.0		1683.0	12.0	55528.0	602.0	18485010.0	441425.0	41875787.0	Asia	2022-05-04
Serbia	2007554		16007.0		1978619.0		12928.0	23.0	231475.0	1846.0	9504063.0	1095836.0	8672891.0	Europe	2022-05-04
Bangladesh	1952733		29127.0		1896279.0		27327.0	1297.0	11644.0	174.0	13997272.0	83468.0	167695887.0	Asia	2022-05-04
Hungary	1903200		46266.0		1808061.0		48873.0	40.0	197932.0	4812.0	11355462.0	1180965.0	9615407.0	Europe	2022-05-04
Slovakia	1782607		19938.0		1746024.0		16645.0	70.0	326217.0	3649.0	7099765.0	1299255.0	5464488.0	Europe	2022-05-04
Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163082.0	1352.0	16670254.0	1604647.0	10388738.0	Asia	2022-05-04
Georgia	1655221		16811.0		1637293.0		1117.0		416393.0	4229.0	16920079.0	4256477.0	3975137.0	Asia	2022-05-04
Pakistan	1528603	39.0	30372.0		1494141.0		4090.0	108.0	6682.0	133.0	28212367.0	123333.0	228749669.0	Asia	2022-05-04
Ireland	1519296		7092.0		1464118.0		48086.0	39.0	301516.0	1407.0	12081430.0	2397655.0	5038852.0	Europe	2022-05-04
Norway	1426798		2932.0					20.0	259469.0	533.0	11002430.0	2000835.0	5498919.0	Europe	2022-05-04
Kazakhstan	1305551		13660.0		1291101.0		790.0	24.0	68039.0	712.0	11575012.0	603235.0	19188238.0	Asia	2022-05-04
Hong Kong	1205083		9325.0					5.0	158388.0	1226.0	44972952.0	5910934.0	7608434.0	Asia	2022-05-04
Singapore	1202546		1338.0		1140531.0		60677.0	5.0	202631.0	225.0	23767171.0	4004812.0	5934653.0	Asia	2022-05-04
Morocco	1165004		16069.0		1148595.0		340.0	293.0	30892.0	426.0	11237010.0	297968.0	37712192.0	Africa	2022-05-04
Bulgaria	1157919		36947.0		983414.0		137558.0	75.0	168975.0	5392.0	9864292.0	1439491.0	6852623.0	Europe	2022-05-04
Croatia	1123578		15848.0		1103204.0		4526.0	21.0	276819.0	3905.0	4794945.0	1181345.0	4058887.0	Europe	2022-05-04
Cuba	1103395		8527.0		1094057.0		811.0	23.0	97525.0	754.0	12920253.0	1141976.0	11313948.0	North America	2022-05-04
Lebanon	1097118		10392.0		1081770.0		4956.0	186.0	162069.0	1535.0	4795578.0	708415.0	6769446.0	Asia	2022-05-04
Lithuania	1058779		9108.0		1026020.0		23651.0	30.0	399129.0	3433.0	8255055.0	3111920.0	2652721.0	Europe	2022-05-04
Tunisia	1040193		28550.0					29.0	86357.0	2370.0	4572976.0	379651.0	12045222.0	Africa	2022-05-04
Finland	1023013		3939.0		46000.0		973074.0	24.0	184111.0	709.0	10720282.0	1929326.0	5556492.0	Europe	2022-05-04
Slovenia	1011253		6598.0		991777.0		12878.0	22.0	486305.0	3173.0	2647758.0	1273290.0	2079462.0	Europe	2022-05-04
Belarus	980868		6954.0		928536.0		45378.0		103866.0	736.0	13172291.0	1394834.0	9443628.0	Europe	2022-05-04
Nepal	978865		11951.0		966697.0		217.0		32524.0	397.0	5643648.0	187516.0	30096878.0	Asia	2022-05-04
New Zealand	961262	8565.0	753.0	22.0	905645.0	9873.0	54864.0		192172.0	151.0	7091138.0	1417632.0	5002100.0	Australia/Oceania	2022-05-04
Bolivia	905097		21923.0		859363.0		23811.0	220.0	75647.0	1832.0	2700878.0	225736.0	11964768.0	South America	2022-05-04
UAE	899242		2302.0		882880.0		14060.0		88951.0	228.0	156493149.0	15480027.0	10109359.0	Asia	2022-05-04
Uruguay	895775		7197.0		886654.0		1924.0	18.0	256244.0	2059.0	6091188.0	1742435.0	3495790.0	South America	2022-05-04
Ecuador	869696		35598.0					759.0	47960.0	1963.0	2470170.0	136218.0	18133906.0	South America	2022-05-04
Costa Rica	857290		8421.0		836721.0		12148.0	42.0	165521.0	1626.0	4291131.0	828507.0	5179356.0	North America	2022-05-04
Guatemala	846785		17622.0		827077.0		2086.0	5.0	45716.0	951.0	4469600.0	241304.0	18522696.0	North America	2022-05-04
Latvia	823110		5777.0		809733.0		7600.0	8.0	445406.0	3126.0	7186387.0	3888738.0	1848000.0	Europe	2022-05-04
Azerbaijan	792585		9709.0		782804.0		72.0		76900.0	942.0	6820672.0	661775.0	10306639.0	Asia	2022-05-04
Panama	778310		8188.0		763639.0		6483.0	8.0	175326.0	1844.0	5887808.0	1326319.0	4439210.0	North America	2022-05-04
Saudi Arabia	754340		9093.0		742019.0		3228.0	52.0	21067.0	254.0	41921522.0	1170756.0	35807216.0	Asia	2022-05-04
Sri Lanka	663426		16506.0		646131.0		789.0		30746.0	765.0	6486117.0	300593.0	21577770.0	Asia	2022-05-04
Paraguay	649455		18870.0		624673.0		5912.0	2.0	89051.0	2587.0	2623300.0	359698.0	7293072.0	South America	2022-05-04
Kuwait	631409		2555.0		628090.0		764.0	8.0	143951.0	582.0	8007805.0	1825645.0	4386287.0	Asia	2022-05-04
Myanmar	612924		19434.0		591879.0		1611.0		11128.0	353.0	7978264.0	144853.0	55078189.0	Asia	2022-05-04
Palestine	581940		5353.0		576242.0		345.0	17.0	109415.0	1006.0	3078533.0	578821.0	5318629.0	Asia	2022-05-04
Dominican Republic	579443		4376.0		574726.0		341.0	1.0	52451.0	396.0	3279736.0	296883.0	11047243.0	North America	2022-05-04
Estonia	572434		2548.0		511857.0		58029.0	3.0	430995.0	1918.0	3329716.0	2506995.0	1328170.0	Europe	2022-05-04
Bahrain	569727		1476.0		565160.0		3091.0	2.0	314789.0	816.0	9730202.0	5376185.0	1809871.0	Asia	2022-05-04
Venezuela	522550		5709.0		515769.0		1072.0	230.0	18472.0	202.0	3359014.0	118742.0	28288320.0	South America	2022-05-04
Moldova	516986		11489.0		504142.0		1355.0	49.0	128706.0	2860.0	3216305.0	800716.0	4016785.0	Europe	2022-05-04
Egypt	515645		24613.0		442182.0		48850.0	122.0	4871.0	232.0	3693367.0	34886.0	105870289.0	Africa	2022-05-04
Libya	501904		6430.0		490973.0		4501.0	101.0	71268.0	913.0	2477219.0	351753.0	7042492.0	Africa	2022-05-04
Cyprus	474267		1020.0		124370.0		348877.0	60.0	387643.0	834.0	9477138.0	7746152.0	1223464.0	Asia	2022-05-04
Ethiopia	470609		7510.0		455711.0		7388.0	9.0	3916.0	62.0	4796596.0	39912.0	120179267.0	Africa	2022-05-04
Mongolia	469885		2179.0		313256.0		154450.0	192.0	139225.0	646.0	4030048.0	1194084.0	3375013.0	Asia	2022-05-04
Honduras	423775		10895.0		132358.0		280522.0	105.0	41574.0	1069.0	1357403.0	133167.0	10193221.0	North America	2022-05-04
Armenia	422874		8622.0		412019.0		2233.0		142219.0	2900.0	3057702.0	1028355.0	2973392.0	Asia	2022-05-04
Oman	389126		4258.0		384243.0		625.0	4.0	72809.0	797.0	25000000.0	4677710.0	5344495.0	Asia	2022-05-04
Bosnia and Herzegovina	377087		15765.0		192218.0		169104.0		116262.0	4861.0	1758191.0	542077.0	3243433.0	Europe	2022-05-04
Réunion	374295		742.0		355605.0		17948.0	10.0	412665.0	818.0	1603660.0	1768054.0	907020.0	Africa	2022-05-04
Qatar	364778		677.0		363573.0		528.0	3.0	129916.0	241.0	3449841.0	1228661.0	2807805.0	Asia	2022-05-04
Kenya	323796		5649.0		318010.0		137.0		5788.0	101.0	3603531.0	64417.0	55940873.0	Africa	2022-05-04
Zambia	319755		3976.0		315266.0		513.0	1.0	16545.0	206.0	3429405.0	177443.0	19326847.0	Africa	2022-05-04
North Macedonia	309790		9282.0		299936.0		572.0		148708.0	4456.0	2023422.0	971297.0	2083217.0	Europe	2022-05-04
Botswana	305859		2688.0		303026.0		145.0	1.0	125424.0	1102.0	2026898.0	831170.0	2438607.0	Africa	2022-05-04
Albania	275191		3496.0		271339.0		356.0	2.0	95817.0	1217.0	1808310.0	629626.0	2872039.0	Europe	2022-05-04
